id,question_fr,sql,difficulty,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,easy,"[""documents""]","[""count"", ""filter""]",True,[],True,,False,1,1,1,652672d53ff9054497683625b6ea2f74f46ac1a96d6ae5f8a34bf34725f219cf
cand_000002,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""documents"", ""states""]","[""count"", ""join"", ""status""]",True,[],True,,False,36,1,1,652672d53ff9054497683625b6ea2f74f46ac1a96d6ae5f8a34bf34725f219cf
cand_000003,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;",easy,"[""documents""]","[""aggregation"", ""grouping""]",True,[],True,,False,0,2,2,d4ea31a95d1e142269af7833707393577dd46a14a15693d71ff8bb70a1bb47c2
cand_000004,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,easy,"[""documents""]","[""distinct"", ""filter""]",True,[],True,,False,0,6,1,ea3653d3d10e089333ec9bcc4d188acfa7540f8328a5a1a7a3f563e2bf59f4b0
cand_000005,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,easy,"[""documents""]","[""average"", ""filter""]",True,[],True,,False,0,1,1,c3f149279474607975f293e2659fcaf9bb91767b299a406e15a2061b700cc1af
cand_000006,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,easy,"[""documents""]","[""count"", ""data_quality""]",True,[],True,,False,0,1,1,c3f149279474607975f293e2659fcaf9bb91767b299a406e15a2061b700cc1af
cand_000007,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;",easy,"[""documents""]","[""aggregation"", ""document_type""]",True,[],True,,False,0,3,2,dcbf6a4179d7c05267a818dce24a888958b62030e605e68782c1c12403047602
cand_000008,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;",easy,"[""documents""]","[""aggregation"", ""time_analysis""]",True,[],True,,False,0,2,2,0bee47bfb3be431bbb8c3a0e9967596b9a1a6baebfd4f56af1f1c22734202965
cand_000009,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,medium,"[""extraction_results"", ""documents""]","[""average"", ""cast"", ""financial_indicator""]",True,[],True,,False,36,1,1,ab354614b089ab8c753ab4285dc68664ea0857c741b6ee799f4a0978258fc688
cand_000010,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;",medium,"[""documents""]","[""aggregation"", ""having"", ""sorting""]",True,[],True,,False,0,8,2,82cd6fb57dc9c2059313713f7fc620240e9be700a9057f8c0d9b6d5758e312a8
cand_000011,"Pour chaque type de document (mask), quel est le taux d'échec d'extraction (documents en état ERROR) ?","SELECT d.mask, ROUND(100.0 * SUM(CASE WHEN s.code = 'ERROR' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_echec FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY d.mask;",medium,"[""documents"", ""states""]","[""conditional_aggregation"", ""join"", ""data_quality""]",True,[],True,,False,5,3,2,ce9c7775007ed5c677d46ce58b590c8727c9a6bc759d552b1624ddd468bab803
cand_000012,Top 5 des indicateurs financiers les plus fréquemment extraits (safir_field_id) en 2024.,"SELECT safir_field_id, COUNT(*) AS occurrences FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2024' GROUP BY safir_field_id ORDER BY occurrences DESC LIMIT 5;",medium,"[""extraction_results"", ""documents""]","[""aggregation"", ""top_n"", ""financial_analysis""]",True,[],True,,False,11,5,2,70af30e551aaa243969c1788ddf025d78032f36d32d85c0a4422adc1ec2695fd
cand_000013,Quelles communes ont des documents avec des valeurs manquantes pour le champ 'DF011' (dépenses d'investissement) ?,SELECT DISTINCT d.city_name FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.safir_field_id = 'DF011' AND (er.value IS NULL OR er.value = '');,medium,"[""documents"", ""extraction_results""]","[""missing_data"", ""join"", ""data_quality""]",True,[],True,,False,3,4,1,ee9bf3060026c9e7458fcb0aaf3c6bfef5429e486b89a1fb7b1eed10651ed075
cand_000014,Comparaison du nombre de documents entre 2023 et 2024 par type de budget.,"SELECT budget_type, SUM(CASE WHEN document_year = '2023' THEN 1 ELSE 0 END) AS annee_2023, SUM(CASE WHEN document_year = '2024' THEN 1 ELSE 0 END) AS annee_2024 FROM documents GROUP BY budget_type;",medium,"[""documents""]","[""conditional_aggregation"", ""comparison""]",True,[],True,,False,0,2,3,083446b369d57718a277ab28a7f4eefa330617e56b2be0ac32bcc1d258c35ace
cand_000015,Durée moyenne d'exécution des extractions (différence entre start_time et created_at des résultats) pour les documents M57_CA.,SELECT AVG(JULIANDAY(er.created_at) - JULIANDAY(r.start_time)) * 86400 AS duree_moyenne_sec FROM extraction_runs r JOIN extraction_results er ON r.run_id = er.run_id JOIN documents d ON r.document_id = d.document_id WHERE d.mask = 'M57_CA';,medium,"[""extraction_runs"", ""extraction_results"", ""documents""]","[""date_calculation"", ""performance""]",True,[],True,,False,12,1,1,3d54fe9f6b45a62ac8b04c2fb4245523533487e19cbcd76e63703551078d6956
cand_000016,Quels indicateurs financiers présentent plus de 10% de valeurs nulles ou vides ?,"SELECT safir_field_id, ROUND(100.0 * SUM(CASE WHEN value IS NULL OR value = '' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_vides FROM extraction_results GROUP BY safir_field_id HAVING taux_vides > 10;",medium,"[""extraction_results""]","[""data_quality"", ""conditional_aggregation""]",True,[],True,,False,7,41,2,16f4a3ba10f670fe718d83d6ff71c5d3c4b5793d20e41ff34fd10f81da19ea8c
cand_000017,Identifier les communes où la dette (champ 'D001') a augmenté de plus de 10% entre 2023 et 2024.,"WITH dette_2023 AS (SELECT d.city_name, CAST(er.value AS REAL) AS valeur FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2023'), dette_2024 AS (SELECT d.city_name, CAST(er.value AS REAL) AS valeur FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2024') SELECT d23.city_name, d23.valeur AS dette_2023, d24.valeur AS dette_2024, ROUND((d24.valeur - d23.valeur) * 100.0 / d23.valeur, 2) AS evolution_pct FROM dette_2023 d23 JOIN dette_2024 d24 ON d23.city_name = d24.city_name WHERE d24.valeur > d23.valeur * 1.10;",hard,"[""extraction_results"", ""documents""]","[""cte"", ""trend_analysis"", ""financial_health""]",True,[],True,,False,7,0,4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000018,Quelles règles d'extraction (safir_field_id) n'ont jamais produit d'erreur sur les documents validés ?,SELECT fr.safir_field_id FROM field_rules fr WHERE NOT EXISTS (SELECT 1 FROM extraction_results er JOIN documents d ON er.document_id = d.document_id JOIN states s ON d.state_id = s.state_id WHERE er.safir_field_id = fr.safir_field_id AND s.code = 'VALIDATED' AND (er.message_error IS NOT NULL AND er.message_error != ''));,hard,"[""field_rules"", ""extraction_results"", ""documents"", ""states""]","[""subquery"", ""data_validation"", ""rules_analysis""]",False,"[""runtime_timeout""]",False,interrupted,True,8000,0,0,
cand_000019,Quels ensembles de règles (ruleset_id) incluent à la fois des règles d'extraction et des règles de validation pour le masque M57_CA ?,SELECT DISTINCT fr.ruleset_id FROM field_rules fr JOIN validation_rules vr ON fr.ruleset_id = vr.ruleset_id WHERE fr.mask = 'M57_CA' AND vr.mask = 'M57_CA';,hard,"[""field_rules"", ""validation_rules""]","[""rules_analysis"", ""join""]",True,[],True,,False,47,0,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
