id,question_fr,sql,difficulty,tables_used,runtime_ok,runtime_error,result_row_count,judge_score,judge_verdict,judge_reason,judge_pass,judge_fix_sql,judge_dimension_scores,judge_flags,judge_model,judged_at_utc
cand_000001,Combien de documents ont été ingérés chaque année ?,"SELECT d.document_year AS annee, COUNT(*) AS nb_documents FROM documents d GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:18:49.709935+00:00
cand_000002,Quel est le nombre de documents contenant une erreur d’ingestion par année ?,"SELECT d.document_year AS annee, COUNT(*) AS nb_erreurs FROM documents d WHERE TRIM(d.error_message) <> '' GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces clear, analyst-grade results.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:18:53.389087+00:00
cand_000003,Quelle est la moyenne du nombre de pages selon le type de budget (BP ou BA) ?,"SELECT d.budget_type, AVG(d.nb_pages) AS pages_moyenne FROM documents d GROUP BY d.budget_type;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces clear, analyst-grade results.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:18:57.179004+00:00
cand_000004,Quelles sont les 5 communes avec le plus grand nombre de documents traités ?,"SELECT d.city_name AS commune, COUNT(*) AS nb_documents FROM documents d GROUP BY d.city_name ORDER BY nb_documents DESC LIMIT 5;",easy,"[""documents""]",True,,5,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with valid columns and joins, and produces a clear, efficient query that returns meaningful analyst-grade results.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:00.766081+00:00
cand_000005,Quel pourcentage de documents est en état SUCCESS ?,"SELECT ROUND(100.0 * SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*), 2) AS pourcentage_success FROM documents d JOIN states s ON d.state_id = s.state_id;",easy,"[""documents"", ""states""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with valid join, produces a clear percentage result, and is business-relevant without technical jargon.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:04.468436+00:00
cand_000006,Quel est le total des recettes extraites pour chaque année ?,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Recettes' GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""extraction_results"", ""documents""]",True,,0,4.0,needs_fix,"SQL correctly calculates total extracted revenues per year with proper joins and grouping, but assumes 'Recettes' is a valid safir_field_id without verification and may return empty results if no such field exists.",False,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id LIKE '%Recettes%' GROUP BY d.document_year ORDER BY d.document_year;","{""intent_alignment"": 5.0, ""schema_correctness"": 4.0, ""query_quality"": 3.0}","[""assumes_field_exists"", ""potential_empty_result""]",deepseek-chat,2026-03-11T01:19:10.368164+00:00
cand_000007,Combien de résultats d’extraction sont associés à chaque état du processus ?,"SELECT s.code AS etat, COUNT(*) AS nb_resultats FROM extraction_results r JOIN states s ON r.state_id = s.state_id GROUP BY s.code ORDER BY nb_resultats DESC;",easy,"[""extraction_results"", ""states""]",True,,4,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema joins, and produces a clear, analyst-friendly output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:13.686479+00:00
cand_000008,"Quelle est la répartition des documents selon le type de masque (M57_CA, M57_CFU, etc.) ?","SELECT d.mask, COUNT(*) AS nb_documents FROM documents d GROUP BY d.mask ORDER BY nb_documents DESC;",easy,"[""documents""]",True,,3,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces a clear, business-relevant output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:17.558739+00:00
cand_000009,"Pour chaque commune, quel est le total des dépenses en 2023, classé du plus élevé au plus bas (top 5) ?","SELECT d.city_name AS commune, SUM(CAST(r.value AS REAL)) AS total_depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id = 'Depenses' GROUP BY d.city_name ORDER BY total_depenses DESC LIMIT 5;",medium,"[""extraction_results"", ""documents""]",True,,0,4.0,needs_fix,"SQL mostly aligns with business intent but has schema issues: 'Depenses' field ID may not exist, and grouping by city_name could aggregate multiple documents per city incorrectly. Query quality is good otherwise.",False,"SELECT d.city_name AS commune, SUM(CAST(r.value AS REAL)) AS total_depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id IN (SELECT safir_field_id FROM field_rules WHERE definition LIKE '%dépenses%' OR definition LIKE '%expenses%') GROUP BY d.siret, d.city_name ORDER BY total_depenses DESC LIMIT 5;","{""intent_alignment"": 5.0, ""schema_correctness"": 3.0, ""query_quality"": 4.0}","[""potential_missing_field"", ""aggregation_risk""]",deepseek-chat,2026-03-11T01:19:23.733193+00:00
cand_000010,Comment évoluent les recettes totales de la commune 'Ville de Concarneau' au fil des années ?,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.city_name = 'Ville de Concarneau' AND r.safir_field_id = 'Recettes' GROUP BY d.document_year ORDER BY d.document_year;",medium,"[""extraction_results"", ""documents""]",True,,0,4.0,pass,"SQL correctly addresses the business question about revenue trends for a specific municipality over years, with proper joins, aggregation, and filtering. Minor improvements possible for clarity and robustness.",True,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.city_name = 'Ville de Concarneau' AND r.safir_field_id LIKE '%Recettes%' AND r.value IS NOT NULL AND r.value != '' GROUP BY d.document_year ORDER BY d.document_year;","{""intent_alignment"": 5.0, ""schema_correctness"": 4.0, ""query_quality"": 3.0}","[""assumes_safir_field_id_exists"", ""potential_null_values""]",deepseek-chat,2026-03-11T01:19:29.593313+00:00
cand_000011,Quel est le ratio dépenses / recettes pour chaque document de l'année 2024 ?,"WITH rec AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS recettes FROM extraction_results WHERE safir_field_id = 'Recettes' GROUP BY document_id ), dep AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS depenses FROM extraction_results WHERE safir_field_id = 'Depenses' GROUP BY document_id ) SELECT d.document_id, d.city_name, d.document_year, CASE WHEN rec.recettes = 0 THEN NULL ELSE dep.depenses / rec.recettes END AS ratio_dep_rec FROM documents d LEFT JOIN rec ON d.document_id = rec.document_id LEFT JOIN dep ON d.document_id = dep.document_id WHERE d.document_year = '2024';",medium,"[""documents"", ""extraction_results""]",True,,108,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema joins, and produces meaningful financial analysis output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:33.531929+00:00
cand_000012,"Quel est le délai moyen entre la création du document et le lancement de l’extraction, par année ?","SELECT d.document_year AS annee, AVG(strftime('%s', er.start_time) - strftime('%s', d.created_at)) / 3600.0 AS delai_moyen_heures FROM documents d JOIN extraction_runs er ON d.document_id = er.document_id GROUP BY d.document_year;",medium,"[""documents"", ""extraction_runs""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with valid joins, and produces a clear, analyst-friendly output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:37.155280+00:00
cand_000013,Combien de documents sont en état ERROR et possèdent un message d’erreur non vide ?,SELECT COUNT(*) AS nb_documents FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'ERROR' AND TRIM(d.error_message) <> '';,medium,"[""documents"", ""states""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with valid joins, and produces a clear, executable query that returns meaningful analyst-grade results.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:41.092811+00:00
cand_000014,Quel est le nombre moyen de résultats d’extraction par document selon le type de budget ?,"SELECT d.budget_type, AVG(cnt) AS moyenne_resultats FROM ( SELECT document_id, COUNT(*) AS cnt FROM extraction_results GROUP BY document_id ) er_cnt JOIN documents d ON er_cnt.document_id = d.document_id GROUP BY d.budget_type;",medium,"[""extraction_results"", ""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with valid joins, and produces a clear, analyst-friendly result.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:45.326522+00:00
cand_000015,Quelles communes ont vu leur dette totale augmenter de plus de 10 % entre 2023 et 2024 ?,"WITH dette_2023 AS ( SELECT d.city_name, SUM(CAST(r.value AS REAL)) AS dette FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id = 'Dette' GROUP BY d.city_name ), dette_2024 AS ( SELECT d.city_name, SUM(CAST(r.value AS REAL)) AS dette FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2024' AND r.safir_field_id = 'Dette' GROUP BY d.city_name ) SELECT d23.city_name FROM dette_2023 d23 JOIN dette_2024 d24 ON d23.city_name = d24.city_name WHERE d23.dette > 0 AND (d24.dette - d23.dette) / d23.dette > 0.10;",medium,"[""extraction_results"", ""documents""]",True,,0,4.0,pass,"SQL correctly identifies municipalities with >10% debt increase between 2023-2024 using appropriate financial analysis logic, but has minor robustness issues with potential division by zero.",True,"WITH dette_2023 AS ( SELECT d.city_name, SUM(CAST(r.value AS REAL)) AS dette FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id = 'Dette' GROUP BY d.city_name ), dette_2024 AS ( SELECT d.city_name, SUM(CAST(r.value AS REAL)) AS dette FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2024' AND r.safir_field_id = 'Dette' GROUP BY d.city_name ) SELECT d23.city_name FROM dette_2023 d23 JOIN dette_2024 d24 ON d23.city_name = d24.city_name WHERE d23.dette > 0 AND (d24.dette - d23.dette) / d23.dette > 0.10;","{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 3.0}","[""division_by_zero_risk""]",deepseek-chat,2026-03-11T01:19:52.886960+00:00
cand_000016,Combien de retours techniques (is_technical_error = 1) ont été enregistrés par commune ?,"SELECT d.city_name AS commune, COUNT(*) AS nb_retours FROM resultfeedbacks rf JOIN extraction_results r ON rf.result_id = r.result_id JOIN documents d ON r.document_id = d.document_id WHERE rf.is_technical_error = 1 GROUP BY d.city_name ORDER BY nb_retours DESC;",medium,"[""resultfeedbacks"", ""extraction_results"", ""documents""]",True,,0,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema joins, and produces a clear, analyst-friendly output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:19:56.592190+00:00
cand_000017,"Quelle proportion de documents possède au moins un résultat d’extraction avec un message d’erreur, par année ?","WITH docs_err AS ( SELECT DISTINCT d.document_id FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.message_error IS NOT NULL AND TRIM(r.message_error) <> '' ) SELECT d.document_year AS annee, ROUND(100.0 * COUNT(DISTINCT docs_err.document_id) / COUNT(DISTINCT d.document_id), 2) AS pourcentage FROM documents d LEFT JOIN docs_err ON d.document_id = docs_err.document_id GROUP BY d.document_year;",medium,"[""documents"", ""extraction_results""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with valid joins, and produces a clear percentage calculation by year.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:20:00.361312+00:00
cand_000018,Quelles sont les 3 communes présentant la plus grande variance des dépenses d’une année à l’autre ?,"WITH dep_year AS ( SELECT d.city_name, d.document_year, SUM(CAST(r.value AS REAL)) AS depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Depenses' GROUP BY d.city_name, d.document_year ), stats AS ( SELECT city_name, AVG(depenses) AS avg_dep, AVG(depenses * depenses) AS avg_sq FROM dep_year GROUP BY city_name ), var_calc AS ( SELECT city_name, (avg_sq - avg_dep * avg_dep) AS variance_dep FROM stats ) SELECT city_name, variance_dep FROM var_calc ORDER BY variance_dep DESC LIMIT 3;",hard,"[""extraction_results"", ""documents""]",True,,0,4.0,needs_fix,"SQL correctly calculates variance and aligns with business intent, but has schema issues with data type casting and potential empty results.",False,"WITH dep_year AS ( SELECT d.city_name, d.document_year, SUM(CAST(r.value AS REAL)) AS depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id LIKE '%Depenses%' AND r.value IS NOT NULL AND r.value != '' GROUP BY d.city_name, d.document_year HAVING COUNT(*) > 1 ), stats AS ( SELECT city_name, AVG(depenses) AS avg_dep, AVG(depenses * depenses) AS avg_sq FROM dep_year GROUP BY city_name HAVING COUNT(*) > 1 ), var_calc AS ( SELECT city_name, (avg_sq - avg_dep * avg_dep) AS variance_dep FROM stats WHERE avg_sq - avg_dep * avg_dep IS NOT NULL ) SELECT city_name, variance_dep FROM var_calc ORDER BY variance_dep DESC LIMIT 3;","{""intent_alignment"": 5.0, ""schema_correctness"": 3.0, ""query_quality"": 4.0}","[""data_type_risk"", ""empty_result_possible""]",deepseek-chat,2026-03-11T01:20:08.370688+00:00
cand_000019,"Quel sont les 10 documents avec le meilleur score pondéré (Recettes × 0,6 − Dépenses × 0,4) ?","WITH rec AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS recettes FROM extraction_results WHERE safir_field_id = 'Recettes' GROUP BY document_id ), dep AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS depenses FROM extraction_results WHERE safir_field_id = 'Depenses' GROUP BY document_id ) SELECT d.document_id, d.city_name, d.document_year, (rec.recettes * 0.6 - dep.depenses * 0.4) AS score_pondere FROM documents d LEFT JOIN rec ON d.document_id = rec.document_id LEFT JOIN dep ON d.document_id = dep.document_id ORDER BY score_pondere DESC LIMIT 10;",hard,"[""documents"", ""extraction_results""]",True,,10,4.0,needs_fix,SQL mostly aligns with intent but has schema issues with field names and potential NULL handling.,False,"WITH rec AS (SELECT document_id, SUM(CAST(value AS REAL)) AS recettes FROM extraction_results WHERE safir_field_id LIKE '%Recettes%' GROUP BY document_id), dep AS (SELECT document_id, SUM(CAST(value AS REAL)) AS depenses FROM extraction_results WHERE safir_field_id LIKE '%Depenses%' GROUP BY document_id) SELECT d.document_id, d.city_name, d.document_year, COALESCE(rec.recettes, 0) * 0.6 - COALESCE(dep.depenses, 0) * 0.4 AS score_pondere FROM documents d LEFT JOIN rec ON d.document_id = rec.document_id LEFT JOIN dep ON d.document_id = dep.document_id WHERE rec.recettes IS NOT NULL OR dep.depenses IS NOT NULL ORDER BY score_pondere DESC LIMIT 10;","{""intent_alignment"": 5.0, ""schema_correctness"": 3.0, ""query_quality"": 4.0}","[""field_name_mismatch"", ""null_risk""]",deepseek-chat,2026-03-11T01:20:15.327084+00:00
cand_000020,Quel est le nombre de documents selon le type de budget (BP ou BA) ?,"SELECT d.budget_type, COUNT(*) AS nb_documents FROM documents d GROUP BY d.budget_type;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:20:19.203941+00:00
cand_000021,Quelles sont les 5 communes qui possèdent le plus grand nombre de documents ?,"SELECT d.city_name, COUNT(*) AS nb_documents FROM documents d GROUP BY d.city_name ORDER BY nb_documents DESC LIMIT 5;",easy,"[""documents""]",True,,5,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:20:23.197037+00:00
cand_000022,Quelle est la moyenne du nombre de pages par document pour chaque année ?,"SELECT d.document_year, AVG(d.nb_pages) AS moyenne_pages FROM documents d GROUP BY d.document_year;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:20:26.582487+00:00
cand_000023,Quel pourcentage des documents est en état SUCCESS ?,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents)) AS pct_success FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""documents"", ""states""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema joins, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T01:20:30.239308+00:00
