"id","text_query","sql_query"
"1","Événements impliquant des groupes rebelles comme acteur principal, avec le nombre de sources médiatiques distinctes.","SELECT e.GlobalEventID AS 'ID_Evenement', e.Actor1Name AS 'Acteur_Principal', COUNT(DISTINCT m.MentionSourceName) AS 'Nombre_Sources_Distinctes' FROM events e JOIN mentions m ON e.GlobalEventID = m.GlobalEventID WHERE e.Actor1Type1Code = 'REB' OR e.Actor1KnownGroupCode LIKE '%REB%' GROUP BY e.GlobalEventID, e.Actor1Name ORDER BY COUNT(DISTINCT m.MentionSourceName) DESC LIMIT 20;"
"2","Événements de coopération diplomatique entre gouvernements, classés par échelle de Goldstein.","SELECT e.GlobalEventID AS 'ID_Evenement', e.Actor1CountryCode AS 'Pays_Acteur1', e.Actor2CountryCode AS 'Pays_Acteur2', e.EventRootCode AS 'Code_Racine_Evenement', e.GoldsteinScale AS 'Echelle_Goldstein' FROM events e WHERE e.EventRootCode = '05' AND e.Actor1Type1Code = 'GOV' AND e.Actor2Type1Code = 'GOV' ORDER BY e.GoldsteinScale DESC LIMIT 20;"
"3","Moyenne du ton des articles pour les événements de protestation par pays de l'acteur principal.","SELECT e.Actor1Geo_CountryCode AS 'Pays_Geo_Acteur1', AVG(e.AvgTone) AS 'Ton_Moyen', COUNT(*) AS 'Nombre_Evenements' FROM events e WHERE e.EventRootCode = '14' AND e.Actor1Geo_CountryCode IS NOT NULL GROUP BY e.Actor1Geo_CountryCode HAVING COUNT(*) > 5 ORDER BY AVG(e.AvgTone) ASC LIMIT 20;"
"4","Événements avec une forte couverture médiatique (plus de 50 mentions) mais un ton moyen négatif.","SELECT e.GlobalEventID AS 'ID_Evenement', e.NumMentions AS 'Nombre_Mentions', e.AvgTone AS 'Ton_Moyen', e.Actor1Name AS 'Acteur_Principal', e.Actor2Name AS 'Acteur_Secondaire' FROM events e WHERE e.NumMentions > 50 AND e.AvgTone < 0 ORDER BY e.NumMentions DESC LIMIT 20;"
"5","Différence de temps entre la date de l'événement et la date de mention la plus ancienne pour chaque événement.","SELECT e.GlobalEventID AS 'ID_Evenement', MIN(m.MentionTimeDate) AS 'Premiere_Mention', e.Day AS 'Jour_Evenement', (julianday(substr(MIN(m.MentionTimeDate), 1, 4) || '-' || substr(MIN(m.MentionTimeDate), 5, 2) || '-' || substr(MIN(m.MentionTimeDate), 7, 2)) - julianday(substr(e.Day, 1, 4) || '-' || substr(e.Day, 5, 2) || '-' || substr(e.Day, 7, 2))) AS 'Difference_Jours' FROM events e JOIN mentions m ON e.GlobalEventID = m.GlobalEventID GROUP BY e.GlobalEventID, e.Day HAVING Difference_Jours > 0 ORDER BY Difference_Jours DESC LIMIT 20;"
"6","Acteurs gouvernementaux les plus souvent en conflit verbal (QuadClass 3) avec d'autres gouvernements.","SELECT e.Actor1CountryCode AS 'Pays_Acteur_Conflit', COUNT(*) AS 'Nombre_Conflits_Verbaux' FROM events e WHERE e.QuadClass = 3 AND e.Actor1Type1Code = 'GOV' AND e.Actor2Type1Code = 'GOV' AND e.Actor1CountryCode IS NOT NULL AND e.Actor1CountryCode != '' GROUP BY e.Actor1CountryCode ORDER BY COUNT(*) DESC LIMIT 15;"
"8","Distribution des types de mention (WEB, TV, etc.) pour les événements militaires (QuadClass 4).","SELECT m.MentionType AS 'Type_Mention', COUNT(*) AS 'Nombre_Mentions' FROM events e JOIN mentions m ON e.GlobalEventID = m.GlobalEventID WHERE e.QuadClass = 4 GROUP BY m.MentionType ORDER BY COUNT(*) DESC;"
"9","Pays où se produisent le plus d'événements avec un acteur civil (CVL) comme acteur principal.","SELECT e.Actor1Geo_CountryCode AS 'Pays_Evenement', COUNT(*) AS 'Nombre_Evenements_Civils' FROM events e WHERE e.Actor1Type1Code = 'CVL' AND e.Actor1Geo_CountryCode IS NOT NULL GROUP BY e.Actor1Geo_CountryCode ORDER BY COUNT(*) DESC LIMIT 15;"
"10","Événements avec une confiance moyenne des mentions supérieure à 80, impliquant des acteurs religieux.","SELECT e.GlobalEventID AS 'ID_Evenement', COALESCE(e.Actor1Name, e.Actor2Name) AS 'Acteur_Principal', COALESCE(e.Actor1Religion1Code, e.Actor2Religion1Code) AS 'Religion_Acteur', AVG(m.Confidence) AS 'Confiance_Moyenne_Mentions' FROM events e JOIN mentions m ON e.GlobalEventID = m.GlobalEventID WHERE e.Actor1Religion1Code IS NOT NULL OR e.Actor2Religion1Code IS NOT NULL GROUP BY e.GlobalEventID, e.Actor1Name, e.Actor1Religion1Code, e.Actor2Name, e.Actor2Religion1Code HAVING AVG(m.Confidence) > 80 ORDER BY AVG(m.Confidence) DESC LIMIT 20;"
"11","Corrélation approximative entre le nombre de sources et le ton moyen pour les événements de coopération matérielle.","SELECT e.NumSources AS 'Nombre_Sources', AVG(e.AvgTone) AS 'Ton_Moyen', COUNT(*) AS 'Nombre_Evenements' FROM events e WHERE e.QuadClass = 2 GROUP BY e.NumSources HAVING COUNT(*) > 10 ORDER BY e.NumSources DESC LIMIT 20;"
