id,question_fr,sql,difficulty,tables_used,runtime_ok,runtime_error,result_row_count,judge_score,judge_verdict,judge_reason,judge_pass,judge_fix_sql,judge_dimension_scores,judge_flags,judge_model,judged_at_utc
cand_000001,Quelles sont les 10 communes avec le plus d'erreurs d'extraction en 2023 ?,"SELECT d.city_name, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2023' GROUP BY d.city_name ORDER BY error_count DESC LIMIT 10",easy,"[""documents"", ""extraction_results""]",True,,6,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:05:58.425564+00:00
cand_000002,Quelle est l'évolution du nombre total de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(document_id) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year",easy,"[""documents""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:05.068912+00:00
cand_000003,Quelle est la répartition des documents par format d'entrée en 2024 ?,"SELECT format, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' GROUP BY format ORDER BY document_count DESC",easy,"[""documents""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:12.083206+00:00
cand_000004,Quelle est la moyenne de pages par document pour chaque commune en 2024 ?,"SELECT city_name, AVG(nb_pages) as avg_pages FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY avg_pages DESC",easy,"[""documents""]",True,,18,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:18.502339+00:00
cand_000005,Quelle est la répartition des documents par type de budget en 2024 ?,"SELECT budget_type, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' AND budget_type IS NOT NULL GROUP BY budget_type ORDER BY document_count DESC",easy,"[""documents""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:24.628212+00:00
cand_000006,Quels sont les 5 champs les plus fréquemment en erreur lors de l'extraction en 2024 ?,"SELECT er.safir_field_id, COUNT(er.result_id) as error_count FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY er.safir_field_id ORDER BY error_count DESC LIMIT 5",medium,"[""documents"", ""extraction_results""]",True,,5,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:30.649060+00:00
cand_000007,Quelle est l'évolution du nombre de documents en erreur par an depuis 2023 ?,"SELECT d.document_year, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year IN ('2023', '2024') GROUP BY d.document_year ORDER BY d.document_year",medium,"[""documents"", ""extraction_results""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:36.673541+00:00
cand_000008,Quelle est la répartition des erreurs d'extraction par type de document en 2024 ?,"SELECT d.mask, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY d.mask ORDER BY error_count DESC",medium,"[""documents"", ""extraction_results""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:42.955215+00:00
cand_000009,Quelle est la répartition des types de budget (BP et BA) pour les communes en 2024 ?,"SELECT budget_type, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY budget_type;",easy,"[""documents""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:49.159941+00:00
cand_000010,Quelles sont les 10 communes avec le plus de documents extraits en 2024 ?,"SELECT city_name, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY document_count DESC LIMIT 10;",easy,"[""documents""]",True,,10,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:06:55.038894+00:00
cand_000011,Quelle est l'évolution du nombre de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(*) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year;",easy,"[""documents""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:07:01.081278+00:00
cand_000012,Quelle est la répartition des formats de documents extraits en 2024 ?,"SELECT format, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY format;",easy,"[""documents""]",True,,2,0.0,fail,judge_error: HTTP Error 401: Unauthorized,False,,{},"[""judge_error""]",deepseek-chat,2026-03-11T00:07:07.689762+00:00
