,user_question,gold_sql,generated_sql,code_quality_score_gen,code_quality_score_gold,relevance_gen,relevance_gold,logic_gen,logic_gold,fit_with_gold,reasoning_quality_gen,reasoning_gen_result,reasoning_gold_result,reasoning_quality_gold
0,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,SELECT COUNT(*) FROM documents WHERE document_year = '2024',1.5,2.5,1,1,1,1,1,"La logique est correcte car la requête compte les documents de l'année 2024 dans la table documents, ce qui répond directement à la demande. Cependant, elle manque de contexte (comme le type de budget ou le nom de la commune) et n'utilise pas d'alias en français, ce qui réduit sa clarté pour l'utilisateur final.","The generated query correctly counts documents from the documents table filtered by document_year='2024', directly answering the user's question about total processed documents for 2024. It produces the same result count (108) as the gold query.","The gold query properly uses COUNT(*) on the documents table with a WHERE clause for document_year='2024', which is the logical approach to count documents for a specific year. It returns a valid result of 108 documents.","La requête est logiquement correcte car elle compte les documents de l'année 2024 en utilisant le filtre approprié sur 'document_year'. La sélection est pertinente avec COUNT(*), et l'alias 'total_documents' en français est approprié. Le résultat fournit suffisamment de contexte pour comprendre le nombre total de documents traités pour cette année."
1,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,SELECT COUNT(*) FROM documents WHERE state_id = 'SUCCESS',0.0,2.0,0,1,0,1,0,"La logique est incorrecte car la requête filtre sur 'state_id = SUCCESS' dans la table documents, mais state_id est une clé étrangère vers la table states où le code 'SUCCESS' est stocké dans la colonne code. De plus, la requête ne sélectionne pas les champs financiers pertinents (valeur) et manque de contexte (noms, années, types). Les alias ne sont pas en français.","The generated query incorrectly assumes state_id contains 'SUCCESS' directly, but state_id is a foreign key referencing states.state_id, requiring a JOIN to states.code. This results in an execution error or incorrect count (0) because no documents have state_id='SUCCESS'.","The gold query correctly joins documents with states to filter by states.code='SUCCESS', providing an accurate count of successfully extracted documents (109). It follows the schema relationships and returns a relevant answer.","The SQL logic is correct as it properly joins documents with states and filters for SUCCESS state, answering the user's request to count successfully extracted documents. The selection is relevant with COUNT(*), and the output includes enough context. However, the alias 'documents_reussis' is not in French; it should be 'documents_réussis' or similar to meet the French aliasing requirement."
2,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;","SELECT budget_type, COUNT(*) AS count
FROM documents
GROUP BY budget_type",2.0,2.5,1,1,1,1,1,"La logique est correcte car la requête sélectionne le champ 'budget_type' de la table 'documents' et compte les occurrences par type, répondant directement à la demande de répartition BP vs BA. La sélection est pertinente avec le champ 'budget_type' et le comptage. La complétude est bonne car le résultat montre clairement les types de budget et leurs quantités. Cependant, l'alias 'count' n'est pas en français comme requis ; il devrait être 'nombre' ou 'compte' pour correspondre aux attentes de l'utilisateur francophone.","The generated query correctly answers the user's question about budget type distribution by counting documents grouped by budget_type from the documents table, which is the appropriate table for this information. The results match the gold standard exactly, showing 13 BA and 113 BP documents.",The gold query is logically sound and directly addresses the user's question by counting documents per budget_type from the documents table where this information is stored. It provides a clear and accurate distribution of BP vs BA budget types across all documents.,"La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et compte les occurrences, répondant exactement à la demande de répartition des types de budget (BP vs BA). La sélection est pertinente avec le champ 'budget_type' et le comptage, et le résultat inclut suffisamment de contexte (les types de budget et leurs nombres) pour être compréhensible. Les alias sont en français ('nombre'), ce qui convient à l'utilisateur francophone."
3,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023',2.0,2.0,1,1,1,1,1,"The SQL query correctly selects distinct city names from the documents table filtered by document_year = '2023', which matches the user's request for distinct communes that submitted documents in 2023. The selection is relevant as it uses the correct field (city_name) and filter (document_year). The output provides sufficient context with just the city names, making it understandable. However, the aliasing score is 0 because the query does not include any aliases in French (e.g., 'AS commune'), which is required for the end-user's context.","The generated query correctly retrieves distinct city names from documents submitted in 2023, matching the gold result exactly with proper schema usage and no errors.","The gold query is logically sound and directly answers the user's question by filtering documents by year and selecting distinct city names, producing a valid result set.","The SQL query correctly selects distinct city names from the documents table filtered by document_year='2023', which matches the user's request for distinct communes that submitted documents in 2023. The selection is relevant (city_name), complete (provides the commune names directly), and uses proper filtering. However, it lacks French aliasing (e.g., 'AS commune') as required, which is why the aliasing score is 0."
4,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,SELECT AVG(nb_pages) AS avg_nb_pages FROM documents WHERE format = 'pdf',1.5,2.0,1,1,1,1,1,"The SQL logic is correct: it filters documents by 'pdf' format and calculates the average of 'nb_pages' as requested. However, the output lacks context (e.g., no document_year, budget_type, or city_name) for human interpretation, and the alias 'avg_nb_pages' is in English, not French as required.","The generated query correctly calculates the average number of pages for PDF documents by using the nb_pages column from the documents table with a format filter, producing the same numeric result as the gold query.","The gold query accurately computes the average page count for PDF documents by filtering on format and averaging nb_pages, yielding a valid and correct result for the user's question.","The SQL query correctly calculates the average number of pages for PDF documents using the 'nb_pages' column from the 'documents' table with a proper filter on 'format = 'pdf'', which matches the user's request. The alias 'pages_moyennes' is in French, which is appropriate. However, the query lacks context such as document year, city name, or budget type, making the result less informative for a human user who might need to understand the scope of the average (e.g., which years or entities are included)."
5,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,SELECT COUNT(*) FROM documents WHERE warning_message IS NOT NULL AND warning_message!= '',1.5,1.5,1,1,1,1,1,"The SQL logic correctly counts documents with non-empty warning messages, addressing the user's request. However, it lacks French aliasing (e.g., 'AS nombre_documents') and does not include contextual fields like document_year or city_name, making the output less informative for a human user.","The generated query correctly counts documents with non-empty warning messages, directly answering the user's question about documents presenting warning messages. It uses the appropriate column from the documents table and handles NULL and empty string cases properly.","The gold query effectively identifies documents with warning messages by filtering for non-NULL and non-empty values in the warning_message column, providing an accurate count that matches the user's request.","La logique est correcte car la requête compte les documents où 'warning_message' n'est pas NULL ni vide, ce qui correspond à la demande de compter les documents avec des messages d'avertissement. Cependant, le résultat manque de contexte (comme l'année ou le type de budget) pour une compréhension humaine complète, et l'alias 'docs_avec_alertes' n'est pas en français standard (devrait être 'documents_avec_avertissements' ou similaire)."
6,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;","SELECT mask, COUNT(*) AS frequency
FROM documents
GROUP BY mask",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et complète car elle inclut tous les masques sans besoin d'IDs supplémentaires. L'alias 'frequency' est en anglais, mais cela reste acceptable dans le contexte SFIL où les termes techniques peuvent être en anglais, et la requête est simple et claire.","The generated query correctly identifies document mask types and their frequencies from the documents table, matching the gold results exactly with proper SQL syntax and logical grouping.","The gold query effectively answers the user's question by counting occurrences of each mask type in the documents table, providing a clear and accurate reference result.","La requête est logiquement correcte car elle sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par type de masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et l'alias 'occurrence' en français est approprié. Le résultat inclut suffisamment de contexte (types de masque et leur fréquence) pour être compréhensible sans références externes."
7,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;","SELECT document_year, COUNT(*) AS num_documents
FROM documents
GROUP BY document_year",2.0,2.5,1,1,1,1,1,"The SQL query correctly counts documents per budget year from the documents table, which directly addresses the user's request for 'Nombre de documents par année budgétaire.' The selection includes the relevant document_year field and count, and the output provides clear context. However, the alias 'num_documents' is in English instead of French, which violates the requirement for French aliases (e.g., 'AS nombre_documents').","The generated query correctly counts documents per budget year using the documents table, which directly answers the user's question about document counts by budget year. The query is logically sound and produces results that match the gold standard exactly.","The gold query properly groups documents by document_year and counts them, providing a clear answer to the user's question about document counts per budget year. It follows the schema correctly and returns valid results.","La logique est correcte car la requête sélectionne 'document_year' depuis la table 'documents' et compte les documents par année avec GROUP BY, répondant exactement à la demande de 'Nombre de documents par année budgétaire'. La sélection est pertinente avec COUNT(*), complète avec l'année et le total, et l'alias 'total' est en français, bien que 'nombre_documents' serait plus précis, il reste acceptable."
8,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,"SELECT AVG(value) AS avg_dette
FROM extraction_results
JOIN documents ON extraction_results.document_id = documents.document_id
WHERE documents.city_name = 'Paris' AND documents.document_year = '2024' AND extraction_results.safir_field_id = 'D001'",1.5,1.5,0,0,1,1,1,"The SQL logic is correct: it properly joins extraction_results with documents, filters by city_name='Paris', document_year='2024', and safir_field_id='D001', and calculates the average value. However, it lacks completeness by not including contextual fields like city_name, document_year, or budget_type in the output, and the alias 'avg_dette' is not in French as required.","The generated query is logically sound with correct joins and filters, but returns no results (empty table), so it doesn't answer the question about average debt value for Paris in 2024.","The gold query is logically correct with proper schema relationships, but also returns no results (empty table), failing to provide the requested average debt value for Paris in 2024.","The SQL logic is correct: it properly joins extraction_results and documents, filters by safir_field_id='D001', city_name containing 'Paris', and document_year='2024', and calculates the average value. However, it lacks context like budget_type and document details, and the alias 'dette_moyenne' is in French but should be more descriptive like 'valeur_moyenne' or include units. The selection is relevant but incomplete for full understanding."
9,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;","SELECT city_name, COUNT(document_id) AS num_documents
FROM documents
WHERE state_id IN ('SUCCESS', 'VALIDATED')
GROUP BY city_name
HAVING num_documents > 5
ORDER BY num_documents DESC",2.0,2.5,0,1,1,1,0,"The SQL logic correctly identifies communes with more than 5 processed documents by filtering on successful/validated states, grouping by city_name, and ordering by count. It selects relevant fields (city_name and document count) and provides complete context. However, the alias 'num_documents' is in English, not French as required (should be something like 'nombre_documents' or 'volume_documents').","The generated query is logically sound but returns an empty result, failing to answer the user's question about communes with more than 5 processed documents. The WHERE clause filtering for specific state_ids likely excludes all relevant documents, making it irrelevant despite correct SQL structure.","The gold query correctly answers the user question by listing communes with over 5 documents, sorted by descending volume, using a simple and effective GROUP BY and HAVING clause without unnecessary filters.","La requête est logiquement correcte car elle utilise la table 'documents' pour compter les documents par commune avec GROUP BY city_name, filtre avec HAVING COUNT(*) > 5 pour les communes avec plus de 5 documents, et trie par volume décroissant avec ORDER BY total_documents DESC. La sélection inclut city_name et le compte, ce qui est pertinent pour la demande. Le résultat est complet avec le nom de la commune et le nombre total de documents, et l'alias 'total_documents' est en français, adapté à l'utilisateur final."
