id,question_fr,sql,difficulty,tables_used,runtime_ok,runtime_error,result_row_count,judge_score,judge_verdict,judge_reason,judge_pass,judge_fix_sql,judge_dimension_scores,judge_flags,judge_model,judged_at_utc
cand_000001,Quelles sont les 10 communes avec le plus d'erreurs d'extraction en 2023 ?,"SELECT d.city_name, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2023' GROUP BY d.city_name ORDER BY error_count DESC LIMIT 10",easy,"[""documents"", ""extraction_results""]",True,,6,4.0,pass,"SQL correctly identifies municipalities with extraction errors in 2023, aligns with business intent, uses valid schema, and produces meaningful output. Minor improvements possible for clarity.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 4.0, ""query_quality"": 4.0}",[],deepseek-chat,2026-03-11T15:55:45.900362+00:00
cand_000002,Quelle est l'évolution du nombre total de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(document_id) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces clear, analyst-grade results.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:55:50.038984+00:00
cand_000003,Quelle est la répartition des documents par format d'entrée en 2024 ?,"SELECT format, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' GROUP BY format ORDER BY document_count DESC",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces a clear, business-relevant output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:55:54.084221+00:00
cand_000004,Quelle est la moyenne de pages par document pour chaque commune en 2024 ?,"SELECT city_name, AVG(nb_pages) as avg_pages FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY avg_pages DESC",easy,"[""documents""]",True,,18,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces meaningful analyst output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:55:58.603783+00:00
cand_000005,Quelle est la répartition des documents par type de budget en 2024 ?,"SELECT budget_type, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' AND budget_type IS NOT NULL GROUP BY budget_type ORDER BY document_count DESC",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces a clear, business-relevant output.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:56:02.677180+00:00
cand_000006,Quels sont les 5 champs les plus fréquemment en erreur lors de l'extraction en 2024 ?,"SELECT er.safir_field_id, COUNT(er.result_id) as error_count FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY er.safir_field_id ORDER BY error_count DESC LIMIT 5",medium,"[""documents"", ""extraction_results""]",True,,5,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema relationships, and produces a clear, actionable result for financial analysts.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:56:07.006126+00:00
cand_000008,Quelle est la répartition des erreurs d'extraction par type de document en 2024 ?,"SELECT d.mask, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY d.mask ORDER BY error_count DESC",medium,"[""documents"", ""extraction_results""]",True,,2,4.0,pass,"SQL correctly answers the question about error distribution by document type in 2024, uses valid schema with proper joins, and produces meaningful analyst output. Minor improvements possible for clarity.",True,"SELECT d.mask AS document_type, COUNT(er.result_id) AS error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY d.mask ORDER BY error_count DESC","{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 3.0}",[],deepseek-chat,2026-03-11T15:56:22.695922+00:00
cand_000009,Quelle est la répartition des types de budget (BP et BA) pour les communes en 2024 ?,"SELECT budget_type, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY budget_type;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:56:26.919623+00:00
cand_000010,Quelles sont les 10 communes avec le plus de documents extraits en 2024 ?,"SELECT city_name, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY document_count DESC LIMIT 10;",easy,"[""documents""]",True,,10,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is well-structured for business analysis.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:56:31.039766+00:00
cand_000011,Quelle est l'évolution du nombre de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(*) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year;",easy,"[""documents""]",True,,2,4.0,pass,"SQL correctly answers the question about document count evolution since 2023 with proper grouping and ordering, but could include more years for better trend analysis.",True,"SELECT document_year, COUNT(*) as document_count FROM documents WHERE document_year >= '2023' GROUP BY document_year ORDER BY document_year;","{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 3.0}","[""limited_year_range""]",deepseek-chat,2026-03-11T15:56:36.625590+00:00
cand_000012,Quelle est la répartition des formats de documents extraits en 2024 ?,"SELECT format, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY format;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:56:40.877302+00:00
cand_000013,Quels sont les 5 champs les plus fréquemment extraits en 2024 ?,"SELECT safir_field_id, COUNT(*) as extraction_count FROM extraction_results WHERE document_id IN (SELECT document_id FROM documents WHERE document_year = '2024') GROUP BY safir_field_id ORDER BY extraction_count DESC LIMIT 5;",easy,"[""extraction_results"", ""documents""]",True,,5,4.0,pass,"SQL correctly identifies most frequently extracted fields in 2024 with proper filtering, grouping, and ordering. Minor schema correctness issue with document_year data type.",True,"SELECT safir_field_id, COUNT(*) as extraction_count FROM extraction_results WHERE document_id IN (SELECT document_id FROM documents WHERE document_year = '2024') GROUP BY safir_field_id ORDER BY extraction_count DESC LIMIT 5;","{""intent_alignment"": 5.0, ""schema_correctness"": 3.0, ""query_quality"": 4.0}","[""document_year_type_warning""]",deepseek-chat,2026-03-11T15:56:47.052202+00:00
cand_000015,Quelles sont les 10 communes avec le plus de documents en erreur en 2024 ?,"SELECT d.city_name, COUNT(*) as error_count FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'ERROR' AND d.document_year = '2024' GROUP BY d.city_name ORDER BY error_count DESC LIMIT 10;",medium,"[""documents"", ""states""]",True,,7,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema joins, and produces a clear, business-relevant result for financial analysts.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T15:56:58.868748+00:00
