"id","text_query","sql_query"
"6","Quels sont les ensembles de règles qui ont été utilisés dans au moins une exécution d'extraction ?","SELECT DISTINCT r.ruleset_id AS 'Identifiant_Ensemble_Regles', r.description AS 'Description_Regles' FROM rulesets r INNER JOIN field_rules fr ON r.ruleset_id = fr.ruleset_id UNION SELECT DISTINCT r.ruleset_id, r.description FROM rulesets r INNER JOIN validation_rules vr ON r.ruleset_id = vr.ruleset_id;"
"8","Quels sont les documents où plus de 3 champs SAFIR différents ont été extraits avec succès ?","SELECT er.document_id AS 'Identifiant_Document', COUNT(DISTINCT er.safir_field_id) AS 'Nombre_Champs_SAFIR_Uniques' FROM extraction_results er JOIN states s ON er.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY er.document_id HAVING COUNT(DISTINCT er.safir_field_id) > 3;"
"9","Listez les règles de validation de niveau 'ECHEC' qui s'appliquent au masque M57_CFU.","SELECT validation_rule_id AS 'Identifiant_Regle_Validation', message_if_problem AS 'Message_Probleme' FROM validation_rules WHERE level_of_problem = 'ECHEC' AND mask = 'M57_CFU';"
"11","Pour chaque SIRET, combien de documents ont été traités avec au moins un avertissement d'extraction ?","SELECT d.siret AS 'SIRET', COUNT(DISTINCT d.document_id) AS 'Nombre_Documents_Avec_Avertissements' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_warning IS NOT NULL GROUP BY d.siret;"
"14","Quelle est la proportion de documents avec des erreurs par rapport au total des documents traités en 2022 ?","SELECT (SELECT COUNT(*) FROM documents d JOIN states s ON d.state_id = s.state_id WHERE d.document_year = '2022' AND s.code = 'ERROR') * 100.0 / COUNT(*) AS 'Pourcentage_Documents_Erreur_2022' FROM documents WHERE document_year = '2022';"
"15","Quels sont les documents qui ont subi au moins une exécution d'extraction ?","SELECT document_id AS 'Identifiant_Document', COUNT(run_id) AS 'Nombre_Executions' FROM extraction_runs GROUP BY document_id HAVING COUNT(run_id) >= 1;"
"16","Pour chaque règle d'extraction, listez le masque associé et le nombre de champs SAFIR qu'elle couvre.","SELECT mask AS 'Masque_Document', COUNT(DISTINCT safir_field_id) AS 'Nombre_Champs_SAFIR_Couverts' FROM field_rules GROUP BY mask;"
"17","Quels sont les résultats d'extraction où la valeur extraite est numérique et supérieure à 1 000 000 ?","SELECT result_id AS 'Identifiant_Resultat', safir_field_id AS 'Identifiant_Fonctionnel_Champ', value AS 'Valeur_Numerique_Elevee' FROM extraction_results WHERE CAST(value AS REAL) > 1000000;"
"19","Listez toutes les villes avec le nombre d'années budgétaires distinctes pour lesquelles elles ont soumis des documents.","SELECT city_name AS 'Ville', COUNT(DISTINCT document_year) AS 'Nombre_Annees_Distinctes' FROM documents GROUP BY city_name HAVING COUNT(DISTINCT document_year) >= 1;"
"2","Trouvez le nombre total de résultats d'extraction par type de masque de document, pour les documents ayant réussi.","SELECT d.mask AS 'Masque_Document', COUNT(er.result_id) AS 'Nombre_Resultats' FROM extraction_results er JOIN documents d ON er.document_id = d.document_id JOIN states s ON er.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY d.mask ORDER BY COUNT(er.result_id) DESC;"
"3","Affichez les 10 dernières exécutions qui ont échoué, avec leur document associé et le message d'erreur du document.","SELECT er.run_id AS 'Execution', er.start_time AS 'Heure_Demarrage', d.document_id AS 'Document', d.city_name AS 'Commune', d.error_message AS 'Message_Erreur' FROM extraction_runs er JOIN documents d ON er.document_id = d.document_id JOIN states s ON er.state_id = s.state_id WHERE s.code = 'ERROR' ORDER BY er.start_time DESC LIMIT 10;"
"7","Trouvez les documents qui ont des résultats d'extraction mais aucun feedback.","SELECT DISTINCT d.document_id AS 'Identifiant_Document', d.city_name AS 'Commune', d.mask AS 'Masque' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id LEFT JOIN resultfeedbacks rf ON er.result_id = rf.result_id WHERE rf.result_id IS NULL;"
"9","Quelles sont les 5 communes ayant le plus grand nombre de documents traités avec succès (état SUCCESS) ?","SELECT d.city_name AS 'Commune', COUNT(d.document_id) AS 'Nombre_Documents_Succes' FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY d.city_name ORDER BY COUNT(d.document_id) DESC LIMIT 5;"
"11","Trouvez les identifiants fonctionnels de champ pour lesquels une valeur a été extraite parmi les résultats en état 'SUCCESS'.","SELECT DISTINCT er.safir_field_id AS 'Identifiant_Fonctionnel_Champ_Vide' FROM extraction_results er JOIN states s ON er.state_id = s.state_id WHERE s.code = 'SUCCESS' AND (er.value IS NOT NULL AND er.value != '');"
"12","Calculez le pourcentage de documents par format (PDF, scan, image) parmi l'ensemble des documents, en excluant les documents sans format spécifié.","SELECT format AS 'Format_Document', COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents WHERE format IS NOT NULL AND format != '') AS 'Pourcentage_Total' FROM documents WHERE format IS NOT NULL AND format != '' GROUP BY format ORDER BY COUNT(*) DESC;"
"13","Affichez les règles de validation de niveau 'ECHEC' qui s'appliquent à plusieurs champs fonctionnels (liste dans safir_field_id_list).","SELECT validation_rule_id AS 'Identifiant_Regle_Validation', message_if_problem AS 'Message_Probleme', safir_field_id_list AS 'Liste_Champs_Concernes' FROM validation_rules WHERE level_of_problem = 'ECHEC' AND safir_field_id_list IS NOT NULL AND safir_field_id_list != '[]';"
"14","Quels sont les documents qui ont à la fois un message d'erreur et un message d'avertissement ? Affichez également leur type de masque.","SELECT document_id AS 'Identifiant_Document', city_name AS 'Commune', mask AS 'Masque', error_message AS 'Message_Erreur', warning_message AS 'Message_Avertissement' FROM documents WHERE error_message IS NOT NULL AND error_message != '' AND warning_message IS NOT NULL AND warning_message != '';"
"15","Trouvez le nombre de résultats d'extraction par exécution, pour les exécutions ayant plus de 50 résultats.","SELECT er.run_id AS 'Execution', COUNT(res.result_id) AS 'Nombre_Resultats' FROM extraction_runs er JOIN extraction_results res ON er.run_id = res.run_id GROUP BY er.run_id HAVING COUNT(res.result_id) > 50 ORDER BY COUNT(res.result_id) DESC;"
"17","Affichez les sections (identifiants) extraites pour les documents de masque 'M57_CA', avec la taille approximative de leur valeur JSON.","SELECT s.section_id AS 'Identifiant_Section', s.document_id AS 'Document', LENGTH(s.section_value) AS 'Taille_Valeur_JSON' FROM sections s JOIN documents d ON s.document_id = d.document_id WHERE d.mask = 'M57_CA' ORDER BY LENGTH(s.section_value) DESC;"
"18","Quelles sont les communes ayant soumis des documents dans plus d'un format différent (PDF, scan, image) ?","SELECT city_name AS 'Commune', COUNT(DISTINCT format) AS 'Nombre_Formats_Differents' FROM documents GROUP BY city_name HAVING COUNT(DISTINCT format) > 1 ORDER BY COUNT(DISTINCT format) DESC;"
"1","Quels sont les documents avec plus de 10 résultats d'extraction en erreur ?","SELECT d.document_id AS 'Identifiant_Document', d.city_name AS 'Ville', COUNT(er.result_id) AS 'Nombre_Erreurs' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id JOIN states s ON er.state_id = s.state_id WHERE s.code = 'ERROR' GROUP BY d.document_id, d.city_name HAVING COUNT(er.result_id) > 10 ORDER BY COUNT(er.result_id) DESC;"
"2","Quels sont les champs SAFIR les plus fréquemment extraits avec succès pour le masque M57_CA ?","SELECT er.safir_field_id AS 'Champ_SAFIR', COUNT(*) AS 'Nombre_Extractions_Reussies' FROM extraction_results er JOIN documents d ON er.document_id = d.document_id JOIN states s ON er.state_id = s.state_id WHERE d.mask = 'M57_CA' AND s.code = 'SUCCESS' GROUP BY er.safir_field_id ORDER BY COUNT(*) DESC LIMIT 10;"
"7","Quelles règles d'extraction (identifiants) sont associées à plus de 3 masques de document différents ?","SELECT fr.safir_field_id AS 'Champ_SAFIR_Regle', COUNT(DISTINCT fr.mask) AS 'Nombre_Masques_Differents' FROM field_rules fr WHERE fr.mask IS NOT NULL GROUP BY fr.safir_field_id HAVING COUNT(DISTINCT fr.mask) > 3 ORDER BY COUNT(DISTINCT fr.mask) DESC;"
"8","Quels sont les documents qui ont à la fois des résultats validés et des résultats rejetés ?","SELECT d.document_id AS 'Identifiant_Document', d.city_name AS 'Ville', SUM(CASE WHEN s.code = 'VALIDATED' THEN 1 ELSE 0 END) AS 'Resultats_Valides', SUM(CASE WHEN s.code = 'REJECTED' THEN 1 ELSE 0 END) AS 'Resultats_Rejetes' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id JOIN states s ON er.state_id = s.state_id WHERE s.code IN ('VALIDATED', 'REJECTED') GROUP BY d.document_id, d.city_name HAVING SUM(CASE WHEN s.code = 'VALIDATED' THEN 1 ELSE 0 END) > 0 AND SUM(CASE WHEN s.code = 'REJECTED' THEN 1 ELSE 0 END) > 0 ORDER BY d.document_id;"
"9","Quelles sont les villes avec le taux d'erreur d'extraction le plus élevé (erreurs / total extractions) ?","SELECT d.city_name AS 'Ville', COUNT(CASE WHEN s.code = 'ERROR' THEN 1 END) AS 'Nombre_Erreurs', COUNT(er.result_id) AS 'Total_Extractions', ROUND(CAST(COUNT(CASE WHEN s.code = 'ERROR' THEN 1 END) AS FLOAT) / COUNT(er.result_id) * 100, 2) AS 'Taux_Erreur_Pourcent' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id JOIN states s ON er.state_id = s.state_id WHERE d.city_name IS NOT NULL GROUP BY d.city_name HAVING COUNT(er.result_id) > 10 ORDER BY ROUND(CAST(COUNT(CASE WHEN s.code = 'ERROR' THEN 1 END) AS FLOAT) / COUNT(er.result_id) * 100, 2) DESC LIMIT 10;"
"10","Quels sont les champs SAFIR qui ont le plus faible taux de réussite d'extraction pour le masque M57_CA ?","SELECT fr.safir_field_id AS 'Champ_SAFIR', ROUND(100.0 * SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*), 2) AS 'Taux_Reussite_Pourcent' FROM field_rules fr LEFT JOIN extraction_results er ON fr.safir_field_id = er.safir_field_id LEFT JOIN documents d ON er.document_id = d.document_id LEFT JOIN states s ON er.state_id = s.state_id WHERE fr.mask = 'M57_CA' AND d.mask = 'M57_CA' GROUP BY fr.safir_field_id ORDER BY 'Taux_Reussite_Pourcent' ASC, fr.safir_field_id;"
