question,response
Combien de documents ont été ingérés chaque année ?,"This query provides a yearly summary of how many budget documents have been ingested into the platform.
### Step-by-Step Solution:
1. Access the **documents** table, which stores one row per ingested budget document.
2. Use the **document_year** column to group rows by the fiscal year of each document.
3. Apply the **COUNT(*)** aggregate to count all rows (documents) within each year group, naming the result **nb_documents**.
4. Sort the output by **document_year** so the years appear in chronological order.
Here is the resulting SQL query:

SELECT document_year, COUNT(*) AS nb_documents
FROM documents
GROUP BY document_year
ORDER BY document_year;"
"Quel pourcentage de documents de 2023 ont au moins une valeur extraite pour le champ ""Recettes de fonctionnement"" ?","This query calculates the proportion of 2023 documents that contain at least one extracted value for the field ""Recettes de fonctionnement"".
### Step-by-Step Solution:
1. Identify all documents from the year 2023 by filtering the **documents** table on **document_year = '2023'**.
2. Count the total number of such documents to serve as the denominator.
3. Join **extraction_results** with **documents** to locate extraction rows where **safir_field_id = 'Recettes de fonctionnement'** and the associated document is from 2023.
4. Use **COUNT(DISTINCT er.document_id)** to count unique documents that have at least one matching extraction result.
5. Compute the percentage by dividing the distinct count by the total count and multiplying by 100.0.
Here is the resulting SQL query:

SELECT 100.0 * COUNT(DISTINCT er.document_id) / (
       SELECT COUNT(*) FROM documents d WHERE d.document_year = '2023'
) AS pct_documents
FROM extraction_results er
JOIN documents d ON er.document_id = d.document_id
WHERE er.safir_field_id = 'Recettes de fonctionnement'
  AND d.document_year = '2023';"
Comment évolue le nombre moyen de champs extraits par document entre 2023 et 2024 ?,"This query measures how the average number of distinct extracted fields per document changes between the years 2023 and 2024.
### Step-by-Step Solution:
1. From **extraction_results**, group rows by **document_id** and count distinct **safir_field_id** values for each document, producing a field count per document.
2. Join this intermediate result with the **documents** table to associate each document count with its **document_year**.
3. Group the combined data by **document_year** and calculate the average of the field counts, naming it **avg_fields**.
4. Order the final result by **document_year** so the trend can be read chronologically.
Here is the resulting SQL query:

SELECT d.document_year,
       AVG(field_cnt) AS avg_fields
FROM (
    SELECT er.document_id, COUNT(DISTINCT er.safir_field_id) AS field_cnt
    FROM extraction_results er
    GROUP BY er.document_id
) cnt
JOIN documents d ON cnt.document_id = d.document_id
GROUP BY d.document_year
ORDER BY d.document_year;"
"Quel pourcentage de documents BP contiennent le champ ""Dépenses de fonctionnement"" ?","This query determines what share of documents of each budget type contain the specific field ""Dépenses de fonctionnement"".
### Step-by-Step Solution:
1. Join the extraction_results table with documents to associate each extracted field with its document and budget type.
2. Filter the joined rows to keep only those where safir_field_id equals ""Dépenses de fonctionnement"".
3. Group the filtered rows by the budget_type column.
4. For each budget_type, count the distinct document IDs that have the field (numerator).
5. Compute the total number of distinct documents for the same budget_type using a correlated sub‑query (denominator) and calculate the percentage as 100 × numerator / denominator.
Here is the resulting SQL query:

SELECT d.budget_type,
       100.0 * COUNT(DISTINCT er.document_id) / (
           SELECT COUNT(DISTINCT document_id) FROM documents WHERE budget_type = d.budget_type
       ) AS pct_docs_with_field
FROM extraction_results er
JOIN documents d ON er.document_id = d.document_id
WHERE er.safir_field_id = 'Dépenses de fonctionnement'
GROUP BY d.budget_type;"
Quel est le taux de documents avec au moins un avertissement (warning) par année ?,"This query calculates, for each fiscal year, the percentage of documents that contain at least one warning message.
### Step-by-Step Solution:
1. Join the documents table with extraction_results so each warning can be linked to its originating document.
2. Keep only rows where the message_warning column is not null and not an empty string, indicating a warning is present.
3. Group the remaining rows by document_year.
4. For each year, count the distinct document IDs that have warnings (numerator).
5. Use a sub‑query to count all documents for the same year (denominator) and compute the percentage as 100 × numerator / denominator.
Here is the resulting SQL query:

SELECT d.document_year,
       100.0 * COUNT(DISTINCT d.document_id) / (
           SELECT COUNT(*) FROM documents WHERE document_year = d.document_year
       ) AS pct_docs_with_warning
FROM documents d
JOIN extraction_results er ON d.document_id = er.document_id
WHERE er.message_warning IS NOT NULL AND er.message_warning <> ''
GROUP BY d.document_year;"
Quel est l’indice de couverture par document (pourcentage de champs définis extraits) et quels sont les cinq documents les moins complets en 2024 ?,"This query measures the coverage of extracted fields per document and returns the five documents with the lowest coverage for the year 2024.
### Step-by-Step Solution:
1. In the first CTE, count the distinct safir_field_id values defined in field_rules for each document mask to obtain the total expected fields per mask.
2. In the second CTE, count the distinct safir_field_id values actually extracted (extraction_results) for each document, together with its mask and year.
3. Join the document‑field counts with the total‑field counts on mask, and compute a coverage percentage: 100 × extracted_fields / total_fields (handling division by zero).
4. Filter the resulting rows to keep only those where document_year equals '2024'.
5. Order the rows by coverage_pct in ascending order so the least complete documents appear first.
6. Limit the output to the top five rows, returning the document_id and its coverage percentage.
Here is the resulting SQL query:

WITH total_fields_per_mask AS (
    SELECT mask, COUNT(DISTINCT safir_field_id) AS total_fields
    FROM field_rules
    GROUP BY mask
),
doc_fields AS (
    SELECT d.document_id, d.mask, d.document_year,
           COUNT(DISTINCT er.safir_field_id) AS extracted_fields
    FROM documents d
    LEFT JOIN extraction_results er ON d.document_id = er.document_id
    GROUP BY d.document_id, d.mask, d.document_year
),
doc_coverage AS (
    SELECT df.document_id,
           df.document_year,
           df.extracted_fields,
           tf.total_fields,
           CASE WHEN tf.total_fields = 0 THEN 0
                ELSE 100.0 * df.extracted_fields / tf.total_fields
           END AS coverage_pct
    FROM doc_fields df
    JOIN total_fields_per_mask tf ON df.mask = tf.mask
)
SELECT document_id, coverage_pct
FROM doc_coverage
WHERE document_year = '2024'
ORDER BY coverage_pct ASC
LIMIT 5;"
Quel est le nombre médian de champs extraits par document pour chaque type de budget en 2023 ?,"The query calculates the median count of distinct extracted fields for each budget type in the year 2023.
### Step-by-Step Solution:
1. Filter the **documents** table to keep only rows where `document_year` equals '2023'.
2. Join the filtered documents with **extraction_results** to associate each document with its extracted fields.
3. For each document, count the number of distinct `safir_field_id` values, producing a field count per document together with its `budget_type`.
4. Rank the field counts within each `budget_type` using `ROW_NUMBER()` and also compute the total number of documents per budget type.
5. Identify the median position by selecting the row where the rank equals `(total_cnt + 1) / 2` for each budget type.
6. Return the `budget_type` and the corresponding median field count.
Here is the resulting SQL query:

WITH doc_counts AS (
    SELECT d.document_id,
           d.budget_type,
           COUNT(DISTINCT er.safir_field_id) AS field_cnt
    FROM documents d
    JOIN extraction_results er ON d.document_id = er.document_id
    WHERE d.document_year = '2023'
    GROUP BY d.document_id, d.budget_type
),
ranked AS (
    SELECT budget_type,
           field_cnt,
           ROW_NUMBER() OVER (PARTITION BY budget_type ORDER BY field_cnt) AS rn,
           COUNT(*) OVER (PARTITION BY budget_type) AS total_cnt
    FROM doc_counts
)
SELECT budget_type,
       field_cnt AS median_field_count
FROM ranked
WHERE rn = (total_cnt + 1) / 2;"
"Quelles villes affichent plus de 30 % de documents où ""Recettes de fonctionnement"" est extrait avec une valeur nulle en 2024 ?","This query finds cities where more than 30 % of their 2024 documents have the ""Recettes de fonctionnement"" field extracted with a zero value.
### Step-by-Step Solution:
1. Restrict **documents** to the year 2024 and join with **extraction_results** to keep only rows where `safir_field_id` equals 'Recettes de fonctionnement'.
2. For each city, count how many of those documents have a `value` that is a trimmed zero string (e.g., '0', '0.0', '0,0').
3. Separately, count the total number of documents for the same field per city.
4. Join the zero‑count and total‑count sub‑queries on `city_name` and compute the percentage of zero‑value documents: `100.0 * zero_docs / total_docs`.
5. Filter the results to keep only cities where this percentage exceeds 30 %.
6. Order the output by the percentage in descending order to highlight the most affected cities.
Here is the resulting SQL query:

WITH docs_with_field AS (
    SELECT d.city_name,
           d.document_id,
           er.value
    FROM documents d
    JOIN extraction_results er ON d.document_id = er.document_id
    WHERE d.document_year = '2024'
      AND er.safir_field_id = 'Recettes de fonctionnement'
),
zero_counts AS (
    SELECT city_name,
           COUNT(*) AS zero_docs
    FROM docs_with_field
    WHERE TRIM(value) IN ('0', '0.0', '0,0')
    GROUP BY city_name
),
total_counts AS (
    SELECT city_name,
           COUNT(*) AS total_docs
    FROM docs_with_field
    GROUP BY city_name
)
SELECT t.city_name,
       100.0 * IFNULL(z.zero_docs, 0) / t.total_docs AS pct_zero
FROM total_counts t
LEFT JOIN zero_counts z ON t.city_name = z.city_name
WHERE (100.0 * IFNULL(z.zero_docs, 0) / t.total_docs) > 30
ORDER BY pct_zero DESC;"
Quel est le taux d’avertissement par exécution d’extraction (run) ?,"The query determines the warning rate for each extraction run, i.e., the proportion of documents that produced at least one warning message.
### Step-by-Step Solution:
1. Join **extraction_runs** with **documents** to associate each run with the documents it processed.
2. Left‑join **extraction_results** on the run identifier, restricting the join to rows where `message_warning` is not null and not empty, so only warnings are considered.
3. Count distinct document IDs that have at least one warning (`docs_with_warning`).
4. Count distinct document IDs processed by the run regardless of warnings (`total_docs`).
5. Compute the warning rate as a percentage: `100.0 * docs_with_warning / total_docs`.
6. Group the results by `run_id`, order by the warning rate descending, and limit the output to the top 5 runs.
Here is the resulting SQL query:

SELECT erun.run_id,
       COUNT(DISTINCT er.document_id) AS docs_with_warning,
       COUNT(DISTINCT d.document_id) AS total_docs,
       100.0 * COUNT(DISTINCT er.document_id) / COUNT(DISTINCT d.document_id) AS warning_rate_pct
FROM extraction_runs erun
JOIN documents d ON erun.document_id = d.document_id
LEFT JOIN extraction_results er ON er.run_id = erun.run_id
    AND er.message_warning IS NOT NULL AND er.message_warning <> ''
GROUP BY erun.run_id
ORDER BY warning_rate_pct DESC
LIMIT 5;"
Combien de règles d'extraction sont définies pour chaque type de masque ?,"This query determines how many extraction rules exist for each document mask type.
### Step-by-Step Solution:
1. Scan the **field_rules** table, which stores each extraction rule together with its associated mask.
2. Group the rows by the **mask** column so that all rules sharing the same mask are collected together.
3. Count the number of rows in each group using **COUNT(*)**, producing the total rules per mask.
4. Return two columns: the mask value and the corresponding count labeled **nb_rules**.
Here is the resulting SQL query:

SELECT mask, COUNT(*) AS nb_rules FROM field_rules GROUP BY mask;"
