,user_question,gold_sql,generated_sql,code_quality_score_gen,code_quality_score_gold,relevance_gen,relevance_gold,logic_gen,logic_gold,fit_with_gold,reasoning_quality_gen,reasoning_gen_result,reasoning_gold_result,reasoning_quality_gold
0,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024',2.0,2.0,1,1,1,1,1,"The SQL query correctly counts documents from the 'documents' table filtered by 'document_year' = '2024', which directly answers the user's request for the total number of processed documents for 2024. The alias 'total_documents' is appropriately in French. However, the query lacks context such as 'budget_type' or 'city_name', which would help a human understand the result without needing to look up IDs, making it incomplete.","The generated query correctly counts documents for 2024 using the documents table and document_year column, which directly answers the user's question about total processed documents for that year. The result matches the gold standard exactly.","The gold query is logically sound and directly answers the question by counting documents from the documents table filtered by document_year = '2024', which is the appropriate approach given the schema.","The SQL query is logically correct as it counts documents from the 'documents' table filtered by 'document_year' = '2024', which directly answers the user's request for the total number of processed documents for 2024. The selection is relevant with COUNT(*), and the alias 'total_documents' is appropriately in French. However, it lacks completeness because it does not include context such as 'budget_type' or 'city_name', which would help a human understand the result without needing to look up IDs, especially since the request is about 'documents traités' (processed documents), which might imply considering the processing state, but the query does not filter by 'state_id' to ensure documents are actually processed (e.g., state 'SUCCESS' or 'VALIDATED')."
1,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,SELECT COUNT(*) AS docs_success FROM documents WHERE state_id = 'SUCCESS',0.0,2.0,0,1,0,1,0,"The SQL query is logically incorrect because it filters documents by state_id = 'SUCCESS', but state_id is a foreign key referencing states.state_id, which contains codes like 'SUCCESS' in the code column, not in state_id. The correct approach is to join with the states table and filter by states.code = 'SUCCESS'. The selection is irrelevant as it only counts documents without considering extraction success, completeness is poor due to missing context, but aliasing is correct with French naming.","The generated query incorrectly assumes state_id is a string value 'SUCCESS' instead of joining with the states table to match the code column, resulting in an execution error or incorrect count of 0. It fails to answer the question about successfully extracted documents.","The gold query correctly joins documents with states to filter by state code 'SUCCESS', providing an accurate count of 109 documents, which logically answers the user's question about successful extractions.","The SQL logic is correct because it properly joins documents with states and filters for SUCCESS state, which directly answers the user's request about successfully extracted documents. The selection uses COUNT(*) which is appropriate for counting documents. The output includes a clear count result. However, the alias 'documents_reussis' is not in French - it should be 'documents_réussis' or similar with proper French accents to meet the requirement for French aliasing."
2,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;","SELECT budget_type, COUNT(*) AS nb_documents FROM documents GROUP BY budget_type",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et compte les occurrences, répondant exactement à la demande de répartition BP vs BA. La sélection est pertinente avec COUNT(*), la sortie inclut suffisamment de contexte (types de budget et nombre), et l'alias 'nb_documents' est en français, adapté à l'utilisateur francophone.","The generated query correctly answers the user's question about budget type distribution by counting documents grouped by budget_type, producing accurate results that match the gold standard. It uses the appropriate table and columns from the SFIL schema without errors.","The gold query effectively addresses the user's request by grouping documents by budget_type and counting them, providing a clear and correct breakdown of BP vs BA documents. It is logically sound and aligns with the schema structure.","La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et compte les occurrences, répondant exactement à la demande de répartition BP vs BA. La sélection est pertinente avec le champ 'budget_type' et le comptage, la sortie inclut suffisamment de contexte (types de budget et comptes), et l'alias 'nombre' est en français, adapté à l'utilisateur francophone."
3,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023',2.0,2.0,1,1,1,1,1,"The SQL query correctly selects distinct city names from the documents table filtered by document_year='2023', which matches the user's request for distinct communes that submitted documents in 2023. The selection is relevant as it uses the correct field (city_name) and filter (document_year). The output provides sufficient context with just the city names, making it understandable. However, the aliasing score is 0 because no French aliases are used (e.g., 'AS commune' is missing), which is required for the end-user's French context.","The generated query correctly retrieves distinct city names from documents submitted in 2023, matching the gold query exactly in both logic and results.",The gold query is logically sound and directly answers the user's question by filtering documents by year and selecting distinct city names.,"The SQL query correctly identifies distinct communes from the documents table for the year 2023 using the appropriate column 'city_name' and filter 'document_year'. The logic is sound and directly addresses the user's request. However, the aliasing is missing; the column should have a French alias like 'AS commune' for better readability, which is required in the SFIL context."
4,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,SELECT AVG(nb_pages) AS avg_pages_pdf FROM documents WHERE format = 'pdf',2.0,2.0,1,1,1,1,1,"The SQL query correctly calculates the average number of pages for PDF documents by filtering on 'format = 'pdf'' and using AVG(nb_pages), which matches the user's request. However, it lacks context such as document year or budget type, making the result less informative for a human user. The alias 'avg_pages_pdf' is in French and appropriate.","The generated query correctly calculates the average number of pages for PDF documents by using the nb_pages column from the documents table with a format='pdf' filter, which directly answers the user's question about average PDF page count.","The gold query is logically sound and relevant, using the same approach to compute the average of nb_pages for PDF documents, providing an accurate answer to the user's question.","The SQL logic is correct: it filters documents by 'pdf' format and calculates the average of 'nb_pages' as requested. The alias 'pages_moyennes' is in French, which is appropriate. However, the output lacks context such as document year, budget type, or city name, making it incomplete for a human to interpret without additional information."
5,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,SELECT COUNT(*) AS docs_with_warning FROM documents WHERE warning_message IS NOT NULL AND TRIM(warning_message) <> '',2.0,1.5,1,1,1,1,1,"La logique est correcte car la requête compte les documents où 'warning_message' n'est pas NULL ni vide, ce qui répond directement à la demande de compter les documents avec un message d'avertissement. La sélection est pertinente car elle utilise le champ approprié. Cependant, la requête manque de contexte supplémentaire (comme le type de budget ou l'année) qui serait utile pour interpréter les résultats. L'alias est en français et clair.","The generated query correctly counts documents with non-empty warning messages using proper SQL syntax and returns the same count (64) as the gold query, making it fully relevant and logically sound.","The gold query accurately addresses the user's question by counting documents with non-null and non-empty warning messages, providing a correct and straightforward solution.","La logique est correcte car la requête compte les documents avec un message d'avertissement non vide, ce qui répond à la demande. La sélection est pertinente car elle utilise le champ 'warning_message' de la table 'documents'. Cependant, le résultat manque de contexte (année, type de budget, nom de commune) pour une compréhension humaine complète. L'alias 'docs_avec_alertes' est en français, mais il n'est pas suffisamment descriptif selon les standards SFIL (par exemple, 'nombre_documents_avec_avertissement' serait plus clair)."
6,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;","SELECT mask, COUNT(*) AS freq FROM documents GROUP BY mask ORDER BY freq DESC",2.5,2.5,1,1,1,1,1,"The SQL query correctly identifies all document mask types and their frequencies by querying the 'documents' table, which contains the 'mask' column as specified in the schema. It selects the relevant field 'mask' and counts occurrences, providing clear French aliases ('freq'). The output includes enough context (mask types and counts) for human understanding without needing to look up IDs, fully meeting the user's request for document mask types and their frequencies.","The generated query correctly identifies document mask types and their frequencies from the documents table, with results matching the gold standard despite different column naming and ordering.","The gold query properly extracts mask types and counts from the documents table, providing a valid answer to the user's question about document mask types and frequencies.","La requête est logiquement correcte car elle sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par type de masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et l'alias 'occurrence' en français est approprié. Le résultat inclut suffisamment de contexte (types de masque et leur fréquence) pour être compréhensible sans références externes."
7,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;","SELECT document_year AS annee, COUNT(*) AS nb_documents FROM documents GROUP BY document_year ORDER BY annee",2.5,2.0,1,1,1,1,1,"The SQL query correctly selects 'document_year' and counts documents grouped by year, which directly answers the user's request for the number of documents per budget year. The aliases are appropriately in French ('annee', 'nb_documents'), and the output includes sufficient context (years and counts) for human understanding without needing to reference IDs.","The generated query correctly counts documents per budget year using the documents table, which contains the document_year column, and returns the same values as the gold query despite different column names.","The gold query accurately retrieves the number of documents per budget year by grouping on document_year from the documents table, providing a clear and correct answer to the user's question.","The SQL query correctly counts documents grouped by document_year from the documents table, which directly answers the user's request for the number of documents per budget year. The selection includes the relevant field (document_year) and uses COUNT(*) appropriately. However, the alias 'total' is in English instead of French (should be 'nombre_documents' or similar), which violates the French aliasing requirement."
8,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,SELECT AVG(CAST(er.value AS REAL)) AS avg_d001 FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name = 'Paris' AND d.document_year = '2024',1.5,1.5,0,0,1,1,1,"The SQL logic is correct: it properly joins extraction_results with documents, filters by safir_field_id='D001', city_name='Paris', and document_year='2024', and calculates the average of the value field. However, it lacks completeness by not including contextual fields like budget_type or document details, and the alias 'avg_d001' is not in French as required.","The generated query is logically sound with correct joins and filtering for Paris in 2024, but returns no results (empty), so it doesn't answer the question about average debt value.","The gold query is logically correct with proper schema relationships and filtering, but also returns empty results, failing to provide the requested average debt value for Paris in 2024.","La logique est correcte : la requête joint extraction_results et documents, filtre sur le champ 'D001', la commune Paris et l'année 2024, et calcule la moyenne des valeurs. Cependant, elle manque de contexte (budget_type, mask) pour interpréter les résultats, et l'alias 'dette_moyenne' n'est pas en français approprié (devrait être 'moyenne_dette' ou similaire)."
9,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;","SELECT d.city_name,
       COUNT(DISTINCT d.document_id) AS nb_docs
FROM documents d
JOIN states s ON d.state_id = s.state_id
WHERE s.code = 'SUCCESS'
GROUP BY d.city_name
HAVING nb_docs > 5
ORDER BY nb_docs DESC",2.5,2.0,1,1,1,1,0,"La requête est logiquement correcte car elle filtre les documents avec état 'SUCCESS' via la jointure avec la table states, compte les documents distincts par commune, et applique la condition >5. La sélection inclut le nom de la commune et le nombre de documents, ce qui est pertinent et complet pour comprendre le résultat. Les alias sont en français ('nb_docs'), ce qui convient à l'utilisateur francophone.","The generated query correctly answers the question by listing communes with more than 5 processed documents, sorted by descending volume, but it adds an unnecessary filter for 'SUCCESS' state which changes the results compared to the gold standard. The query logic is sound and follows the SFIL schema correctly.","The gold query directly answers the user question by counting all documents per city without additional filters, providing a straightforward and correct result that matches the requested criteria of communes with more than 5 documents processed.","The SQL logic correctly identifies communes with more than 5 documents by grouping on city_name and filtering with HAVING COUNT(*) > 5, then orders by descending document count. It selects the relevant field (city_name) and provides sufficient context. However, the alias 'total_documents' is in English instead of French (should be 'nombre_documents' or similar), which violates the French aliasing requirement."
