id,question_fr,sql,difficulty,generation_model,batch_index,variety_profile,variety_style,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Quel est le taux de réussite des extractions par année ?,"SELECT documents.document_year, COUNT(CASE WHEN states.code = 'SUCCESS' THEN 1 END) * 100.0 / COUNT(*) AS success_rate FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.document_year ORDER BY documents.document_year;",easy,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""success_rate"", ""document_year""]",True,[],True,,False,30,2,2,84e09752899ea4a9e8cafc126e8f9d1b37f692cf05acbc6d0763d60c3409925a
cand_000002,Combien de documents ont un état 'Erreur' cette année ?,SELECT COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' AND documents.document_year = '2024';,easy,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""error_count"", ""document_year""]",True,[],True,,False,0,1,1,dd36691eebe6a4dbe0f7b5a22637091dccc2bbac9f3473bb1e52bd12a4781ba3
cand_000003,Quelle est la distribution des types de documents (mask) par année et par statut d'extraction ?,"SELECT documents.document_year, documents.mask, states.code, COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.document_year, documents.mask, states.code ORDER BY documents.document_year, documents.mask;",medium,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""mask_distribution"", ""document_year"", ""state_code""]",True,[],True,,False,0,10,4,b7de2b70dff1ad39a60db2788f4c67e351818b2d3eec3f59e31640466dd800e4
cand_000004,Quel est le nombre moyen de pages par document selon leur statut d'extraction ?,"SELECT states.code, AVG(documents.nb_pages) AS avg_pages FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY states.code;",medium,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""avg_pages"", ""state_code""]",True,[],True,,False,0,3,2,6e3062d396605a0ffa70281ddbdf21d0be7b75cb599bbf4e2ef623bfe770fd8f
cand_000005,Quelle est la proportion de documents en succès selon leur type de budget (BP/BA) ?,"SELECT documents.budget_type, COUNT(CASE WHEN states.code = 'SUCCESS' THEN 1 END) * 100.0 / COUNT(*) AS success_rate FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.budget_type;",medium,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""budget_type"", ""success_rate""]",True,[],True,,False,0,2,2,cb32d6ea2a0068cf3aec0007a4227e60571d0b958bada443bb76833145b4dfae
cand_000006,Quels sont les documents avec des erreurs d'extraction liées à des formats non gérés ?,"SELECT documents.document_id, documents.format, documents.error_message FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' AND documents.format NOT IN ('pdf', 'scan');",medium,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""format_error"", ""error_analysis""]",True,[],True,,False,48,0,3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000007,Quelle est la tendance des temps de traitement des extractions par année ?,"SELECT documents.document_year, AVG(julianday(extraction_runs.start_time) - julianday(documents.created_at)) AS avg_processing_time FROM documents JOIN extraction_runs ON documents.document_id = extraction_runs.document_id GROUP BY documents.document_year;",hard,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""extraction_runs""]","[""processing_time"", ""document_year""]",True,[],True,,False,2,2,2,36cec5b945aa1925c25309f3829f8e7eba106f80819aa3ecc1998f34839ba1d0
cand_000008,Quels sont les documents avec des résultats d'extraction incomplets et leurs champs manquants ?,"SELECT documents.document_id, COUNT(extraction_results.result_id) AS extracted_fields FROM documents LEFT JOIN extraction_results ON documents.document_id = extraction_results.document_id WHERE documents.state_id IN (SELECT state_id FROM states WHERE code IN ('PARTIAL', 'WARNING')) GROUP BY documents.document_id HAVING COUNT(extraction_results.result_id) < 10;",hard,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""extraction_results"", ""states""]","[""incomplete_extraction"", ""field_count""]",True,[],True,,False,13,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000009,Quelle est la corrélation entre le nombre de pages des documents et leur taux de succès d'extraction ?,"SELECT AVG(documents.nb_pages) AS avg_pages, AVG(CASE WHEN states.code = 'SUCCESS' THEN 1 ELSE 0 END) AS success_ratio FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.nb_pages;",hard,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""page_correlation"", ""success_rate""]",True,[],True,,False,1,24,2,bed407fad7071edcccdc42009362d5f57d893ff6bdf0c024dd19204468b3b316
cand_000010,Quels sont les documents M4_CFU avec des erreurs d'extraction liées à des règles de validation ?,"SELECT documents.document_id, documents.city_name, extraction_results.message_error FROM documents JOIN extraction_results ON documents.document_id = extraction_results.document_id WHERE documents.mask = 'M4_CFU' AND extraction_results.message_error LIKE '%validation%';",hard,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""extraction_results""]","[""mask_filter"", ""validation_error""]",True,[],True,,False,3,0,3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000011,Quelle est la distribution des types de documents (mask) selon leur statut d'extraction et leur année ?,"SELECT documents.mask, documents.document_year, states.code, COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.mask, documents.document_year, states.code;",medium,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""mask_distribution"", ""document_year"", ""state_code""]",True,[],True,,False,0,10,4,ebd615a1d34656a2a13b5e60f4d12e48b751f1569817944b271bfe4ba0931472
cand_000013,Quel est le nombre de documents avec des avertissements mais sans erreurs critiques par année ?,"SELECT documents.document_year, COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code IN ('WARNING', 'PARTIAL') AND documents.error_message IS NULL GROUP BY documents.document_year;",medium,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""warning_count"", ""document_year""]",True,[],True,,False,1,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000014,Quelle est la distribution des types de documents (mask) selon leur statut d'extraction ?,"SELECT documents.mask, states.code, COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.mask, states.code;",easy,Qwen/Qwen2.5-7B-Instruct,3,workflow_performance,portfolio_review,"[""documents"", ""states""]","[""mask_distribution"", ""state_code""]",True,[],True,,False,6,7,3,a22eb7c9f5d315bee564e4392107fa6af2c632bea9973f62f7ea713a4daffdba
cand_000015,"Quelle est la répartition des formats de documents (PDF, scan) par année ?","SELECT document_year, format, COUNT(*) AS count FROM documents GROUP BY document_year, format;",easy,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents""]","[""format_distribution"", ""year_filter""]",True,[],True,,False,1,3,3,132fcbb83050cf089260d1dba7d78b88c97f8d863fc2f1ee4af3d5e971b0f541
cand_000016,Quel est le nombre moyen de pages par document selon le type de budget (BP/BA) ?,"SELECT budget_type, AVG(nb_pages) AS avg_pages FROM documents GROUP BY budget_type;",easy,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents""]","[""budget_type_analysis"", ""aggregation""]",True,[],True,,False,1,2,2,7be846dc3a8cdb2b441f1d34f2c86c8209667b2283c93c96f923d2ece007584a
cand_000017,Quel est le taux de réussite des extractions (état 'SUCCESS') par type de document (mask) en 2024 ?,"SELECT mask, SUM(CASE WHEN state_id = 'SUCCESS' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS success_rate FROM documents WHERE document_year = '2024' GROUP BY mask;",medium,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents"", ""states""]","[""extraction_success"", ""mask_filter""]",True,[],True,,False,1,2,2,a34ab18387d89954ffd80b8e08f1136af49a994b84f53537461d3c81edd20078
cand_000018,Quels sont les documents avec des erreurs d'extraction liées à des règles de validation en 2024 ?,"SELECT d.document_id, d.city_name, er.message_error FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE d.document_year = '2024' AND er.message_error LIKE '%validation%';",medium,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents"", ""extraction_results""]","[""error_analysis"", ""join_operation""]",True,[],True,,False,66,5,3,1b86ca88fadabcbdaf7a112afd821d12f4a34cb782786e1644825538d417fcec
cand_000019,Quelle est la corrélation entre le nombre de pages des documents et leur taux de succès d'extraction en 2024 ?,"SELECT AVG(nb_pages) AS avg_pages, SUM(CASE WHEN state_id = 'SUCCESS' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS success_rate FROM documents WHERE document_year = '2024';",hard,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents"", ""states""]","[""correlation_analysis"", ""aggregation""]",True,[],True,,False,2,1,2,1354b1af21ccb7b3a760103b62a5510c0a1e0dea80dd42e7bb829a28de33eab4
cand_000020,"Quelle est la distribution des statuts d'extraction (SUCCESS, ERROR, PARTIAL) par année et type de budget (BP/BA) ?","SELECT document_year, budget_type, state_id, COUNT(*) AS count FROM documents GROUP BY document_year, budget_type, state_id;",medium,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents"", ""states""]","[""status_distribution"", ""grouping""]",True,[],True,,False,5,126,4,862636e5bf8550ea5b3184f404b82ccfbd8ef6d26634e7655551f2c5a86f6f7a
cand_000021,Quels sont les documents avec des résultats d'extraction incomplets et leurs champs manquants en 2023 ?,"SELECT d.document_id, d.city_name, er.safir_field_id, er.value FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE d.document_year = '2023' AND er.value IS NULL;",medium,Qwen/Qwen2.5-7B-Instruct,11,portfolio_monitoring,investigation_mode,"[""documents"", ""extraction_results""]","[""incomplete_data"", ""join_operation""]",True,[],True,,False,5,0,4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
