id,question_fr,sql,difficulty,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Combien de documents ont été ingérés chaque année ?,"SELECT d.document_year AS annee, COUNT(*) AS nb_documents FROM documents d GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""documents""]","[""documents"", ""comptage"", ""annee""]",True,[],True,,False,0,2,2,739f2ca558b976a126a0cc7c99340c71dee6ea4305fc7bad1eed749c01cda8d2
cand_000002,Quel est le nombre de documents contenant une erreur d’ingestion par année ?,"SELECT d.document_year AS annee, COUNT(*) AS nb_erreurs FROM documents d WHERE TRIM(d.error_message) <> '' GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""documents""]","[""documents"", ""erreurs"", ""annee""]",True,[],True,,False,0,1,2,c0e14310dc68358e4c51915497eb18794b0f0d7a81a773e533ba1e79ab6f6013
cand_000003,Quelle est la moyenne du nombre de pages selon le type de budget (BP ou BA) ?,"SELECT d.budget_type, AVG(d.nb_pages) AS pages_moyenne FROM documents d GROUP BY d.budget_type;",easy,"[""documents""]","[""documents"", ""pages"", ""budget_type""]",True,[],True,,False,0,2,2,1d6dccf2bdc75af208d271ad67dd8516120b7489bc3d61916e1e84cb8c49f713
cand_000004,Quelles sont les 5 communes avec le plus grand nombre de documents traités ?,"SELECT d.city_name AS commune, COUNT(*) AS nb_documents FROM documents d GROUP BY d.city_name ORDER BY nb_documents DESC LIMIT 5;",easy,"[""documents""]","[""documents"", ""communes"", ""top""]",True,[],True,,False,0,5,2,a0db81ea7013ee0b977ee5d3abb7781e229e252e954e018a93cf8cc80a8076ac
cand_000005,Quel pourcentage de documents est en état SUCCESS ?,"SELECT ROUND(100.0 * SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*), 2) AS pourcentage_success FROM documents d JOIN states s ON d.state_id = s.state_id;",easy,"[""documents"", ""states""]","[""documents"", ""states"", ""pourcentage""]",True,[],True,,False,1,1,1,67251f0e0da95bd69c5a667b11d5c55202dbc42b829496c5c8560b87ceb74412
cand_000006,Quel est le total des recettes extraites pour chaque année ?,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Recettes' GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""extraction_results"", ""documents""]","[""extraction_results"", ""recettes"", ""annee""]",True,[],True,,False,3,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000007,Combien de résultats d’extraction sont associés à chaque état du processus ?,"SELECT s.code AS etat, COUNT(*) AS nb_resultats FROM extraction_results r JOIN states s ON r.state_id = s.state_id GROUP BY s.code ORDER BY nb_resultats DESC;",easy,"[""extraction_results"", ""states""]","[""extraction_results"", ""states"", ""comptage""]",True,[],True,,False,23,4,2,5dca3efbef124b92651eef73ded5740182c0333813513a629be729a02c61e057
cand_000008,"Quelle est la répartition des documents selon le type de masque (M57_CA, M57_CFU, etc.) ?","SELECT d.mask, COUNT(*) AS nb_documents FROM documents d GROUP BY d.mask ORDER BY nb_documents DESC;",easy,"[""documents""]","[""documents"", ""mask"", ""repartition""]",True,[],True,,False,0,3,2,c5fab7af840828f8846c3684d69ff34085a9de8ff8e4c07dfe862241f2377530
cand_000009,"Pour chaque commune, quel est le total des dépenses en 2023, classé du plus élevé au plus bas (top 5) ?","SELECT d.city_name AS commune, SUM(CAST(r.value AS REAL)) AS total_depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id = 'Depenses' GROUP BY d.city_name ORDER BY total_depenses DESC LIMIT 5;",medium,"[""extraction_results"", ""documents""]","[""extraction_results"", ""depenses"", ""2023"", ""top""]",True,[],True,,False,3,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000010,Comment évoluent les recettes totales de la commune 'Ville de Concarneau' au fil des années ?,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.city_name = 'Ville de Concarneau' AND r.safir_field_id = 'Recettes' GROUP BY d.document_year ORDER BY d.document_year;",medium,"[""extraction_results"", ""documents""]","[""extraction_results"", ""recettes"", ""commune"", ""evolution""]",True,[],True,,False,3,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000011,Quel est le ratio dépenses / recettes pour chaque document de l'année 2024 ?,"WITH rec AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS recettes FROM extraction_results WHERE safir_field_id = 'Recettes' GROUP BY document_id ), dep AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS depenses FROM extraction_results WHERE safir_field_id = 'Depenses' GROUP BY document_id ) SELECT d.document_id, d.city_name, d.document_year, CASE WHEN rec.recettes = 0 THEN NULL ELSE dep.depenses / rec.recettes END AS ratio_dep_rec FROM documents d LEFT JOIN rec ON d.document_id = rec.document_id LEFT JOIN dep ON d.document_id = dep.document_id WHERE d.document_year = '2024';",medium,"[""documents"", ""extraction_results""]","[""ratio"", ""depenses"", ""recettes"", ""2024""]",True,[],True,,False,11,108,4,d311d684acc5cc1131bf41315da55747e6d9377ae81e9d5b8508e2fb9c31f188
cand_000012,"Quel est le délai moyen entre la création du document et le lancement de l’extraction, par année ?","SELECT d.document_year AS annee, AVG(strftime('%s', er.start_time) - strftime('%s', d.created_at)) / 3600.0 AS delai_moyen_heures FROM documents d JOIN extraction_runs er ON d.document_id = er.document_id GROUP BY d.document_year;",medium,"[""documents"", ""extraction_runs""]","[""delai"", ""extraction_runs"", ""documents"", ""annee""]",True,[],True,,False,0,2,2,514d2d4c347952c3bf30698f66532523819b37dde7e2573b072d759ce4dfb7c8
cand_000013,Combien de documents sont en état ERROR et possèdent un message d’erreur non vide ?,SELECT COUNT(*) AS nb_documents FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'ERROR' AND TRIM(d.error_message) <> '';,medium,"[""documents"", ""states""]","[""documents"", ""error"", ""states""]",True,[],True,,False,4,1,1,c48a37d74445a429bb0aeb80e476ed0040938f9ea842f82d7ec72f90d53c9aef
cand_000014,Quel est le nombre moyen de résultats d’extraction par document selon le type de budget ?,"SELECT d.budget_type, AVG(cnt) AS moyenne_resultats FROM ( SELECT document_id, COUNT(*) AS cnt FROM extraction_results GROUP BY document_id ) er_cnt JOIN documents d ON er_cnt.document_id = d.document_id GROUP BY d.budget_type;",medium,"[""extraction_results"", ""documents""]","[""extraction_results"", ""budget_type"", ""moyenne""]",True,[],True,,False,2,2,2,c45c98928db3a6d481fad39daabd6bacb1deaeab2cf6516fb5336aa4ad60abf3
cand_000015,Quelles communes ont vu leur dette totale augmenter de plus de 10 % entre 2023 et 2024 ?,"WITH dette_2023 AS ( SELECT d.city_name, SUM(CAST(r.value AS REAL)) AS dette FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id = 'Dette' GROUP BY d.city_name ), dette_2024 AS ( SELECT d.city_name, SUM(CAST(r.value AS REAL)) AS dette FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2024' AND r.safir_field_id = 'Dette' GROUP BY d.city_name ) SELECT d23.city_name FROM dette_2023 d23 JOIN dette_2024 d24 ON d23.city_name = d24.city_name WHERE d23.dette > 0 AND (d24.dette - d23.dette) / d23.dette > 0.10;",medium,"[""extraction_results"", ""documents""]","[""dette"", ""variation"", ""2023"", ""2024""]",True,[],True,,False,3,0,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000016,Combien de retours techniques (is_technical_error = 1) ont été enregistrés par commune ?,"SELECT d.city_name AS commune, COUNT(*) AS nb_retours FROM resultfeedbacks rf JOIN extraction_results r ON rf.result_id = r.result_id JOIN documents d ON r.document_id = d.document_id WHERE rf.is_technical_error = 1 GROUP BY d.city_name ORDER BY nb_retours DESC;",medium,"[""resultfeedbacks"", ""extraction_results"", ""documents""]","[""resultfeedbacks"", ""technical_error"", ""commune""]",True,[],True,,False,0,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000017,"Quelle proportion de documents possède au moins un résultat d’extraction avec un message d’erreur, par année ?","WITH docs_err AS ( SELECT DISTINCT d.document_id FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.message_error IS NOT NULL AND TRIM(r.message_error) <> '' ) SELECT d.document_year AS annee, ROUND(100.0 * COUNT(DISTINCT docs_err.document_id) / COUNT(DISTINCT d.document_id), 2) AS pourcentage FROM documents d LEFT JOIN docs_err ON d.document_id = docs_err.document_id GROUP BY d.document_year;",medium,"[""documents"", ""extraction_results""]","[""extraction_results"", ""message_error"", ""pourcentage"", ""annee""]",True,[],True,,False,7,2,2,84b983b434f48864ca78a3535d33dcb0e0e2143f4a256204de6fc546263c7e4e
cand_000018,Quelles sont les 3 communes présentant la plus grande variance des dépenses d’une année à l’autre ?,"WITH dep_year AS ( SELECT d.city_name, d.document_year, SUM(CAST(r.value AS REAL)) AS depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Depenses' GROUP BY d.city_name, d.document_year ), stats AS ( SELECT city_name, AVG(depenses) AS avg_dep, AVG(depenses * depenses) AS avg_sq FROM dep_year GROUP BY city_name ), var_calc AS ( SELECT city_name, (avg_sq - avg_dep * avg_dep) AS variance_dep FROM stats ) SELECT city_name, variance_dep FROM var_calc ORDER BY variance_dep DESC LIMIT 3;",hard,"[""extraction_results"", ""documents""]","[""variance"", ""depenses"", ""commune""]",True,[],True,,False,3,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000019,"Quel sont les 10 documents avec le meilleur score pondéré (Recettes × 0,6 − Dépenses × 0,4) ?","WITH rec AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS recettes FROM extraction_results WHERE safir_field_id = 'Recettes' GROUP BY document_id ), dep AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS depenses FROM extraction_results WHERE safir_field_id = 'Depenses' GROUP BY document_id ) SELECT d.document_id, d.city_name, d.document_year, (rec.recettes * 0.6 - dep.depenses * 0.4) AS score_pondere FROM documents d LEFT JOIN rec ON d.document_id = rec.document_id LEFT JOIN dep ON d.document_id = dep.document_id ORDER BY score_pondere DESC LIMIT 10;",hard,"[""documents"", ""extraction_results""]","[""score"", ""recettes"", ""depenses"", ""top""]",True,[],True,,False,10,10,4,b4dc7c3fe80a264456c3a779163a7354da2f9b61088ba93eceb19f283b9f656b
cand_000020,Quel est le nombre de documents selon le type de budget (BP ou BA) ?,"SELECT d.budget_type, COUNT(*) AS nb_documents FROM documents d GROUP BY d.budget_type;",easy,"[""documents""]","[""documents"", ""budget_type"", ""count""]",True,[],True,,False,0,2,2,43e13772b64bf85fd0c7d29c27630e0c920113452ef7d2a906ce60080b356e20
cand_000021,Quelles sont les 5 communes qui possèdent le plus grand nombre de documents ?,"SELECT d.city_name, COUNT(*) AS nb_documents FROM documents d GROUP BY d.city_name ORDER BY nb_documents DESC LIMIT 5;",easy,"[""documents""]","[""documents"", ""city"", ""top_n""]",True,[],True,,False,0,5,2,6f1b22ead11dd7a8bee7116aca380dfae8e028cce3520a472214151a0509ba37
cand_000022,Quelle est la moyenne du nombre de pages par document pour chaque année ?,"SELECT d.document_year, AVG(d.nb_pages) AS moyenne_pages FROM documents d GROUP BY d.document_year;",easy,"[""documents""]","[""documents"", ""pages"", ""average""]",True,[],True,,False,0,2,2,4b19a3dd877926e1a64a40eb23f4f7adce63dcf49549dbfc7e8819079ed5bffd
cand_000023,Quel pourcentage des documents est en état SUCCESS ?,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents)) AS pct_success FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""documents"", ""states""]","[""documents"", ""state"", ""percentage""]",True,[],True,,False,5,1,1,6e16c65cadc050cd845c85f448ab00ccc600dd07d7b926d986f99e6f1e73bae8
cand_000024,Quel est le total des recettes extraites chaque année ?,"SELECT d.document_year, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Recettes' GROUP BY d.document_year;",easy,"[""extraction_results"", ""documents""]","[""extraction_results"", ""recettes"", ""yearly"", ""sum""]",True,[],True,,False,3,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000025,Quel est le total des dépenses extraites chaque année ?,"SELECT d.document_year, SUM(CAST(r.value AS REAL)) AS total_depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Depenses' GROUP BY d.document_year;",easy,"[""extraction_results"", ""documents""]","[""extraction_results"", ""depenses"", ""yearly"", ""sum""]",True,[],True,,False,3,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
