"id","text_query","sql_query"
"1","Quel est le pourcentage de documents en état SUCCESS parmi tous les documents ?","SELECT (CAST((SELECT COUNT(*) FROM documents d2 JOIN states s2 ON d2.state_id = s2.state_id WHERE s2.code = 'SUCCESS') AS FLOAT) / (SELECT COUNT(*) FROM documents)) * 100 AS 'Pourcentage_Success';"
"4","Combien de sections ont été extraites pour le premier document présent dans la table sections ?","SELECT COUNT(s.section_id) AS Nombre_Sections FROM sections s WHERE s.document_id = (SELECT document_id FROM sections LIMIT 1);"
"6","Quelle est la moyenne du nombre de pages par type de budget (excluant les valeurs nulles ou zéro) ?","SELECT d.budget_type AS Type_Budget, AVG(d.nb_pages) AS Moyenne_Pages FROM documents d WHERE d.nb_pages IS NOT NULL AND d.nb_pages > 0 GROUP BY d.budget_type;"
"7","Liste des identifiants fonctionnels extraits avec état ERROR et leurs messages d'erreur.","SELECT er.safir_field_id AS 'Identifiant_Fonctionnel', er.message_error AS 'Message_Erreur' FROM extraction_results er JOIN states s ON er.state_id = s.state_id WHERE s.code = 'ERROR';"
"8","Combien de runs d'extraction existent par état du run ?","SELECT st.code AS 'Etat_Run', COUNT(r.run_id) AS 'Nombre_Runs' FROM extraction_runs r JOIN states st ON r.state_id = st.state_id GROUP BY st.code;"
"9","Combien de documents ont au moins un avertissement dans les résultats d'extraction ?","SELECT COUNT(DISTINCT d.document_id) AS 'Documents_Avertissement' FROM documents d WHERE EXISTS (SELECT 1 FROM extraction_results er WHERE er.document_id = d.document_id AND er.message_warning IS NOT NULL);"
"10","Pour chaque année, nombre de documents par format.","SELECT d.document_year AS 'Annee', d.format AS 'Format', COUNT(*) AS 'Nombre_Documents' FROM documents d GROUP BY d.document_year, d.format ORDER BY d.document_year, d.format;"
"11","Quels sont les identifiants des règles d'extraction associées au masque M57_CA ?","SELECT fr.extraction_rule_id AS 'ID_Rule', fr.safir_field_id AS 'Identifiant_Fonctionnel' FROM field_rules fr WHERE fr.mask = 'M57_CA';"
"13","Quelles sont les 3 villes avec le plus grand total de valeurs extraites, quel que soit le type de budget ?","SELECT d.city_name AS Ville, SUM(CAST(er.value AS FLOAT)) AS Total_Extrait FROM extraction_results er JOIN documents d ON er.document_id = d.document_id GROUP BY d.city_name ORDER BY Total_Extrait DESC LIMIT 3;"
"14","Liste des documents qui n'ont aucun résultat d'extraction.","SELECT d.document_id AS 'ID_Document_Sans_Resultat' FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id WHERE er.result_id IS NULL;"
"15","Quel est le nombre moyen de feedbacks par résultat d'extraction ?","SELECT AVG(feedbacks_per_result) AS 'Moyenne_Feedbacks_Par_Resultat' FROM (SELECT er.result_id, COUNT(f.feedback_id) AS feedbacks_per_result FROM extraction_results er LEFT JOIN resultfeedbacks f ON er.result_id = f.result_id GROUP BY er.result_id);"
"17","Pour chaque état de document, quel pourcentage de documents possède plus de 100 pages ?","SELECT st.code AS 'Etat_Document', (CAST(COUNT(CASE WHEN d.nb_pages > 100 THEN 1 END) AS FLOAT) / COUNT(*)) * 100 AS 'Pourcentage_>100_Pages' FROM documents d JOIN states st ON d.state_id = st.state_id GROUP BY st.code;"
"19","Combien de règles de validation existent par niveau de problème ?","SELECT vr.level_of_problem AS 'Niveau_Probleme', COUNT(vr.validation_rule_id) AS 'Nombre_Rules' FROM validation_rules vr GROUP BY vr.level_of_problem;"
"1","Combien de documents existent par type de budget et par année ?","SELECT d.document_year AS 'Année', d.budget_type AS 'Type_Budget', COUNT(d.document_id) AS 'Nb_Documents' FROM documents d GROUP BY d.document_year, d.budget_type ORDER BY d.document_year, d.budget_type;"
"2","Listez les documents en état d'erreur avec leur identifiant et le code d'état.","SELECT d.document_id AS ID_Document, s.code AS Code_Etat FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'ERROR';"
"4","Quelle est la moyenne du nombre de pages par ville pour les documents de type M57_CA ?","SELECT d.city_name AS 'Ville', AVG(d.nb_pages) AS 'Pages_Moyennes' FROM documents d WHERE d.mask = 'M57_CA' GROUP BY d.city_name;"
"5","Combien d'exécutions d'extraction existent par état ?","SELECT s.code AS 'Etat', COUNT(r.run_id) AS 'Nb_Exécutions' FROM extraction_runs r JOIN states s ON r.state_id = s.state_id GROUP BY s.code;"
"6","Quels sont les 5 champs SAFIR les plus fréquemment extraits ?","SELECT er.safir_field_id AS 'Champ_SAFIR', COUNT(er.result_id) AS 'Nb_Extractions' FROM extraction_results er GROUP BY er.safir_field_id ORDER BY COUNT(er.result_id) DESC LIMIT 5;"
"7","Combien de retours manuels sont des erreurs techniques par document ?","SELECT d.document_id AS 'ID_Document', COALESCE(SUM(CASE WHEN rf.is_technical_error = 1 THEN 1 ELSE 0 END),0) AS 'Erreurs_Techniques' FROM documents d LEFT JOIN extraction_results er ON er.document_id = d.document_id LEFT JOIN resultfeedbacks rf ON rf.result_id = er.result_id GROUP BY d.document_id;"
"8","Listez les documents qui n'ont produit aucun résultat d'extraction.","SELECT d.document_id AS 'ID_Document' FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id WHERE er.result_id IS NULL;"
"9","Combien de règles de champ sont définies dans chaque jeu de règles ?","SELECT rs.ruleset_id AS 'ID_Ruleset', COUNT(fr.extraction_rule_id) AS 'Nb_Règles_Champ' FROM rulesets rs LEFT JOIN field_rules fr ON rs.ruleset_id = fr.ruleset_id GROUP BY rs.ruleset_id;"
"13","Pour chaque document, indiquez la date de la dernière exécution.","SELECT d.document_id AS ID_Document, MAX(r.start_time) AS Dernière_Exécution FROM documents d JOIN extraction_runs r ON d.document_id = r.document_id GROUP BY d.document_id;"
"14","Listez les documents en état SUCCESS qui contiennent au moins un avertissement dans les résultats d'extraction.","SELECT DISTINCT d.document_id AS 'ID_Document' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' AND er.message_warning IS NOT NULL;"
"15","Combien de champs SAFIR différents ont été extraits pour chaque document ?","SELECT d.document_id AS 'ID_Document', COUNT(DISTINCT er.safir_field_id) AS 'Nb_Champs_Différents' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id GROUP BY d.document_id;"
"16","Identifiez les documents dont le masque ne correspond à aucune règle de champ.","SELECT d.document_id AS 'ID_Document' FROM documents d LEFT JOIN field_rules fr ON d.mask = fr.mask WHERE fr.extraction_rule_id IS NULL;"
"17","Quel est le nombre moyen de résultats par exécution, et quelles exécutions dépassent cette moyenne ?","SELECT r.run_id AS 'ID_Exécution', r.cnt AS 'Nb_Résultats', avg_tbl.avg_cnt AS 'Moyenne_Résultats' FROM (SELECT run_id, COUNT(result_id) AS cnt FROM extraction_results GROUP BY run_id) r CROSS JOIN (SELECT AVG(cnt) AS avg_cnt FROM (SELECT run_id, COUNT(result_id) AS cnt FROM extraction_results GROUP BY run_id)) avg_tbl WHERE r.cnt > avg_tbl.avg_cnt;"
"18","Quelle est la répartition en pourcentage des états parmi les documents ?","SELECT s.code AS 'Etat', ROUND(100.0 * COUNT(d.document_id) / (SELECT COUNT(*) FROM documents), 2) AS 'Pourcentage' FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY s.code;"
"1","Combien de documents de plus de 100 pages existent par état ?","SELECT s.code AS 'Etat', COUNT(d.document_id) AS 'Nb_Documents' FROM documents d JOIN states s ON d.state_id = s.state_id WHERE d.nb_pages > 100 GROUP BY s.code"
"2","Quelles villes ont soumis des documents de type M57_CA ?","SELECT DISTINCT d.city_name AS Ville FROM documents d WHERE d.mask = 'M57_CA'"
"3","Quel est le montant total extrait par champ SAFIR pour les exécutions réussies de l'année 2023 ?","SELECT er.safir_field_id AS 'Champ_SAFIR', SUM(CAST(er.value AS FLOAT)) AS 'Montant_Total' FROM extraction_results er JOIN extraction_runs r ON er.run_id = r.run_id JOIN documents d ON er.document_id = d.document_id JOIN states s ON er.state_id = s.state_id WHERE d.document_year = '2023' AND s.code = 'SUCCESS' GROUP BY er.safir_field_id"
"4","Quelle est la moyenne du nombre de pages selon le format du document ?","SELECT d.format AS 'Format', AVG(d.nb_pages) AS 'Pages_Moyennes' FROM documents d GROUP BY d.format"
"5","Combien d'exécutions d'extraction se sont terminées en erreur, par état ?","SELECT s.code AS 'Etat', COUNT(r.run_id) AS 'Nb_Runs_Erreur' FROM extraction_runs r JOIN states s ON r.state_id = s.state_id WHERE s.code = 'ERROR' GROUP BY s.code"
"6","Quels sont les 5 champs SAFIR avec le montant total extrait le plus élevé ?","SELECT er.safir_field_id AS 'Champ_SAFIR', SUM(CAST(er.value AS FLOAT)) AS 'Montant_Total' FROM extraction_results er GROUP BY er.safir_field_id ORDER BY Montant_Total DESC LIMIT 5"
"7","Combien de résultats d'extraction ont été enregistrés pour chaque document ?","SELECT d.document_id AS 'Document', COUNT(er.result_id) AS 'Nb_Results' FROM extraction_results er JOIN documents d ON er.document_id = d.document_id GROUP BY d.document_id"
"8","Quels documents contiennent au moins un message d'avertissement dans les résultats d'extraction ?","SELECT DISTINCT d.document_id AS 'Document', d.city_name AS 'Ville' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_warning IS NOT NULL"
"9","Quel est le ratio d'exécutions réussies par rapport au total des exécutions pour chaque document ?","SELECT d.document_id AS 'Document', SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) * 1.0 / COUNT(r.run_id) AS 'Ratio_Succes' FROM extraction_runs r JOIN documents d ON r.document_id = d.document_id JOIN states s ON r.state_id = s.state_id GROUP BY d.document_id"
"10","Quels jeux de règles possèdent des règles de validation de niveau ECHEC ?","SELECT DISTINCT rs.ruleset_id AS 'Ruleset' FROM validation_rules vr JOIN rulesets rs ON vr.ruleset_id = rs.ruleset_id WHERE vr.level_of_problem = 'ECHEC'"
"11","Combien de règles de champ existent pour chaque masque ?","SELECT fr.mask AS 'Masque', COUNT(fr.extraction_rule_id) AS 'Nb_Rules' FROM field_rules fr GROUP BY fr.mask"
"13","Quels documents ont un résultat d'extraction supérieur à 1 000 000 et sont en état SUCCESS ?","SELECT DISTINCT d.document_id AS 'Document', d.city_name AS 'Ville' FROM documents d JOIN extraction_results er ON d.document_id = er.document_id JOIN states s ON er.state_id = s.state_id WHERE CAST(er.value AS FLOAT) > 1000000 AND s.code = 'SUCCESS'"
