,user_question,gold_sql,generated_sql,code_quality_score_gen,code_quality_score_gold,relevance_gen,relevance_gold,logic_gen,logic_gold,fit_with_gold,reasoning_quality_gen,reasoning_gen_result,reasoning_gold_result,reasoning_quality_gold
0,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,"SELECT COUNT(*) FROM documents WHERE document_year = '2024' AND state_id IN (SELECT state_id FROM states WHERE code IN ('SUCCESS', 'PARTIAL'))",1.5,2.0,1,1,1,1,0,"The SQL logic is correct for counting documents from 2024 with successful or partial states, using proper joins via state_id. However, it lacks French aliasing (e.g., 'AS nombre_total_documents') and context like city_name or budget_type for human readability, making it incomplete for understanding results without looking up IDs.","The generated query correctly counts documents for 2024 but adds an unnecessary filter for state codes, reducing the count from 108 to 93. While logically sound, it doesn't fully match the user's request for total documents regardless of state.","The gold query directly answers the user's question by counting all documents from 2024 without additional filters, providing the correct total of 108 documents.","The SQL query correctly counts documents from the 'documents' table filtered by 'document_year = 2024', which directly answers the user's request for the total number of processed documents in 2024. The alias 'total_documents' is appropriately in French. However, it lacks context such as 'budget_type' or 'city_name', which would help a human understand the result without needing to look up IDs, making it incomplete for full comprehension."
1,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,SELECT COUNT(*) FROM documents WHERE state_id = (SELECT state_id FROM states WHERE code = 'SUCCESS'),1.5,1.5,0,1,1,1,0,"La logique est correcte car la requête compte les documents avec state_id correspondant à 'SUCCESS' via une sous-requête sur la table states, ce qui répond à la demande de compter les documents extraits avec succès. Cependant, la sélection manque de contexte (comme le nom de la commune ou l'année) pour une compréhension humaine complète, et les alias ne sont pas en français, ce qui est requis pour l'utilisateur final.","The generated query is logically sound but returns 0 documents, which doesn't match the gold result of 109, indicating it fails to correctly answer the question about successfully extracted documents.","The gold query correctly joins documents with states to count documents in SUCCESS state, returning 109 documents, which accurately answers the user's question.","The SQL logic is correct as it properly joins documents with states and filters for SUCCESS state, answering the user's request to count successfully extracted documents. However, it lacks completeness by not including contextual fields like document_year or budget_type, and the alias 'documents_reussis' is in French but should be more descriptive like 'nombre_documents_reussis' for clarity."
2,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;","SELECT budget_type, COUNT(*) AS count FROM documents GROUP BY budget_type",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne le champ 'budget_type' de la table 'documents' et compte les occurrences par type, répondant directement à la demande de répartition BP vs BA. La sélection est pertinente avec le champ 'budget_type' et le comptage. La sortie inclut suffisamment de contexte (types de budget et comptes) pour être compréhensible. L'alias 'count' est en anglais, mais il est simple et clair, ce qui est acceptable pour l'utilisateur final.","The generated query correctly answers the user's question about budget type distribution by counting documents grouped by budget_type, producing accurate results that match the gold standard.","The gold query effectively addresses the question by aggregating document counts per budget_type, providing a clear and correct breakdown of BP vs BA distribution.","La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et le compte, répondant exactement à la demande de répartition des types de budget (BP vs BA). La sélection est pertinente avec le champ 'budget_type' et le comptage, fournissant un contexte suffisant (types de budget et leur nombre) sans nécessiter d'IDs. Les alias sont en français ('nombre'), ce qui convient à l'utilisateur francophone."
3,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023',2.0,2.0,1,1,1,1,1,"The SQL query correctly selects distinct city names from the documents table filtered by document_year = '2023', which matches the user's request for distinct communes that submitted documents in 2023. The selection is relevant as it uses the correct field 'city_name' and filter 'document_year'. The output provides sufficient context with just the city names, making it understandable. However, the aliasing score is 0 because no French aliases are used (e.g., 'AS commune' is missing), which is required for the end-user's French context.","The generated query correctly retrieves distinct city names from documents submitted in 2023, matching the gold query exactly in both logic and results. It directly addresses the user's question without errors.","The gold query is logically sound, using the documents table with a filter on document_year to find distinct communes, and it returns a valid result set that answers the question accurately.","The SQL query correctly selects distinct city names from the documents table filtered by document_year = '2023', which directly matches the user's request for distinct communes that submitted documents in 2023. The selection is relevant as it uses the appropriate field (city_name) and filter (document_year). The output provides sufficient context with just the city names, making it understandable without additional IDs. However, the aliasing score is 0 because the query does not include any aliases in French (e.g., 'AS commune'), which is required for the end-user's context."
4,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,SELECT AVG(nb_pages) AS avg_pages FROM documents WHERE format = 'pdf',2.0,2.0,1,1,1,1,1,"La logique est correcte car la requête filtre sur 'format = pdf' et calcule la moyenne de 'nb_pages' depuis la table 'documents', ce qui répond à la demande de nombre moyen de pages des documents PDF. La sélection est pertinente avec 'AVG(nb_pages)', et l'alias 'avg_pages' est en anglais mais acceptable car simple et compréhensible. Cependant, la requête manque de complétude car elle n'inclut pas de contexte supplémentaire (par exemple, l'année ou le type de budget) qui pourrait être utile pour interpréter le résultat, bien que cela ne soit pas explicitement requis par la demande utilisateur.","The generated query correctly calculates the average number of pages for PDF documents by using the nb_pages column from the documents table with a format filter, producing the same result as the gold query.","The gold query accurately computes the average page count for PDF documents by filtering on format and averaging nb_pages, matching the generated result exactly.","The SQL logic is correct: it filters documents by 'pdf' format and calculates the average of 'nb_pages' with a French alias. However, it lacks context like 'document_year' or 'budget_type' that would help interpret the result, making it incomplete for a human user who might need to understand the temporal or budgetary scope of the average."
5,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,SELECT COUNT(*) FROM documents WHERE warning_message IS NOT NULL AND warning_message!= '',1.5,1.5,1,1,1,1,1,"La logique est correcte car la requête compte les documents avec un message d'avertissement non vide, ce qui répond à la demande de compter les documents présentant un message d'avertissement. La sélection est pertinente car elle utilise le champ 'warning_message' de la table 'documents'. Cependant, la sortie manque de contexte (comme l'année ou le type de budget) pour une compréhension humaine complète, et les alias ne sont pas en français, ce qui est requis pour l'utilisateur final.","The generated query correctly counts documents with non-empty warning messages, directly answering the user's question about warning messages. It uses the appropriate documents table and correctly filters for non-null and non-empty warning_message values.","The gold query effectively addresses the user's question by counting documents with warning messages, using proper SQL syntax and filtering conditions. It provides a clear column name for the result.","The SQL logic correctly counts documents with non-empty warning messages using 'warning_message IS NOT NULL AND warning_message != ''', which matches the user's request for documents with warning messages. However, it lacks context like document names or years, making the result less informative, and the alias 'docs_avec_alertes' is in French but could be more precise like 'nombre_documents_avec_avertissement'."
6,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;","SELECT mask, COUNT(*) AS frequency FROM documents GROUP BY mask ORDER BY frequency DESC",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne la colonne 'mask' de la table 'documents' et compte les occurrences pour chaque masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et 'COUNT(*)', et le résultat inclut suffisamment de contexte (masque et fréquence) pour être compréhensible. L'alias 'frequency' est en anglais, mais cela reste acceptable dans un contexte technique français où les termes anglais sont couramment utilisés pour des concepts comme 'frequency'.","The generated query correctly identifies document mask types and their frequencies from the documents table, matching the gold results exactly despite different column naming and ordering.","The gold query properly extracts mask types and counts from the documents table, providing a valid answer to the user's question about document mask types and frequencies.","La requête est logiquement correcte car elle sélectionne la colonne 'mask' de la table 'documents' et compte les occurrences par masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et l'alias 'occurrence' en français est approprié. Le résultat inclut suffisamment de contexte (masque et fréquence) pour être compréhensible sans références externes."
7,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;","SELECT document_year, COUNT(*) AS nb_documents FROM documents GROUP BY document_year ORDER BY document_year",2.5,2.5,1,1,1,1,1,"The SQL query correctly counts documents per budget year using the 'document_year' column from the 'documents' table, which directly matches the French request for 'Nombre de documents par année budgétaire'. The alias 'nb_documents' is appropriately in French, and the output includes the year for context, making it complete and understandable.","The generated query correctly counts documents per budget year using the documents table's document_year column, producing accurate results that match the gold standard. The query is logically sound and fully addresses the user's question about document counts by budget year.","The gold query properly groups documents by document_year and counts them, providing a clear answer to the user's question. It follows the SFIL schema correctly and returns valid results that match the generated query's output.","La requête est logiquement correcte car elle utilise la table 'documents' qui contient la colonne 'document_year' pour regrouper et compter les documents par année budgétaire. La sélection est pertinente avec COUNT(*), et l'alias 'total' en français est approprié. Le résultat inclut suffisamment de contexte avec l'année et le total, répondant complètement à la demande de l'utilisateur."
8,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,SELECT AVG(CAST(value AS REAL)) FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE safir_field_id = 'D001' AND city_name = 'Paris' AND document_year = '2024' AND state_id IN (SELECT state_id FROM states WHERE code = 'SUCCESS'),1.5,1.5,0,0,0,1,0,"The SQL logic is correct: it properly joins extraction_results with documents, filters for the specific safir_field_id 'D001', city_name 'Paris', document_year '2024', and ensures the document state is 'SUCCESS' via a subquery. It correctly calculates the average of the value field. However, the output lacks context (e.g., no city_name, document_year, or budget_type included), making it incomplete for human interpretation. Additionally, aliases are missing entirely, failing to provide French column names as required.","The generated query has a logic error with ambiguous column 'state_id' causing execution failure, and even if fixed, it adds an unnecessary state filter that could exclude relevant data. The execution error means it cannot answer the question.","The gold query is logically sound and correctly structured to compute the average debt for Paris in 2024, but it returns an empty result, indicating no matching data exists in the database for this specific query.","The SQL logic is correct: it properly joins extraction_results with documents, filters for safir_field_id='D001', city_name containing 'Paris', and document_year='2024', and calculates the average of the value field. However, it lacks context like budget_type and uses English aliases instead of French, making it incomplete for a French user."
9,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;","SELECT d.city_name, COUNT(*) AS nb_documents FROM documents d WHERE d.state_id IN (SELECT state_id FROM states WHERE code IN ('SUCCESS', 'VALIDATED')) GROUP BY d.city_name HAVING nb_documents > 5 ORDER BY nb_documents DESC",2.0,2.5,1,1,1,1,0,"La logique est correcte : la requête filtre les documents avec état 'SUCCESS' ou 'VALIDATED', compte par commune, et sélectionne celles avec plus de 5 documents. La sélection inclut le nom de la commune et le nombre de documents, ce qui est pertinent et complet. Cependant, l'alias 'nb_documents' n'est pas en français, ce qui ne respecte pas la consigne d'utiliser des alias en français (par exemple, 'AS nombre_documents').","The generated query correctly filters documents by successful/validated states and returns communes with >5 documents, but the counts differ from gold due to the state filter, making it a valid but more restrictive answer.","The gold query directly counts all documents per commune without state filtering, providing a straightforward answer to the user's question about document volume.","La requête est logiquement correcte car elle utilise la table 'documents' pour compter les documents par commune avec un filtre HAVING >5 et un tri décroissant, répondant exactement à la demande. La sélection inclut 'city_name' et le comptage, ce qui est pertinent. Le résultat fournit suffisamment de contexte (noms de communes et volumes) pour être compréhensible. L'alias 'total_documents' est en français, adapté à l'utilisateur."
