id,question_fr,sql,difficulty,tables_used,runtime_ok,runtime_error,result_row_count,judge_score,judge_verdict,judge_reason,judge_pass,judge_fix_sql,judge_dimension_scores,judge_flags,judge_model,judged_at_utc
cand_000001,Combien de documents avons-nous pour l'année 2024 ?,SELECT COUNT(*) FROM documents WHERE document_year = '2024';,easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:25:52.964248+00:00
cand_000002,Quels sont les noms des communes qui ont soumis des documents ?,SELECT DISTINCT city_name FROM documents;,easy,"[""documents""]",True,,24,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:25:59.518591+00:00
cand_000003,Afficher les documents avec le type de budget 'BP'.,SELECT * FROM documents WHERE budget_type = 'BP';,easy,"[""documents""]",True,,113,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:05.254672+00:00
cand_000004,Quel est le nombre total de pages pour les documents de l'année 2023 ?,SELECT SUM(nb_pages) FROM documents WHERE document_year = '2023';,easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:11.397944+00:00
cand_000005,Lister les formats des documents disponibles.,SELECT DISTINCT format FROM documents;,easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:17.430964+00:00
cand_000006,Combien de documents ont un message d'erreur ?,SELECT COUNT(*) FROM documents WHERE error_message IS NOT NULL AND error_message != '';,easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:23.072261+00:00
cand_000007,Afficher les SIRET des documents traités avec succès.,SELECT d.siret FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""documents"", ""states""]",True,,109,4.0,pass,"SQL correctly identifies successful documents by joining with states table and filtering on code 'SUCCESS', aligning with business intent. Schema usage is valid and query is simple and executable.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 4.0}",[],deepseek-chat,2026-03-05T15:26:29.521320+00:00
cand_000008,Quelle est la moyenne des pages par document ?,SELECT AVG(nb_pages) FROM documents;,easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:35.438166+00:00
cand_000009,Quelle est la répartition des documents par état (code) ?,"SELECT s.code, COUNT(d.document_id) FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY s.code;",medium,"[""documents"", ""states""]",True,,3,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema joins, and produces a clear, business-relevant output for financial analysts.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:41.823669+00:00
cand_000010,Comparer le nombre de documents entre les années 2023 et 2024.,"SELECT document_year, COUNT(*) FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year;",medium,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-05T15:26:47.444585+00:00
