id,question_fr,sql,difficulty,tags,tables_used,valid_sql,validation_error,generation_model,generated_at_utc,batch_index
cand_000001,Quelles sont les 10 communes avec le plus d'erreurs d'extraction en 2023 ?,"SELECT d.city_name, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2023' GROUP BY d.city_name ORDER BY error_count DESC LIMIT 10",easy,"[""erreurs"", ""communes"", ""extraction""]","[""documents"", ""extraction_results""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000002,Quelle est l'évolution du nombre total de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(document_id) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year",easy,"[""évolution"", ""documents"", ""année""]","[""documents""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000003,Quelle est la répartition des documents par format d'entrée en 2024 ?,"SELECT format, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' GROUP BY format ORDER BY document_count DESC",easy,"[""documents"", ""format"", ""répartition""]","[""documents""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000004,Quelle est la moyenne de pages par document pour chaque commune en 2024 ?,"SELECT city_name, AVG(nb_pages) as avg_pages FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY avg_pages DESC",easy,"[""documents"", ""pages"", ""communes""]","[""documents""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000005,Quelle est la répartition des documents par type de budget en 2024 ?,"SELECT budget_type, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' AND budget_type IS NOT NULL GROUP BY budget_type ORDER BY document_count DESC",easy,"[""documents"", ""budget"", ""répartition""]","[""documents""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000006,Quels sont les 5 champs les plus fréquemment en erreur lors de l'extraction en 2024 ?,"SELECT er.safir_field_id, COUNT(er.result_id) as error_count FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY er.safir_field_id ORDER BY error_count DESC LIMIT 5",medium,"[""erreurs"", ""champs"", ""extraction""]","[""documents"", ""extraction_results""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000007,Quelle est l'évolution du nombre de documents en erreur par an depuis 2023 ?,"SELECT d.document_year, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year IN ('2023', '2024') GROUP BY d.document_year ORDER BY d.document_year",medium,"[""erreurs"", ""documents"", ""évolution""]","[""documents"", ""extraction_results""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000008,Quelle est la répartition des erreurs d'extraction par type de document en 2024 ?,"SELECT d.mask, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY d.mask ORDER BY error_count DESC",medium,"[""erreurs"", ""documents"", ""répartition""]","[""documents"", ""extraction_results""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:15.217683+00:00,1
cand_000009,Quelle est la répartition des types de budget (BP et BA) pour les communes en 2024 ?,"SELECT budget_type, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY budget_type;",easy,"[""budget"", ""répartition""]","[""documents""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:40.973280+00:00,2
cand_000010,Quelles sont les 10 communes avec le plus de documents extraits en 2024 ?,"SELECT city_name, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY document_count DESC LIMIT 10;",easy,"[""extraction"", ""commune""]","[""documents""]",True,,mistralai/Mistral-Small-3.2-24B-Instruct-2506,2026-03-10T16:57:40.973280+00:00,2
