id,question_fr,sql,difficulty,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Quelles sont les 10 communes avec le plus d'erreurs d'extraction en 2023 ?,"SELECT d.city_name, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2023' GROUP BY d.city_name ORDER BY error_count DESC LIMIT 10",easy,"[""documents"", ""extraction_results""]","[""erreurs"", ""communes"", ""extraction""]",True,[],True,,False,41,6,2,6f99ab5280dcf516177cd0a9699e15e9652648de02b9c7964431b4785f1d641f
cand_000002,Quelle est l'évolution du nombre total de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(document_id) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year",easy,"[""documents""]","[""évolution"", ""documents"", ""année""]",True,[],True,,False,0,2,2,878680bd98014de0212545c68bb6367df82dca420234ac4808d619d8a9f89404
cand_000003,Quelle est la répartition des documents par format d'entrée en 2024 ?,"SELECT format, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' GROUP BY format ORDER BY document_count DESC",easy,"[""documents""]","[""documents"", ""format"", ""répartition""]",True,[],True,,False,0,2,2,f6ae32b6c0073f590c268271a87cd8368b843bbc229e187323bdb07f82e05b22
cand_000004,Quelle est la moyenne de pages par document pour chaque commune en 2024 ?,"SELECT city_name, AVG(nb_pages) as avg_pages FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY avg_pages DESC",easy,"[""documents""]","[""documents"", ""pages"", ""communes""]",True,[],True,,False,0,18,2,441ba701fbb673026e1f0e627a6fdde9122f22cda63533261ccaa0cb9db6bd22
cand_000005,Quelle est la répartition des documents par type de budget en 2024 ?,"SELECT budget_type, COUNT(document_id) as document_count FROM documents WHERE document_year = '2024' AND budget_type IS NOT NULL GROUP BY budget_type ORDER BY document_count DESC",easy,"[""documents""]","[""documents"", ""budget"", ""répartition""]",True,[],True,,False,0,2,2,aef24b4f7405528181efc54a05e7c2815d7aa7baaa7d9392d27e71d9e74bc9d7
cand_000006,Quels sont les 5 champs les plus fréquemment en erreur lors de l'extraction en 2024 ?,"SELECT er.safir_field_id, COUNT(er.result_id) as error_count FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY er.safir_field_id ORDER BY error_count DESC LIMIT 5",medium,"[""documents"", ""extraction_results""]","[""erreurs"", ""champs"", ""extraction""]",True,[],True,,False,9,5,2,f1edf122c3ff5ea2b9527851509395e281a158207f9b9b67c3d0cfe91906e02a
cand_000007,Quelle est l'évolution du nombre de documents en erreur par an depuis 2023 ?,"SELECT d.document_year, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year IN ('2023', '2024') GROUP BY d.document_year ORDER BY d.document_year",medium,"[""documents"", ""extraction_results""]","[""erreurs"", ""documents"", ""évolution""]",True,[],True,,False,11,2,2,421d384ab5d77c5c48e3d4327c410e15a9a2c389c502bc587671de1c5dc2ca55
cand_000008,Quelle est la répartition des erreurs d'extraction par type de document en 2024 ?,"SELECT d.mask, COUNT(er.result_id) as error_count FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND d.document_year = '2024' GROUP BY d.mask ORDER BY error_count DESC",medium,"[""documents"", ""extraction_results""]","[""erreurs"", ""documents"", ""répartition""]",True,[],True,,False,8,2,2,4ff950cba9d5ec6952ec1ec92e2fdf11ad46da307c7410f650d9a14407a152f9
cand_000009,Quelle est la répartition des types de budget (BP et BA) pour les communes en 2024 ?,"SELECT budget_type, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY budget_type;",easy,"[""documents""]","[""budget"", ""répartition""]",True,[],True,,False,0,2,2,aa9f8b6144a1b29478b03a21222cf5a7da54da0c688c03872aa9e82f1c9d16aa
cand_000010,Quelles sont les 10 communes avec le plus de documents extraits en 2024 ?,"SELECT city_name, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY city_name ORDER BY document_count DESC LIMIT 10;",easy,"[""documents""]","[""extraction"", ""commune""]",True,[],True,,False,0,10,2,6080609d60c712453a9bf231520f2c083cd3d464814cedc5219a954a19c5ee72
cand_000011,Quelle est l'évolution du nombre de documents extraits par an depuis 2023 ?,"SELECT document_year, COUNT(*) as document_count FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year ORDER BY document_year;",easy,"[""documents""]","[""extraction"", ""tendance""]",True,[],True,,False,0,2,2,6c93579ec67337ce9bcbe04f697a550a77663f5f8383ce409b969278cfcfdff9
cand_000012,Quelle est la répartition des formats de documents extraits en 2024 ?,"SELECT format, COUNT(*) as document_count FROM documents WHERE document_year = '2024' GROUP BY format;",easy,"[""documents""]","[""format"", ""répartition""]",True,[],True,,False,0,2,2,3123649ce41802013a6d6fa7927c1316b44a785f33798d0542e0c541076cb637
cand_000013,Quels sont les 5 champs les plus fréquemment extraits en 2024 ?,"SELECT safir_field_id, COUNT(*) as extraction_count FROM extraction_results WHERE document_id IN (SELECT document_id FROM documents WHERE document_year = '2024') GROUP BY safir_field_id ORDER BY extraction_count DESC LIMIT 5;",easy,"[""extraction_results"", ""documents""]","[""extraction"", ""champ""]",True,[],True,,False,11,5,2,b225da8e5ddce78a01861568f1255d21274663ad6289779ba6c323445fde2968
