,prompt,answer,success,result
0,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,True,"|   total_documents |
|------------------:|
|               108 |"
1,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,True,"|   documents_reussis |
|--------------------:|
|                 109 |"
2,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;",True,"| budget_type   |   nombre |
|:--------------|---------:|
| BA            |       13 |
| BP            |      113 |"
3,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,True,"| city_name                     |
|:------------------------------|
| VILLE DE LYON                 |
| BOURGES PLUS                  |
| Mairie de Nantes              |
| VILLE DE CANNES               |
| REGIE ENR-SYNDMC SDEC ENERGIE |"
4,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,True,"|   pages_moyennes |
|-----------------:|
|          263.607 |"
5,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,True,"|   docs_avec_alertes |
|--------------------:|
|                  64 |"
6,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;",True,"| mask    |   occurrence |
|:--------|-------------:|
| M4_CFU  |            1 |
| M57_CA  |           55 |
| M57_CFU |           70 |"
7,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;",True,"|   document_year |   total |
|----------------:|--------:|
|            2023 |      18 |
|            2024 |     108 |"
8,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,True,"| dette_moyenne   |
|:----------------|
|                 |"
9,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;",True,"| city_name                            |   total_documents |
|:-------------------------------------|------------------:|
| COMMUNAUTE AGGLOMERATION LUNEL AGGLO |                21 |
| COMMUNE DE BONIFACIO                 |                20 |
| BAGNOLET VILLE - VILLE               |                14 |
| Ville de Concarneau                  |                 8 |
| EUROMETROPOLE STRASBOURG             |                 8 |"
10,"Pour chaque type de document (mask), quel est le taux d'échec d'extraction (documents en état ERROR) ?","SELECT d.mask, ROUND(100.0 * SUM(CASE WHEN s.code = 'ERROR' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_echec FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY d.mask;",True,"| mask    |   taux_echec |
|:--------|-------------:|
| M4_CFU  |         0    |
| M57_CA  |        12.73 |
| M57_CFU |         5.71 |"
