id,question_fr,sql,difficulty,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Quel est le taux de documents en erreur par année ?,"SELECT documents.document_year, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents) AS error_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' GROUP BY documents.document_year;",medium,"[""documents"", ""states""]","[""financial_analysis"", ""error_rate"", ""time_series""]",True,[],True,,False,5,1,2,ef2ccae0d56a7cec31b67e9ef12b5d1e85706ff7ac2bf4f347f3e46c966a97b7
cand_000002,Quels sont les 5 communes avec le plus de documents en format scan ?,"SELECT city_name, COUNT(*) AS scan_count FROM documents WHERE format = 'scan' GROUP BY city_name ORDER BY scan_count DESC LIMIT 5;",easy,"[""documents""]","[""document_analysis"", ""format_distribution""]",True,[],True,,False,0,5,2,a9d4c780852b8b6910c5e38e5372238ab8985a818dfa247705556e7deec7475d
cand_000003,Quelle est la moyenne des pages par document pour les documents en 2024 ?,SELECT AVG(nb_pages) AS avg_pages FROM documents WHERE document_year = '2024';,easy,"[""documents""]","[""document_analysis"", ""statistical_summary""]",True,[],True,,False,0,1,1,f40d0b97a82980719222c739411de6ee2272732ab028f764cde85c52ff15a896
cand_000004,Quels sont les types de budget (BP/BA) les plus courants ?,"SELECT budget_type, COUNT(*) AS count FROM documents GROUP BY budget_type ORDER BY count DESC;",easy,"[""documents""]","[""budget_type"", ""distribution""]",True,[],True,,False,0,2,2,c5e35d83a00fa8459c3e41f9b5eeac4388d2784df26bfe9b0aec3d1571525048
cand_000005,Quel est le nombre de documents avec des avertissements mais sans erreurs ?,SELECT COUNT(*) AS warning_only_count FROM documents WHERE warning_message IS NOT NULL AND error_message IS NULL;,medium,"[""documents""]","[""document_quality"", ""error_analysis""]",True,[],True,,False,0,1,1,f01cc9117b025427fe4244b0dd9770b8014d915b27cd8904d96c78dfc1a77662
cand_000006,Quelle est la valeur moyenne du champ D001 par année ?,"SELECT documents.document_year, AVG(CAST(extraction_results.value AS REAL)) AS avg_d001 FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id = 'D001' GROUP BY documents.document_year;",hard,"[""extraction_results"", ""documents""]","[""financial_metric"", ""time_series"", ""aggregation""]",True,[],True,,False,3,2,2,6bdfb00f0716f1c2e25bc9e4e9a999e7ba46787176cc3a45318c60abe594e662
cand_000007,Quels sont les documents avec des erreurs d'extraction dans les champs de dette ?,"SELECT documents.document_id, documents.city_name, extraction_results.safir_field_id, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL;",medium,"[""extraction_results"", ""documents""]","[""error_analysis"", ""financial_metric""]",True,[],True,,False,14,2604,4,36e91a009e27167b6764d44f867d35a29901877012e8be5b7b6b265f16091470
cand_000008,Quel est le pourcentage de documents avec succès par type de masque ?,"SELECT mask, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents) AS success_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'SUCCESS' GROUP BY mask;",medium,"[""documents"", ""states""]","[""document_analysis"", ""mask_distribution""]",True,[],True,,False,6,3,2,b9fc791e9612ccf89cda71cd065ad7c16d33b4f931df3ba89852162aba324008
cand_000009,Quelle est la commune avec le plus grand nombre de documents en 2023 ?,"SELECT city_name, COUNT(*) AS doc_count FROM documents WHERE document_year = '2023' GROUP BY city_name ORDER BY doc_count DESC LIMIT 1;",easy,"[""documents""]","[""document_analysis"", ""city_comparison""]",True,[],True,,False,0,1,2,abc81c5f437a1573946bff9063dd83f6fdf2f04a131eca74820f208b9690ca0b
cand_000010,Quels sont les documents avec des erreurs liées à la dette en 2024 ?,"SELECT documents.document_id, documents.city_name, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE documents.document_year = '2024' AND extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL;",medium,"[""extraction_results"", ""documents""]","[""error_analysis"", ""financial_metric""]",True,[],True,,False,13,2232,3,c0f511493008a7d74c6fa61f420374c7b915ecabb4c61677ce59cd88f6a127e5
cand_000011,Quelle est la distribution des documents par année et par type de budget ?,"SELECT document_year, budget_type, COUNT(*) AS count FROM documents GROUP BY document_year, budget_type ORDER BY document_year, count DESC;",medium,"[""documents""]","[""budget_analysis"", ""time_series""]",True,[],True,,False,0,4,3,b451eef9b762d8daebcd3f69e2666ab9d54c3315dbf6897e6ef840217c739ae1
cand_000012,Quel est le nombre moyen de pages par document par année ?,"SELECT document_year, AVG(nb_pages) AS avg_pages FROM documents GROUP BY document_year;",easy,"[""documents""]","[""document_analysis"", ""statistical_summary""]",True,[],True,,False,0,2,2,b5127a7f7f7a6607ae9afe7df24d9fd6b9dfd968097c686fcbd0c324799e1bd7
cand_000013,Quels sont les documents avec des avertissements sur les sections annexes ?,"SELECT documents.document_id, documents.city_name, documents.warning_message FROM documents WHERE warning_message LIKE '%sections annexes%';",medium,"[""documents""]","[""document_analysis"", ""warning_analysis""]",True,[],True,,False,0,0,3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000014,Quel est le pourcentage de documents avec succès en 2024 par commune ?,"SELECT city_name, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents WHERE document_year = '2024') AS success_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'SUCCESS' AND documents.document_year = '2024' GROUP BY city_name;",hard,"[""documents"", ""states""]","[""city_comparison"", ""success_rate""]",True,[],True,,False,1,18,2,2285caff3aeed8dfc56c35a2ee8adecb4d3f08d6a06e63b1b3dff34f0955baeb
cand_000015,Quels sont les documents avec des erreurs dans les champs de recettes ?,"SELECT documents.document_id, documents.city_name, extraction_results.safir_field_id, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id LIKE 'RI%' AND extraction_results.message_error IS NOT NULL;",medium,"[""extraction_results"", ""documents""]","[""error_analysis"", ""financial_metric""]",True,[],True,,False,13,2446,4,d4218fee016f2b2eaa8028ce59c0a489c3279efd883a44229dfde26dbd62cc26
cand_000016,Quelle est la valeur totale du champ D002 pour les documents en 2023 ?,SELECT SUM(CAST(value AS REAL)) AS total_d002 FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE safir_field_id = 'D002' AND documents.document_year = '2023';,medium,"[""extraction_results"", ""documents""]","[""financial_metric"", ""aggregation""]",True,[],True,,False,3,1,1,519fe2402b1d1eece4a8dadeb91ebf425d426adcdb12fc31afa23507e9f97ad6
cand_000017,Quels sont les documents avec des avertissements mais pas d'erreurs en 2024 ?,"SELECT document_id, city_name, warning_message FROM documents WHERE document_year = '2024' AND warning_message IS NOT NULL AND error_message IS NULL;",medium,"[""documents""]","[""document_quality"", ""warning_analysis""]",True,[],True,,False,0,0,3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000018,Quel est le nombre de documents par type de masque et par année ?,"SELECT mask, document_year, COUNT(*) AS count FROM documents GROUP BY mask, document_year;",medium,"[""documents""]","[""document_analysis"", ""mask_distribution""]",True,[],True,,False,0,5,3,0d3df9cfe9bcda4fbc0e6ee67f3b832de567ba1515c97134b8cf4843b594fda4
cand_000019,Quelle est la commune avec le plus grand nombre de documents en erreur en 2023 ?,"SELECT city_name, COUNT(*) AS error_count FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' AND document_year = '2023' GROUP BY city_name ORDER BY error_count DESC LIMIT 1;",hard,"[""documents"", ""states""]","[""city_comparison"", ""error_analysis""]",True,[],True,,False,0,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000020,Quels sont les documents avec des erreurs dans les champs de dépenses en 2024 ?,"SELECT documents.document_id, documents.city_name, extraction_results.safir_field_id, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL AND documents.document_year = '2024';",medium,"[""extraction_results"", ""documents""]","[""error_analysis"", ""financial_metric""]",True,[],True,,False,13,2232,4,1d199cecf79b12e6d71e971dfd8dd1055122777d8b8ba84ba80d463a6c7e944a
cand_000021,Quelle est la moyenne du nombre de pages par document pour les documents en 2023 ?,SELECT AVG(nb_pages) FROM documents WHERE document_year = '2023';,easy,"[""documents""]","[""financial_analysis"", ""document_stats""]",True,[],True,,False,0,1,1,4a6d2b1da7e5297b4872a2c3491fbd6b514f48cd9bdb9f71c1802885642441e9
cand_000022,Quels sont les 5 communes avec le plus de documents en format scan en 2024 ?,"SELECT city_name, COUNT(*) AS count FROM documents WHERE format = 'scan' AND document_year = '2024' GROUP BY city_name ORDER BY count DESC LIMIT 5;",medium,"[""documents""]","[""document_analysis"", ""format_distribution""]",True,[],True,,False,0,5,2,b0575b084b785d82b9aee49d05c0b15d470f86441b8b4b72d63d0f2e58bbdf31
cand_000023,Quel est le pourcentage de documents avec succès en 2023 par commune ?,"SELECT city_name, (COUNT(CASE WHEN state_id IN (SELECT state_id FROM states WHERE code = 'SUCCESS') THEN 1 END) * 100.0 / COUNT(*)) AS success_rate FROM documents WHERE document_year = '2023' GROUP BY city_name;",medium,"[""documents"", ""states""]","[""success_rate"", ""commune_analysis""]",True,[],True,,False,12,6,2,fefa897130c6f2588c777e411bcf5e3b2a42fe3e8fc7f0c9cadaacf35a3edd6f
cand_000024,Quelle est la valeur totale du champ D001 pour les documents en 2023 ?,SELECT SUM(CAST(value AS REAL)) AS total_D001 FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE safir_field_id = 'D001' AND documents.document_year = '2023';,medium,"[""extraction_results"", ""documents""]","[""financial_aggregation"", ""field_analysis""]",True,[],True,,False,3,1,1,52667a7a891300ed684f58519513f055b926e050ec59e2eed63e41571e15ed5b
cand_000025,Quel est le nombre de documents avec des avertissements mais pas d'erreurs en 2024 ?,SELECT COUNT(*) FROM documents WHERE document_year = '2024' AND warning_message IS NOT NULL AND error_message IS NULL;,easy,"[""documents""]","[""warning_analysis"", ""document_stats""]",True,[],True,,False,0,1,1,52667a7a891300ed684f58519513f055b926e050ec59e2eed63e41571e15ed5b
cand_000026,Quels sont les types de budget (BP/BA) les plus courants en 2023 ?,"SELECT budget_type, COUNT(*) AS count FROM documents WHERE document_year = '2023' GROUP BY budget_type ORDER BY count DESC;",easy,"[""documents""]","[""budget_type"", ""document_stats""]",True,[],True,,False,0,2,2,c8fd5fa046b5e15b20c88a9f211ea3414dde9ee4581e7f8d9a47ccfcc6d00bf7
cand_000027,Quels sont les documents avec des erreurs d'extraction dans les champs de recettes ?,"SELECT documents.document_id, documents.city_name FROM documents JOIN extraction_results ON documents.document_id = extraction_results.document_id WHERE extraction_results.message_error LIKE '%recettes%';",medium,"[""documents"", ""extraction_results""]","[""error_analysis"", ""revenue_fields""]",True,[],True,,False,6,584,2,441496d098578c2c912b17595f52d53ec709a091d478d25bc320ede7ac5be0dc
cand_000028,Quel est le top 5 des communes avec le plus de documents en 2023 ?,"SELECT city_name, COUNT(*) AS count FROM documents WHERE document_year = '2023' GROUP BY city_name ORDER BY count DESC LIMIT 5;",easy,"[""documents""]","[""commune_analysis"", ""document_stats""]",True,[],True,,False,0,5,2,9b039283e77f760a82dd44ec613bae01d426576eb3e13c83e9f940307e6ab68c
cand_000029,Quelle est la moyenne du nombre de pages par document pour les documents en 2024 ?,SELECT AVG(nb_pages) FROM documents WHERE document_year = '2024',easy,"[""documents""]","[""financial_analysis"", ""document_stats""]",True,[],True,,False,0,1,1,52667a7a891300ed684f58519513f055b926e050ec59e2eed63e41571e15ed5b
cand_000030,Quel est le nombre total de documents en 2023 ?,SELECT COUNT(*) FROM documents WHERE document_year = '2023',easy,"[""documents""]","[""document_stats"", ""yearly_analysis""]",True,[],True,,False,0,1,1,52667a7a891300ed684f58519513f055b926e050ec59e2eed63e41571e15ed5b
cand_000031,Quels sont les 5 types de masque les plus courants ?,"SELECT mask, COUNT(*) AS count FROM documents GROUP BY mask ORDER BY count DESC LIMIT 5",easy,"[""documents""]","[""document_stats"", ""mask_analysis""]",True,[],True,,False,0,3,2,fb1687b93921f78d3f10c7a9174b69f45d47da7a74768f4cea288139d027c14f
cand_000032,Quel est le nombre de documents avec succès en 2024 par commune ?,"SELECT d.city_name, COUNT(*) AS success_count FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' AND d.document_year = '2024' GROUP BY d.city_name",medium,"[""documents"", ""states""]","[""budget_comparison"", ""success_rate""]",True,[],True,,False,1,18,2,d3bd036eb087b01c0a50cbe8845937ca911ace279d1fdc4a10d918dd24920bb6
cand_000033,Quelle est la distribution des documents par année et par type de budget (BP/BA) ?,"SELECT document_year, budget_type, COUNT(*) AS count FROM documents GROUP BY document_year, budget_type",medium,"[""documents""]","[""budget_structure"", ""yearly_analysis""]",True,[],True,,False,0,4,3,7fa8f26ba047c292207b1124ec5b01f83ad5cecd0276cafa90b9013014d1a94a
cand_000034,Quels sont les documents avec des avertissements mais pas d'erreurs en 2023 ?,SELECT * FROM documents WHERE document_year = '2023' AND warning_message IS NOT NULL AND error_message IS NULL,medium,"[""documents""]","[""error_analysis"", ""document_quality""]",True,[],True,,False,0,0,13,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000035,"Quel est le total des valeurs du champ D001 pour les documents en 2024, en excluant les documents avec erreurs ?",SELECT SUM(CAST(value AS REAL)) AS total_D001 FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2024' AND d.state_id IN (SELECT state_id FROM states WHERE code = 'SUCCESS'),hard,"[""extraction_results"", ""documents"", ""states""]","[""financial_aggregates"", ""error_filtering""]",True,[],True,,False,18,1,1,52667a7a891300ed684f58519513f055b926e050ec59e2eed63e41571e15ed5b
