id,question_fr,sql,difficulty,tags,tables_used,valid_sql,validation_error,generation_model,generated_at_utc,batch_index
cand_000001,Quel est le taux de documents en erreur par année ?,"SELECT documents.document_year, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents) AS error_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' GROUP BY documents.document_year;",medium,"[""financial_analysis"", ""error_rate"", ""time_series""]","[""documents"", ""states""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.472604+00:00,1
cand_000002,Quels sont les 5 communes avec le plus de documents en format scan ?,"SELECT city_name, COUNT(*) AS scan_count FROM documents WHERE format = 'scan' GROUP BY city_name ORDER BY scan_count DESC LIMIT 5;",easy,"[""document_analysis"", ""format_distribution""]","[""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.473550+00:00,1
cand_000003,Quelle est la moyenne des pages par document pour les documents en 2024 ?,SELECT AVG(nb_pages) AS avg_pages FROM documents WHERE document_year = '2024';,easy,"[""document_analysis"", ""statistical_summary""]","[""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.473550+00:00,1
cand_000004,Quels sont les types de budget (BP/BA) les plus courants ?,"SELECT budget_type, COUNT(*) AS count FROM documents GROUP BY budget_type ORDER BY count DESC;",easy,"[""budget_type"", ""distribution""]","[""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.473550+00:00,1
cand_000005,Quel est le nombre de documents avec des avertissements mais sans erreurs ?,SELECT COUNT(*) AS warning_only_count FROM documents WHERE warning_message IS NOT NULL AND error_message IS NULL;,medium,"[""document_quality"", ""error_analysis""]","[""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.474601+00:00,1
cand_000006,Quelle est la valeur moyenne du champ D001 par année ?,"SELECT documents.document_year, AVG(CAST(extraction_results.value AS REAL)) AS avg_d001 FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id = 'D001' GROUP BY documents.document_year;",hard,"[""financial_metric"", ""time_series"", ""aggregation""]","[""extraction_results"", ""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.474601+00:00,1
cand_000007,Quels sont les documents avec des erreurs d'extraction dans les champs de dette ?,"SELECT documents.document_id, documents.city_name, extraction_results.safir_field_id, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL;",medium,"[""error_analysis"", ""financial_metric""]","[""extraction_results"", ""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.474601+00:00,1
cand_000008,Quel est le pourcentage de documents avec succès par type de masque ?,"SELECT mask, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents) AS success_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'SUCCESS' GROUP BY mask;",medium,"[""document_analysis"", ""mask_distribution""]","[""documents"", ""states""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.475791+00:00,1
cand_000009,Quelle est la commune avec le plus grand nombre de documents en 2023 ?,"SELECT city_name, COUNT(*) AS doc_count FROM documents WHERE document_year = '2023' GROUP BY city_name ORDER BY doc_count DESC LIMIT 1;",easy,"[""document_analysis"", ""city_comparison""]","[""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.476530+00:00,1
cand_000010,Quels sont les documents avec des erreurs liées à la dette en 2024 ?,"SELECT documents.document_id, documents.city_name, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE documents.document_year = '2024' AND extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL;",medium,"[""error_analysis"", ""financial_metric""]","[""extraction_results"", ""documents""]",True,,Qwen/Qwen2.5-7B-Instruct,2026-03-09T23:38:58.476530+00:00,1
