id,question_fr,sql,difficulty,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Combien de documents avons-nous pour l'année 2024 ?,SELECT COUNT(*) FROM documents WHERE document_year = '2024';,easy,"[""documents""]","[""documents"", ""count""]",True,[],True,,False,0,1,1,4fe3748745c88c2b119ddd4696bedaaa529233549f3f9994d17f289026af782e
cand_000002,Quels sont les noms des communes qui ont soumis des documents ?,SELECT DISTINCT city_name FROM documents;,easy,"[""documents""]","[""communes"", ""list""]",True,[],True,,False,0,24,1,294829853ce7935d74051936e87b8cbee12995cf48b774e10325b36d3b79b9dd
cand_000003,Afficher les documents avec le type de budget 'BP'.,SELECT * FROM documents WHERE budget_type = 'BP';,easy,"[""documents""]","[""budget_type"", ""filter""]",True,[],True,,False,1,113,13,09657bb45ced80892a2f5779334667ddb0698cae00fbee6a9572bcc6fa6f48aa
cand_000004,Quel est le nombre total de pages pour les documents de l'année 2023 ?,SELECT SUM(nb_pages) FROM documents WHERE document_year = '2023';,easy,"[""documents""]","[""pages"", ""sum""]",True,[],True,,False,0,1,1,43937135060cd141afe78ede5222a9b95eae17d39b638d63aed66d14384d18e5
cand_000005,Lister les formats des documents disponibles.,SELECT DISTINCT format FROM documents;,easy,"[""documents""]","[""formats"", ""list""]",True,[],True,,False,0,2,1,e7dd7603561bf05f36ee8fc09747ead7360ee442b309061d58dcfde9a261fe28
cand_000006,Combien de documents ont un message d'erreur ?,SELECT COUNT(*) FROM documents WHERE error_message IS NOT NULL AND error_message != '';,easy,"[""documents""]","[""errors"", ""count""]",True,[],True,,False,0,1,1,d57d55da53809e26d426a2e0ecc2ff5196193379b9d65825ef93f99814436f58
cand_000007,Afficher les SIRET des documents traités avec succès.,SELECT d.siret FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""documents"", ""states""]","[""siret"", ""success""]",True,[],True,,False,9,109,1,f4805b8f2c6869ff0d0e046526b978ac3b1109d222230d7e71e9de3cc6a5b33d
cand_000008,Quelle est la moyenne des pages par document ?,SELECT AVG(nb_pages) FROM documents;,easy,"[""documents""]","[""pages"", ""average""]",True,[],True,,False,0,1,1,d57d55da53809e26d426a2e0ecc2ff5196193379b9d65825ef93f99814436f58
cand_000009,Quelle est la répartition des documents par état (code) ?,"SELECT s.code, COUNT(d.document_id) FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY s.code;",medium,"[""documents"", ""states""]","[""states"", ""distribution""]",True,[],True,,False,1,3,2,dc203a8151a262849e11674361640914e2e715684982d0aee5f77f05c7fec156
cand_000010,Comparer le nombre de documents entre les années 2023 et 2024.,"SELECT document_year, COUNT(*) FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year;",medium,"[""documents""]","[""year_comparison"", ""count""]",True,[],True,,False,0,2,2,83639abba21ed0134875fdf4e0f80175d3ccf57c74f23377c7324d6239fdf951
cand_000011,Lister les valeurs extraites pour le champ financier 'D001' pour toutes les communes.,"SELECT er.value, d.city_name FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001';",medium,"[""extraction_results"", ""documents""]","[""financial_field"", ""values""]",True,[],True,,False,6,109,2,612acfd8f289709d04386749909d60ab94e4ce5bc673a1957ee0b2c111be2bab
