id,question_fr,sql,difficulty,tags,tables_used,valid_sql,validation_error,generation_model,generated_at_utc,batch_index
cand_000001,Combien de documents ont été ingérés chaque année ?,"SELECT d.document_year AS annee, COUNT(*) AS nb_documents FROM documents d GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""documents"", ""comptage"", ""annee""]","[""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.911138+00:00,1
cand_000002,Quel est le nombre de documents contenant une erreur d’ingestion par année ?,"SELECT d.document_year AS annee, COUNT(*) AS nb_erreurs FROM documents d WHERE TRIM(d.error_message) <> '' GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""documents"", ""erreurs"", ""annee""]","[""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.912141+00:00,1
cand_000003,Quelle est la moyenne du nombre de pages selon le type de budget (BP ou BA) ?,"SELECT d.budget_type, AVG(d.nb_pages) AS pages_moyenne FROM documents d GROUP BY d.budget_type;",easy,"[""documents"", ""pages"", ""budget_type""]","[""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.912141+00:00,1
cand_000004,Quelles sont les 5 communes avec le plus grand nombre de documents traités ?,"SELECT d.city_name AS commune, COUNT(*) AS nb_documents FROM documents d GROUP BY d.city_name ORDER BY nb_documents DESC LIMIT 5;",easy,"[""documents"", ""communes"", ""top""]","[""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.912141+00:00,1
cand_000005,Quel pourcentage de documents est en état SUCCESS ?,"SELECT ROUND(100.0 * SUM(CASE WHEN s.code = 'SUCCESS' THEN 1 ELSE 0 END) / COUNT(*), 2) AS pourcentage_success FROM documents d JOIN states s ON d.state_id = s.state_id;",easy,"[""documents"", ""states"", ""pourcentage""]","[""documents"", ""states""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.912141+00:00,1
cand_000006,Quel est le total des recettes extraites pour chaque année ?,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE r.safir_field_id = 'Recettes' GROUP BY d.document_year ORDER BY d.document_year;",easy,"[""extraction_results"", ""recettes"", ""annee""]","[""extraction_results"", ""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.913717+00:00,1
cand_000007,Combien de résultats d’extraction sont associés à chaque état du processus ?,"SELECT s.code AS etat, COUNT(*) AS nb_resultats FROM extraction_results r JOIN states s ON r.state_id = s.state_id GROUP BY s.code ORDER BY nb_resultats DESC;",easy,"[""extraction_results"", ""states"", ""comptage""]","[""extraction_results"", ""states""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.913717+00:00,1
cand_000008,"Quelle est la répartition des documents selon le type de masque (M57_CA, M57_CFU, etc.) ?","SELECT d.mask, COUNT(*) AS nb_documents FROM documents d GROUP BY d.mask ORDER BY nb_documents DESC;",easy,"[""documents"", ""mask"", ""repartition""]","[""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.914738+00:00,1
cand_000009,"Pour chaque commune, quel est le total des dépenses en 2023, classé du plus élevé au plus bas (top 5) ?","SELECT d.city_name AS commune, SUM(CAST(r.value AS REAL)) AS total_depenses FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.document_year = '2023' AND r.safir_field_id = 'Depenses' GROUP BY d.city_name ORDER BY total_depenses DESC LIMIT 5;",medium,"[""extraction_results"", ""depenses"", ""2023"", ""top""]","[""extraction_results"", ""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.914738+00:00,1
cand_000010,Comment évoluent les recettes totales de la commune 'Ville de Concarneau' au fil des années ?,"SELECT d.document_year AS annee, SUM(CAST(r.value AS REAL)) AS total_recettes FROM extraction_results r JOIN documents d ON r.document_id = d.document_id WHERE d.city_name = 'Ville de Concarneau' AND r.safir_field_id = 'Recettes' GROUP BY d.document_year ORDER BY d.document_year;",medium,"[""extraction_results"", ""recettes"", ""commune"", ""evolution""]","[""extraction_results"", ""documents""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.915738+00:00,1
cand_000011,Quel est le ratio dépenses / recettes pour chaque document de l'année 2024 ?,"WITH rec AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS recettes FROM extraction_results WHERE safir_field_id = 'Recettes' GROUP BY document_id ), dep AS ( SELECT document_id, SUM(CAST(value AS REAL)) AS depenses FROM extraction_results WHERE safir_field_id = 'Depenses' GROUP BY document_id ) SELECT d.document_id, d.city_name, d.document_year, CASE WHEN rec.recettes = 0 THEN NULL ELSE dep.depenses / rec.recettes END AS ratio_dep_rec FROM documents d LEFT JOIN rec ON d.document_id = rec.document_id LEFT JOIN dep ON d.document_id = dep.document_id WHERE d.document_year = '2024';",medium,"[""ratio"", ""depenses"", ""recettes"", ""2024""]","[""documents"", ""extraction_results""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.916792+00:00,1
cand_000012,"Quel est le délai moyen entre la création du document et le lancement de l’extraction, par année ?","SELECT d.document_year AS annee, AVG(strftime('%s', er.start_time) - strftime('%s', d.created_at)) / 3600.0 AS delai_moyen_heures FROM documents d JOIN extraction_runs er ON d.document_id = er.document_id GROUP BY d.document_year;",medium,"[""delai"", ""extraction_runs"", ""documents"", ""annee""]","[""documents"", ""extraction_runs""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.917793+00:00,1
cand_000013,Combien de documents sont en état ERROR et possèdent un message d’erreur non vide ?,SELECT COUNT(*) AS nb_documents FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'ERROR' AND TRIM(d.error_message) <> '';,medium,"[""documents"", ""error"", ""states""]","[""documents"", ""states""]",True,,openai/gpt-oss-120b,2026-03-09T23:10:26.917793+00:00,1
