question,response
Quel est le taux de réussite des extractions par année ?,"### Step-by-Step Solution:
1. Join the documents table with the states table to link document records with their current state.
2. Filter the states table to identify successful extractions using the 'SUCCESS' code.
3. Calculate the success rate by dividing the count of successful extractions by the total number of documents, then multiplying by 100 to get a percentage.
4. Group the results by document_year to show the success rate for each year.
5. Order the results chronologically by document_year.
Here is the resulting SQL query:

SELECT documents.document_year, COUNT(CASE WHEN states.code = 'SUCCESS' THEN 1 END) * 100.0 / COUNT(*) AS success_rate FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.document_year ORDER BY documents.document_year;"
Combien de documents ont un état 'Erreur' cette année ?,"### Step-by-Step Solution:
1. Join the documents table with the states table to link document records with their current state.
2. Filter for documents with the 'ERROR' state code and those from the year 2024.
3. Count the total number of documents that meet these criteria.
Here is the resulting SQL query:

SELECT COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' AND documents.document_year = '2024';"
Quelle est la distribution des types de documents (mask) par année et par statut d'extraction ?,"### Step-by-Step Solution:
1. Join the documents table with the states table to link document records with their current state.
2. Group the results by document_year, mask, and state code to create a distribution table.
3. Count the number of documents in each group to show how many documents exist for each combination of year, document type, and state.
4. Order the results by year and document type for better readability.
Here is the resulting SQL query:

SELECT documents.document_year, documents.mask, states.code, COUNT(*) FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.document_year, documents.mask, states.code ORDER BY documents.document_year, documents.mask;"
Quel est le nombre moyen de pages par document selon leur statut d'extraction ?,"### Step-by-Step Solution:
1. Join the documents table with the states table to link document records with their current state.
2. Group the results by state code to calculate averages per state category.
3. Use the AVG() function to compute the average number of pages per document for each state.
Here is the resulting SQL query:

SELECT states.code, AVG(documents.nb_pages) AS avg_pages FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY states.code;"
Quelle est la proportion de documents en succès selon leur type de budget (BP/BA) ?,"### Step-by-Step Solution:
1. Join the documents table with the states table to link document records with their current state.
2. Filter the states table to identify successful extractions using the 'SUCCESS' code.
3. Calculate the success rate by dividing the count of successful extractions by the total number of documents, then multiplying by 100 to get a percentage.
4. Group the results by budget_type to show the success rate for each budget type (BP/BA).
Here is the resulting SQL query:

SELECT documents.budget_type, COUNT(CASE WHEN states.code = 'SUCCESS' THEN 1 END) * 100.0 / COUNT(*) AS success_rate FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.budget_type;"
Quels sont les documents avec des erreurs d'extraction liées à des formats non gérés ?,"### Step-by-Step Solution:
1. Identify documents with extraction errors by filtering the 'states' table for 'ERROR' state code.
2. Filter documents by formats not in the allowed list ('pdf', 'scan') using the 'format' column.
3. Join the 'documents' table with the 'states' table to correlate document records with their error states.
4. Select the document ID, format, and error message from the filtered results.
Here is the resulting SQL query:

SELECT documents.document_id, documents.format, documents.error_message FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' AND documents.format NOT IN ('pdf', 'scan');"
Quelle est la tendance des temps de traitement des extractions par année ?,"### Step-by-Step Solution:
1. Calculate the processing time for each document by subtracting the document creation timestamp from the extraction run start time using julianday() function.
2. Group the results by document year to analyze trends over time.
3. Compute the average processing time per year using AVG() function.
4. Join 'documents' and 'extraction_runs' tables on document_id to access both timestamps.
Here is the resulting SQL query:

SELECT documents.document_year, AVG(julianday(extraction_runs.start_time) - julianday(documents.created_at)) AS avg_processing_time FROM documents JOIN extraction_runs ON documents.document_id = extraction_runs.document_id GROUP BY documents.document_year;"
Quels sont les documents avec des résultats d'extraction incomplets et leurs champs manquants ?,"### Step-by-Step Solution:
1. Identify documents with partial or warning states by joining with the 'states' table and filtering for 'PARTIAL' or 'WARNING' codes.
2. Left join with 'extraction_results' to count extracted fields per document.
3. Group by document ID and count the number of extracted fields.
4. Filter documents where the count of extracted fields is less than 10, indicating incomplete extraction.
Here is the resulting SQL query:

SELECT documents.document_id, COUNT(extraction_results.result_id) AS extracted_fields FROM documents LEFT JOIN extraction_results ON documents.document_id = extraction_results.document_id WHERE documents.state_id IN (SELECT state_id FROM states WHERE code IN ('PARTIAL', 'WARNING')) GROUP BY documents.document_id HAVING COUNT(extraction_results.result_id) < 10;"
Quelle est la corrélation entre le nombre de pages des documents et leur taux de succès d'extraction ?,"### Step-by-Step Solution:
1. Join 'documents' with 'states' to correlate document records with their extraction states.
2. Calculate average number of pages per document group using AVG(documents.nb_pages).
3. Calculate success ratio by counting 'SUCCESS' state entries as 1 and others as 0.
4. Group results by documents.nb_pages to analyze correlation between page count and extraction success.
Here is the resulting SQL query:

SELECT AVG(documents.nb_pages) AS avg_pages, AVG(CASE WHEN states.code = 'SUCCESS' THEN 1 ELSE 0 END) AS success_ratio FROM documents JOIN states ON documents.state_id = states.state_id GROUP BY documents.nb_pages;"
Quels sont les documents M4_CFU avec des erreurs d'extraction liées à des règles de validation ?,"### Step-by-Step Solution:
1. Filter documents with mask 'M4_CFU' to focus on the specific document type.
2. Join with 'extraction_results' to access error messages from extraction process.
3. Search for 'validation' keyword in message_error to identify validation-related errors.
4. Select document ID, city name, and relevant error messages from the filtered results.
Here is the resulting SQL query:

SELECT documents.document_id, documents.city_name, extraction_results.message_error FROM documents JOIN extraction_results ON documents.document_id = extraction_results.document_id WHERE documents.mask = 'M4_CFU' AND extraction_results.message_error LIKE '%validation%';"
