id,question_fr,sql,difficulty,tags,tables_used,valid_sql,validation_error,generation_model,generated_at_utc,batch_index
cand_000001,Combien de documents avons-nous pour l'année 2024 ?,SELECT COUNT(*) FROM documents WHERE document_year = '2024';,easy,"[""documents"", ""count""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.820248+00:00,1
cand_000002,Quels sont les noms des communes qui ont soumis des documents ?,SELECT DISTINCT city_name FROM documents;,easy,"[""communes"", ""list""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.820248+00:00,1
cand_000003,Afficher les documents avec le type de budget 'BP'.,SELECT * FROM documents WHERE budget_type = 'BP';,easy,"[""budget_type"", ""filter""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.820248+00:00,1
cand_000004,Quel est le nombre total de pages pour les documents de l'année 2023 ?,SELECT SUM(nb_pages) FROM documents WHERE document_year = '2023';,easy,"[""pages"", ""sum""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.821360+00:00,1
cand_000005,Lister les formats des documents disponibles.,SELECT DISTINCT format FROM documents;,easy,"[""formats"", ""list""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.821360+00:00,1
cand_000006,Combien de documents ont un message d'erreur ?,SELECT COUNT(*) FROM documents WHERE error_message IS NOT NULL AND error_message != '';,easy,"[""errors"", ""count""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.821360+00:00,1
cand_000007,Afficher les SIRET des documents traités avec succès.,SELECT d.siret FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""siret"", ""success""]","[""documents"", ""states""]",True,,deepseek-reasoner,2026-03-05T14:29:33.821360+00:00,1
cand_000008,Quelle est la moyenne des pages par document ?,SELECT AVG(nb_pages) FROM documents;,easy,"[""pages"", ""average""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.821360+00:00,1
cand_000009,Quelle est la répartition des documents par état (code) ?,"SELECT s.code, COUNT(d.document_id) FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY s.code;",medium,"[""states"", ""distribution""]","[""documents"", ""states""]",True,,deepseek-reasoner,2026-03-05T14:29:33.822280+00:00,1
cand_000010,Comparer le nombre de documents entre les années 2023 et 2024.,"SELECT document_year, COUNT(*) FROM documents WHERE document_year IN ('2023', '2024') GROUP BY document_year;",medium,"[""year_comparison"", ""count""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.822280+00:00,1
cand_000011,Lister les valeurs extraites pour le champ financier 'D001' pour toutes les communes.,"SELECT er.value, d.city_name FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001';",medium,"[""financial_field"", ""values""]","[""extraction_results"", ""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.822280+00:00,1
cand_000012,Calculer le taux de réussite d'extraction par année (basé sur l'état des documents).,"WITH doc_status AS (SELECT d.document_year, s.code FROM documents d JOIN states s ON d.state_id = s.state_id) SELECT document_year, COUNT(CASE WHEN code = 'SUCCESS' THEN 1 END) * 100.0 / COUNT(*) AS success_rate FROM doc_status GROUP BY document_year;",medium,"[""success_rate"", ""yearly""]","[""documents"", ""states""]",True,,deepseek-reasoner,2026-03-05T14:29:33.822280+00:00,1
cand_000013,Trouver les communes avec le plus grand nombre total de pages de documents.,"SELECT city_name, SUM(nb_pages) AS total_pages FROM documents GROUP BY city_name ORDER BY total_pages DESC;",medium,"[""communes"", ""total_pages"", ""ranking""]","[""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.823310+00:00,1
cand_000014,Afficher les documents qui ont des résultats d'extraction avec des messages d'avertissement.,SELECT DISTINCT d.* FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_warning IS NOT NULL AND er.message_warning != '';,medium,"[""warnings"", ""documents""]","[""documents"", ""extraction_results""]",True,,deepseek-reasoner,2026-03-05T14:29:33.823310+00:00,1
cand_000015,Compter le nombre de champs financiers distincts extraits par document.,"SELECT document_id, COUNT(DISTINCT safir_field_id) AS distinct_fields FROM extraction_results GROUP BY document_id;",medium,"[""fields"", ""count_per_document""]","[""extraction_results""]",True,,deepseek-reasoner,2026-03-05T14:29:33.823310+00:00,1
cand_000016,Identifier les années où il y a des documents avec des erreurs d'extraction.,SELECT DISTINCT d.document_year FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.message_error IS NOT NULL AND er.message_error != '';,medium,"[""extraction_errors"", ""years""]","[""documents"", ""extraction_results""]",True,,deepseek-reasoner,2026-03-05T14:29:33.824814+00:00,1
cand_000017,"Analyser la tendance des valeurs numériques pour le champ 'Conso' sur les années, en calculant la moyenne par année.","SELECT d.document_year, AVG(CAST(er.value AS REAL)) AS avg_conso FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'Conso' AND er.value != '' AND er.value IS NOT NULL GROUP BY d.document_year ORDER BY d.document_year;",hard,"[""trend"", ""consumption"", ""numeric_analysis""]","[""extraction_results"", ""documents""]",True,,deepseek-reasoner,2026-03-05T14:29:33.824814+00:00,1
