id,question_fr,sql,difficulty,tags,tables_used,valid_sql,validation_error,generation_model,generated_at_utc,batch_index
cand_000001,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,easy,"[""count"", ""filter""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000002,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,easy,"[""count"", ""join"", ""status""]","[""documents"", ""states""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000003,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;",easy,"[""aggregation"", ""grouping""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000004,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,easy,"[""distinct"", ""filter""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000005,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,easy,"[""average"", ""filter""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000006,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,easy,"[""count"", ""data_quality""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000007,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;",easy,"[""aggregation"", ""document_type""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000008,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;",easy,"[""aggregation"", ""time_analysis""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000009,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,medium,"[""average"", ""cast"", ""financial_indicator""]","[""extraction_results"", ""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000010,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;",medium,"[""aggregation"", ""having"", ""sorting""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000011,"Pour chaque type de document (mask), quel est le taux d'échec d'extraction (documents en état ERROR) ?","SELECT d.mask, ROUND(100.0 * SUM(CASE WHEN s.code = 'ERROR' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_echec FROM documents d JOIN states s ON d.state_id = s.state_id GROUP BY d.mask;",medium,"[""conditional_aggregation"", ""join"", ""data_quality""]","[""documents"", ""states""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.821711+00:00,1
cand_000012,Top 5 des indicateurs financiers les plus fréquemment extraits (safir_field_id) en 2024.,"SELECT safir_field_id, COUNT(*) AS occurrences FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2024' GROUP BY safir_field_id ORDER BY occurrences DESC LIMIT 5;",medium,"[""aggregation"", ""top_n"", ""financial_analysis""]","[""extraction_results"", ""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.835347+00:00,1
cand_000013,Quelles communes ont des documents avec des valeurs manquantes pour le champ 'DF011' (dépenses d'investissement) ?,SELECT DISTINCT d.city_name FROM documents d JOIN extraction_results er ON d.document_id = er.document_id WHERE er.safir_field_id = 'DF011' AND (er.value IS NULL OR er.value = '');,medium,"[""missing_data"", ""join"", ""data_quality""]","[""documents"", ""extraction_results""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.835347+00:00,1
cand_000014,Comparaison du nombre de documents entre 2023 et 2024 par type de budget.,"SELECT budget_type, SUM(CASE WHEN document_year = '2023' THEN 1 ELSE 0 END) AS annee_2023, SUM(CASE WHEN document_year = '2024' THEN 1 ELSE 0 END) AS annee_2024 FROM documents GROUP BY budget_type;",medium,"[""conditional_aggregation"", ""comparison""]","[""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.835347+00:00,1
cand_000015,Durée moyenne d'exécution des extractions (différence entre start_time et created_at des résultats) pour les documents M57_CA.,SELECT AVG(JULIANDAY(er.created_at) - JULIANDAY(r.start_time)) * 86400 AS duree_moyenne_sec FROM extraction_runs r JOIN extraction_results er ON r.run_id = er.run_id JOIN documents d ON r.document_id = d.document_id WHERE d.mask = 'M57_CA';,medium,"[""date_calculation"", ""performance""]","[""extraction_runs"", ""extraction_results"", ""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.836435+00:00,1
cand_000016,Quels indicateurs financiers présentent plus de 10% de valeurs nulles ou vides ?,"SELECT safir_field_id, ROUND(100.0 * SUM(CASE WHEN value IS NULL OR value = '' THEN 1 ELSE 0 END) / COUNT(*), 2) AS taux_vides FROM extraction_results GROUP BY safir_field_id HAVING taux_vides > 10;",medium,"[""data_quality"", ""conditional_aggregation""]","[""extraction_results""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.836435+00:00,1
cand_000017,Identifier les communes où la dette (champ 'D001') a augmenté de plus de 10% entre 2023 et 2024.,"WITH dette_2023 AS (SELECT d.city_name, CAST(er.value AS REAL) AS valeur FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2023'), dette_2024 AS (SELECT d.city_name, CAST(er.value AS REAL) AS valeur FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2024') SELECT d23.city_name, d23.valeur AS dette_2023, d24.valeur AS dette_2024, ROUND((d24.valeur - d23.valeur) * 100.0 / d23.valeur, 2) AS evolution_pct FROM dette_2023 d23 JOIN dette_2024 d24 ON d23.city_name = d24.city_name WHERE d24.valeur > d23.valeur * 1.10;",hard,"[""cte"", ""trend_analysis"", ""financial_health""]","[""extraction_results"", ""documents""]",True,,deepseek-ai/DeepSeek-R1,2026-03-09T21:27:33.837367+00:00,1
