id,question_fr,sql,difficulty,tables_used,runtime_ok,runtime_error,result_row_count,judge_score,judge_verdict,judge_reason,judge_pass,judge_fix_sql,judge_dimension_scores,judge_flags,judge_model,judged_at_utc
cand_000001,Quel est le taux de documents en erreur par année ?,"SELECT documents.document_year, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents) AS error_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'ERROR' GROUP BY documents.document_year;",medium,"[""documents"", ""states""]",True,,1,3.0,needs_fix,SQL partially answers the question but has logical flaws in error rate calculation and schema usage.,False,"SELECT document_year, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents d2 WHERE d2.document_year = documents.document_year) AS error_rate_percent FROM documents WHERE state_id = (SELECT state_id FROM states WHERE code = 'ERROR') GROUP BY document_year;","{""intent_alignment"": 4.0, ""schema_correctness"": 3.0, ""query_quality"": 2.0}","[""incorrect_aggregation_logic"", ""unnecessary_join""]",deepseek-chat,2026-03-11T16:23:21.861240+00:00
cand_000002,Quels sont les 5 communes avec le plus de documents en format scan ?,"SELECT city_name, COUNT(*) AS scan_count FROM documents WHERE format = 'scan' GROUP BY city_name ORDER BY scan_count DESC LIMIT 5;",easy,"[""documents""]",True,,5,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and produces a clear, business-relevant result.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T16:23:26.045052+00:00
cand_000003,Quelle est la moyenne des pages par document pour les documents en 2024 ?,SELECT AVG(nb_pages) AS avg_pages FROM documents WHERE document_year = '2024';,easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T16:23:30.315623+00:00
cand_000004,Quels sont les types de budget (BP/BA) les plus courants ?,"SELECT budget_type, COUNT(*) AS count FROM documents GROUP BY budget_type ORDER BY count DESC;",easy,"[""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T16:23:34.470082+00:00
cand_000005,Quel est le nombre de documents avec des avertissements mais sans erreurs ?,SELECT COUNT(*) AS warning_only_count FROM documents WHERE warning_message IS NOT NULL AND error_message IS NULL;,medium,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is simple and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T16:23:38.368407+00:00
cand_000006,Quelle est la valeur moyenne du champ D001 par année ?,"SELECT documents.document_year, AVG(CAST(extraction_results.value AS REAL)) AS avg_d001 FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id = 'D001' GROUP BY documents.document_year;",hard,"[""extraction_results"", ""documents""]",True,,2,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema with proper joins, and produces a clear, analyst-grade result.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T16:23:42.622103+00:00
cand_000007,Quels sont les documents avec des erreurs d'extraction dans les champs de dette ?,"SELECT documents.document_id, documents.city_name, extraction_results.safir_field_id, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL;",medium,"[""extraction_results"", ""documents""]",True,,2604,4.0,pass,"SQL correctly identifies debt-related extraction errors with proper joins and filtering, though could be more specific about debt fields and include document year for better analysis.",True,"SELECT d.document_id, d.city_name, d.document_year, er.safir_field_id, er.message_error FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id LIKE 'DF%' AND er.message_error IS NOT NULL ORDER BY d.document_year DESC, d.city_name;","{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 3.0}","[""good_business_relevance"", ""valid_schema_usage""]",deepseek-chat,2026-03-11T16:23:49.269448+00:00
cand_000008,Quel est le pourcentage de documents avec succès par type de masque ?,"SELECT mask, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents) AS success_rate_percent FROM documents JOIN states ON documents.state_id = states.state_id WHERE states.code = 'SUCCESS' GROUP BY mask;",medium,"[""documents"", ""states""]",True,,3,4.0,needs_fix,"The SQL query calculates success rate incorrectly by dividing by total documents instead of documents per mask, and the question's wording is slightly technical but acceptable. The query is otherwise valid and aligns with intent.",False,"SELECT mask, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents WHERE mask = d.mask) AS success_rate_percent FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' GROUP BY mask;","{""intent_alignment"": 4.0, ""schema_correctness"": 5.0, ""query_quality"": 3.0}","[""calculation_error""]",deepseek-chat,2026-03-11T16:23:55.784797+00:00
cand_000009,Quelle est la commune avec le plus grand nombre de documents en 2023 ?,"SELECT city_name, COUNT(*) AS doc_count FROM documents WHERE document_year = '2023' GROUP BY city_name ORDER BY doc_count DESC LIMIT 1;",easy,"[""documents""]",True,,1,5.0,pass,"SQL perfectly matches the French question intent, uses correct schema, and is clear and efficient.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 5.0}",[],deepseek-chat,2026-03-11T16:23:59.704050+00:00
cand_000010,Quels sont les documents avec des erreurs liées à la dette en 2024 ?,"SELECT documents.document_id, documents.city_name, extraction_results.message_error FROM extraction_results JOIN documents ON extraction_results.document_id = documents.document_id WHERE documents.document_year = '2024' AND extraction_results.safir_field_id LIKE 'DF%' AND extraction_results.message_error IS NOT NULL;",medium,"[""extraction_results"", ""documents""]",True,,2232,4.0,pass,"SQL correctly identifies debt-related error documents for 2024 with proper joins and filters, though could be more precise with debt field identification.",True,,"{""intent_alignment"": 5.0, ""schema_correctness"": 5.0, ""query_quality"": 3.0}","[""assumes_debt_fields_start_with_df""]",deepseek-chat,2026-03-11T16:24:04.146345+00:00
