id,question_fr,sql,difficulty,generation_model,batch_index,variety_profile,variety_style,tables_used,tags,accept_for_training,reject_reasons,runtime_ok,runtime_error,runtime_timeout,execution_ms,result_row_count,result_col_count,result_hash_sha256
cand_000001,Combien de documents ont été ingérés chaque année ?,"SELECT document_year, COUNT(*) AS nb_documents
FROM documents
GROUP BY document_year
ORDER BY document_year;",easy,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""documents""]","[""document_counts"", ""yearly""]",True,[],True,,False,3,2,2,b5b3116a559362282673bcaff281b6ddb2714f97cc848cbcb1ebe4076b6a28f5
cand_000002,"Quel pourcentage de documents de 2023 ont au moins une valeur extraite pour le champ ""Recettes de fonctionnement"" ?","SELECT 100.0 * COUNT(DISTINCT er.document_id) / (
       SELECT COUNT(*) FROM documents d WHERE d.document_year = '2023'
) AS pct_documents
FROM extraction_results er
JOIN documents d ON er.document_id = d.document_id
WHERE er.safir_field_id = 'Recettes de fonctionnement'
  AND d.document_year = '2023';",easy,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""extraction_results"", ""documents""]","[""field_coverage"", ""percentage"", ""year_2023"", ""recettes_fonctionnement""]",True,[],True,,False,43,1,1,27a11b93e24a6bf2cfa8fa42c49cf073e52619ee3eeb3634cfde75ad2f12c501
cand_000003,Comment évolue le nombre moyen de champs extraits par document entre 2023 et 2024 ?,"SELECT d.document_year,
       AVG(field_cnt) AS avg_fields
FROM (
    SELECT er.document_id, COUNT(DISTINCT er.safir_field_id) AS field_cnt
    FROM extraction_results er
    GROUP BY er.document_id
) cnt
JOIN documents d ON cnt.document_id = d.document_id
GROUP BY d.document_year
ORDER BY d.document_year;",medium,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""extraction_results"", ""documents""]","[""trend"", ""average_fields"", ""yearly""]",True,[],True,,False,22,2,2,1214f43b27f43e47b967d52953de2da1311be34b2c519b3e18d19aa21676a913
cand_000004,"Quel pourcentage de documents BP contiennent le champ ""Dépenses de fonctionnement"" ?","SELECT d.budget_type,
       100.0 * COUNT(DISTINCT er.document_id) / (
           SELECT COUNT(DISTINCT document_id) FROM documents WHERE budget_type = d.budget_type
       ) AS pct_docs_with_field
FROM extraction_results er
JOIN documents d ON er.document_id = d.document_id
WHERE er.safir_field_id = 'Dépenses de fonctionnement'
GROUP BY d.budget_type;",medium,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""extraction_results"", ""documents""]","[""field_coverage"", ""budget_type"", ""depenses_fonctionnement""]",True,[],True,,False,4,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000005,Quel est le taux de documents avec au moins un avertissement (warning) par année ?,"SELECT d.document_year,
       100.0 * COUNT(DISTINCT d.document_id) / (
           SELECT COUNT(*) FROM documents WHERE document_year = d.document_year
       ) AS pct_docs_with_warning
FROM documents d
JOIN extraction_results er ON d.document_id = er.document_id
WHERE er.message_warning IS NOT NULL AND er.message_warning <> ''
GROUP BY d.document_year;",medium,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""documents"", ""extraction_results""]","[""warning_rate"", ""yearly"", ""documents""]",True,[],True,,False,13,2,2,a73b0b25d045495ce3974a1c7b7704c59f9ac56524129027ec12b8ac96bc83f2
cand_000006,Quel est l’indice de couverture par document (pourcentage de champs définis extraits) et quels sont les cinq documents les moins complets en 2024 ?,"WITH total_fields_per_mask AS (
    SELECT mask, COUNT(DISTINCT safir_field_id) AS total_fields
    FROM field_rules
    GROUP BY mask
),
doc_fields AS (
    SELECT d.document_id, d.mask, d.document_year,
           COUNT(DISTINCT er.safir_field_id) AS extracted_fields
    FROM documents d
    LEFT JOIN extraction_results er ON d.document_id = er.document_id
    GROUP BY d.document_id, d.mask, d.document_year
),
doc_coverage AS (
    SELECT df.document_id,
           df.document_year,
           df.extracted_fields,
           tf.total_fields,
           CASE WHEN tf.total_fields = 0 THEN 0
                ELSE 100.0 * df.extracted_fields / tf.total_fields
           END AS coverage_pct
    FROM doc_fields df
    JOIN total_fields_per_mask tf ON df.mask = tf.mask
)
SELECT document_id, coverage_pct
FROM doc_coverage
WHERE document_year = '2024'
ORDER BY coverage_pct ASC
LIMIT 5;",hard,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""documents"", ""extraction_results"", ""field_rules""]","[""coverage_index"", ""field_rules"", ""document_completeness"", ""year_2024""]",True,[],True,,False,35,5,2,7e6ccc39a3a82982cdeaa857f981bc0b919343b3b4168c02d6a93642587f5d35
cand_000007,Quel est le nombre médian de champs extraits par document pour chaque type de budget en 2023 ?,"WITH doc_counts AS (
    SELECT d.document_id,
           d.budget_type,
           COUNT(DISTINCT er.safir_field_id) AS field_cnt
    FROM documents d
    JOIN extraction_results er ON d.document_id = er.document_id
    WHERE d.document_year = '2023'
    GROUP BY d.document_id, d.budget_type
),
ranked AS (
    SELECT budget_type,
           field_cnt,
           ROW_NUMBER() OVER (PARTITION BY budget_type ORDER BY field_cnt) AS rn,
           COUNT(*) OVER (PARTITION BY budget_type) AS total_cnt
    FROM doc_counts
)
SELECT budget_type,
       field_cnt AS median_field_count
FROM ranked
WHERE rn = (total_cnt + 1) / 2;",hard,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""documents"", ""extraction_results""]","[""median_fields"", ""budget_type"", ""year_2023""]",True,[],True,,False,3,2,2,dbb9cce8daf8f6546ef81e35716a14ed4c1618604c26f1bde06fe8049180a0c4
cand_000008,"Quelles villes affichent plus de 30 % de documents où ""Recettes de fonctionnement"" est extrait avec une valeur nulle en 2024 ?","WITH docs_with_field AS (
    SELECT d.city_name,
           d.document_id,
           er.value
    FROM documents d
    JOIN extraction_results er ON d.document_id = er.document_id
    WHERE d.document_year = '2024'
      AND er.safir_field_id = 'Recettes de fonctionnement'
),
zero_counts AS (
    SELECT city_name,
           COUNT(*) AS zero_docs
    FROM docs_with_field
    WHERE TRIM(value) IN ('0', '0.0', '0,0')
    GROUP BY city_name
),
total_counts AS (
    SELECT city_name,
           COUNT(*) AS total_docs
    FROM docs_with_field
    GROUP BY city_name
)
SELECT t.city_name,
       100.0 * IFNULL(z.zero_docs, 0) / t.total_docs AS pct_zero
FROM total_counts t
LEFT JOIN zero_counts z ON t.city_name = z.city_name
WHERE (100.0 * IFNULL(z.zero_docs, 0) / t.total_docs) > 30
ORDER BY pct_zero DESC;",hard,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""documents"", ""extraction_results""]","[""zero_values"", ""city_analysis"", ""year_2024"", ""recettes_fonctionnement""]",True,[],True,,False,4,0,2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cand_000009,Quel est le taux d’avertissement par exécution d’extraction (run) ?,"SELECT erun.run_id,
       COUNT(DISTINCT er.document_id) AS docs_with_warning,
       COUNT(DISTINCT d.document_id) AS total_docs,
       100.0 * COUNT(DISTINCT er.document_id) / COUNT(DISTINCT d.document_id) AS warning_rate_pct
FROM extraction_runs erun
JOIN documents d ON erun.document_id = d.document_id
LEFT JOIN extraction_results er ON er.run_id = erun.run_id
    AND er.message_warning IS NOT NULL AND er.message_warning <> ''
GROUP BY erun.run_id
ORDER BY warning_rate_pct DESC
LIMIT 5;",medium,openai/gpt-oss-120b,1,field_coverage,executive_dashboard,"[""extraction_runs"", ""documents"", ""extraction_results""]","[""run_quality"", ""warning_rate"", ""medium""]",True,[],True,,False,28,5,4,e10146da1c5b0047d786b6edbfa128f6a991430b06232af6c48fd452e968b19f
cand_000010,Combien de règles d'extraction sont définies pour chaque type de masque ?,"SELECT mask, COUNT(*) AS nb_rules FROM field_rules GROUP BY mask;",easy,openai/gpt-oss-120b,2,rules_and_controls,investigation_mode,"[""field_rules""]","[""ruleset_coverage"", ""field_rules"", ""mask""]",True,[],True,,False,6,3,2,4248896d654e757bd2022ba2a0c97eafdf66b07d8af1d48a836a7010b9b5c1fd
