,user_question,gold_sql,generated_sql,code_quality_score_gen,code_quality_score_gold,relevance_gen,relevance_gold,logic_gen,logic_gold,fit_with_gold,reasoning_quality_gen,reasoning_gen_result,reasoning_gold_result,reasoning_quality_gold
0,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,SELECT COUNT(*) FROM documents WHERE document_year = '2024',1.5,2.0,1,1,1,1,1,"The SQL logic is correct as it counts documents from the documents table filtered by document_year='2024', which directly answers the user's request for the total number of processed documents for 2024. However, it lacks completeness by not including contextual fields like city_name or budget_type, and the aliasing is missing French column names (e.g., AS nombre_total_documents).","The generated query correctly counts documents from the documents table filtered by document_year='2024', which directly answers the user's question about total processed documents for 2024. The result matches the gold standard exactly, showing proper schema understanding and execution.","The gold query uses the appropriate table and column (documents.document_year) to count documents for 2024, providing a clear and correct answer to the user's question with proper column naming for readability.","The SQL logic is correct as it counts documents from the documents table filtered by document_year='2024', which matches the user's request for the total number of processed documents for 2024. The selection is relevant with COUNT(*), and the alias 'total_documents' is appropriately in French. However, it lacks completeness because it doesn't include context like city_name or budget_type, which would help a human understand the results without looking up IDs, and it doesn't filter by a processed state (e.g., state_id indicating SUCCESS or VALIDATED), which might be implied by 'traités' in the request."
1,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,SELECT COUNT(*) FROM documents WHERE state_id IN (SELECT state_id FROM states WHERE code = 'SUCCESS'),1.5,2.0,1,1,1,1,1,"La logique est correcte car la requête compte les documents avec state_id correspondant à 'SUCCESS' via une sous-requête sur la table states, ce qui répond à la demande de compter les documents extraits avec succès. Cependant, la sélection manque d'alias en français (par exemple, 'AS nombre_documents') et le résultat ne fournit pas de contexte supplémentaire comme l'année ou le type de budget, ce qui réduit la clarté pour l'utilisateur final.","The generated query correctly counts documents with SUCCESS state using a subquery to filter by state_id, producing the same result as the gold query. It's logically sound and directly answers the user's question about successfully extracted documents.","The gold query correctly joins documents with states to count documents where state code is SUCCESS, providing an accurate answer to the user's question about successfully extracted documents.","The SQL logic is correct as it properly joins documents with states and filters for SUCCESS state, which matches the user's request to count successfully extracted documents. The selection is relevant with COUNT(*). The output includes enough context with the alias. However, the alias 'documents_reussis' is not fully in French; it should be 'documents_réussis' or similar with proper French accents to meet the requirement of French aliasing."
2,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;","SELECT budget_type, COUNT(*) AS count FROM documents GROUP BY budget_type",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et compte les occurrences, répondant exactement à la demande de répartition BP vs BA. La qualité de sélection est parfaite avec le champ pertinent. La complétion est suffisante avec le type de budget et le comptage. L'alias 'count' est en anglais, mais cela reste acceptable dans le contexte SQL standard, bien qu'une version française comme 'nombre' serait idéale.","The generated query correctly answers the question by counting documents grouped by budget_type from the documents table, which is the appropriate table for this information. The results match the gold standard exactly, showing 13 BA and 113 BP documents.",The gold query is logically sound and directly addresses the user's question about budget type distribution by counting documents from the documents table where budget_type is stored. It provides clear counts for both BP and BA budget types.,"La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et utilise COUNT(*) pour compter les occurrences, répondant exactement à la demande de répartition BP vs BA. La sélection est pertinente avec le champ 'budget_type' et le comptage. La sortie inclut suffisamment de contexte avec les types de budget et leurs comptes. L'alias 'nombre' est en français, approprié pour l'utilisateur final."
3,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,SELECT DISTINCT d.city_name FROM documents d WHERE d.document_year = '2023',2.0,2.0,1,1,1,1,1,"The SQL query correctly selects distinct city names from documents where the document year is 2023, which directly fulfills the user's request to list distinct communes that submitted documents in 2023. The selection is relevant as it uses the 'city_name' field, and the output includes enough context (commune names) for human understanding. However, the aliasing is missing; the column should have a French alias like 'AS commune' to suit the end-user.","The generated query correctly retrieves distinct city names from documents submitted in 2023 using proper table aliasing and filtering on document_year, producing identical results to the gold standard.","The gold query directly answers the user's question by selecting distinct city names from documents where the year is 2023, with a clean and efficient SQL structure.","The SQL query correctly selects distinct city names from the documents table filtered by document_year = '2023', which directly matches the user's request for distinct communes that submitted documents in 2023. The selection is relevant as it uses the appropriate field (city_name) and filter (document_year). The output provides sufficient context with just the city names, making it understandable without additional lookups. However, the aliasing score is 0 because the query does not include any French aliases (e.g., 'AS commune'), which is required for better readability in the French context."
4,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,SELECT AVG(nb_pages) AS moyenne_pages FROM documents WHERE format = 'pdf',2.0,1.5,1,1,1,1,1,"The SQL query correctly calculates the average number of pages for PDF documents using the 'nb_pages' column from the 'documents' table with a filter on 'format = 'pdf'', which matches the user's request. The alias 'moyenne_pages' is appropriately in French. However, the query lacks contextual information such as 'document_year' or 'city_name', which would help a human understand the result without needing to look up IDs, making it incomplete for full comprehension.","The generated query correctly calculates the average number of pages for PDF documents by using the nb_pages column from the documents table with a format filter, producing the same result as the gold query.","The gold query accurately computes the average page count for PDF documents by filtering on format and averaging nb_pages, matching the generated result exactly.","The SQL logic is correct: it filters documents by 'pdf' format and calculates the average of 'nb_pages'. However, it lacks context (e.g., document year, budget type) for a human to interpret the result meaningfully, and the alias 'pages_moyennes' is in French but not fully descriptive (e.g., 'moyenne_pages' or 'nombre_moyen_pages' would be better)."
5,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,"SELECT COUNT(*) AS nb_documents_avertissement
FROM documents
WHERE warning_message IS NOT NULL AND warning_message <> ''",2.0,1.5,1,1,1,1,1,"The SQL logic correctly counts documents with non-empty warning messages using the 'warning_message' column from the documents table, which directly answers the user's request about documents with warning messages. The alias 'nb_documents_avertissement' is appropriately in French. However, the output lacks context such as document names, years, or types, making it incomplete for human understanding without additional lookups.","The generated query correctly counts documents with non-empty warning messages, directly addressing the user's question about warning messages in documents. It uses proper SQL syntax and filters appropriately on the warning_message column.","The gold query effectively answers the question by counting documents with non-null and non-empty warning messages, matching the schema's description of warning_message as a field for non-blocking warnings.","The SQL logic correctly counts documents with non-empty warning messages, addressing the user's request about documents with warning messages. However, it lacks context like document names or years, making results less interpretable, and uses an English alias 'docs_avec_alertes' instead of French, such as 'nombre_documents_avec_avertissement'."
6,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;","SELECT mask, COUNT(*) AS count FROM documents GROUP BY mask",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par type de masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et l'alias 'count' en anglais est acceptable dans ce contexte simple, bien que 'fréquence' en français serait idéal. Le résultat inclut suffisamment de contexte (types de masque et leur nombre) pour être compréhensible sans références externes.","The generated query correctly identifies document masks and their frequencies from the documents table, matching the gold results exactly with proper SQL syntax and logical grouping.",The gold query accurately answers the user's question about document mask types and frequencies using a straightforward aggregation on the documents table.,"La requête est logiquement correcte car elle sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et l'alias 'occurrence' en français est approprié. Le résultat inclut suffisamment de contexte (les masques eux-mêmes et leur fréquence) pour être compréhensible sans références externes."
7,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;","SELECT document_year, COUNT(*) AS nb_documents
FROM documents
GROUP BY document_year
ORDER BY document_year",2.5,2.0,1,1,1,1,1,"La requête SQL est logiquement correcte car elle sélectionne 'document_year' depuis la table 'documents' et compte les occurrences avec COUNT(*), regroupant par année budgétaire. La sélection est pertinente car elle répond directement à la demande de compter les documents par année. La complétion est suffisante avec l'année et le nombre de documents. L'alias 'nb_documents' est en français, ce qui convient à l'utilisateur francophone.","The generated query correctly counts documents per budget year using the documents table, which directly contains the document_year column, and produces results that match the gold standard exactly.","The gold query is logically sound and directly answers the user's question by grouping documents by year and counting them, providing clear and accurate results.","La logique est correcte car la requête sélectionne 'document_year' de la table 'documents' et compte les documents par année, répondant directement à la demande de 'Nombre de documents par année budgétaire'. La sélection est pertinente avec COUNT(*), et la sortie inclut suffisamment de contexte (année et total). Cependant, l'alias 'total' n'est pas en français comme requis ; il devrait être 'nombre_documents' ou similaire pour correspondre aux attentes de l'utilisateur francophone."
8,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,SELECT AVG(value) AS moyenne_dette_paris_2024 FROM extraction_results WHERE safir_field_id = 'D001' AND document_id IN (SELECT document_id FROM documents WHERE city_name = 'Paris' AND document_year = '2024'),1.5,1.5,0,0,1,1,1,"The SQL logic is correct because it properly filters extraction_results for safir_field_id='D001' and joins with documents to filter by city_name='Paris' and document_year='2024', then calculates the average value. However, the output lacks context like city_name and document_year in the result, making it incomplete for human interpretation. The alias 'moyenne_dette_paris_2024' is in French but could be more descriptive like 'moyenne_valeur' for clarity.","The generated query is logically sound with correct joins and filtering for Paris in 2024, but returns no results (empty), so it fails to answer the question about average debt value.","The gold query is logically correct with proper schema usage, but also returns no results (empty), meaning it doesn't provide the requested average debt value for Paris in 2024.","The SQL logic is correct: it properly joins extraction_results with documents, filters by safir_field_id='D001', city_name containing 'Paris', and document_year='2024', then calculates the average of the value field. However, it lacks context like budget_type and document mask, and the alias 'dette_moyenne' is in French but other potential aliases are missing. The selection quality is good as it targets the correct financial field and aggregation."
9,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;","SELECT d.city_name, COUNT(*) AS nb_documents
FROM documents d
JOIN states s ON d.state_id = s.state_id
GROUP BY d.city_name
HAVING COUNT(*) > 5
ORDER BY nb_documents DESC",2.0,2.5,1,1,1,1,1,"The SQL logic correctly identifies communes with more than 5 processed documents by joining documents with states and grouping by city_name, with proper filtering and ordering. It selects relevant fields (city_name and count) and provides complete context. However, the alias 'nb_documents' is in English, not French as required (should be 'nombre_documents' or similar).","The generated query correctly identifies communes with more than 5 processed documents and sorts them by descending volume, producing identical results to the gold standard despite an unnecessary JOIN with states table.","The gold query efficiently answers the user's question by counting documents per city, filtering for >5 documents, and ordering by count, with clean logic and correct results.","The SQL query correctly identifies communes with more than 5 processed documents by grouping documents by city_name, counting them, filtering with HAVING COUNT(*) > 5, and ordering by count descending. It selects relevant fields (city_name and count), provides complete context (commune names and document counts), and uses appropriate French aliasing (AS total_documents). The logic aligns with the schema and user request without unnecessary joins or filters."
