,user_question,gold_sql,generated_sql,code_quality_score_gen,code_quality_score_gold,relevance_gen,relevance_gold,logic_gen,logic_gold,fit_with_gold,reasoning_quality_gen,reasoning_gen_result,reasoning_gold_result,reasoning_quality_gold
0,Quel est le nombre total de documents traités pour l'année 2024 ?,SELECT COUNT(*) AS total_documents FROM documents WHERE document_year = '2024';,SELECT COUNT(*) FROM documents WHERE document_year = '2024',1.5,2.5,1,1,1,1,1,"The SQL logic is correct as it counts documents from the documents table filtered by document_year='2024', which matches the user's request for the total number of processed documents for 2024. However, it lacks completeness by not including contextual fields like city_name or budget_type, and the alias is not in French (should be AS nombre_total_documents).","The generated query correctly counts documents from the documents table filtered by document_year='2024', directly answering the user's question about total processed documents for 2024 with the same result as the gold query.","The gold query properly uses COUNT(*) on the documents table with a WHERE clause for document_year='2024', which is the logical approach to count documents for a specific year according to the SFIL schema.","La requête est logiquement correcte car elle compte les documents de l'année 2024 dans la table 'documents', ce qui correspond directement à la demande de l'utilisateur. La sélection est pertinente avec COUNT(*), la sortie inclut suffisamment de contexte via l'alias français 'total_documents', et l'alias est correctement en français."
1,Combien de documents ont été extraits avec succès (état SUCCESS) ?,SELECT COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS';,SELECT COUNT(*) FROM documents WHERE state_id = 'SUCCESS',0.0,1.5,0,1,0,1,0,"La logique est incorrecte car la requête filtre directement sur 'state_id = 'SUCCESS'' dans la table documents, mais state_id est une clé étrangère vers la table states où le code 'SUCCESS' est stocké dans la colonne code. Elle devrait joindre documents avec states pour vérifier states.code = 'SUCCESS'. De plus, la requête ne sélectionne pas de champs financiers pertinents (elle compte seulement des documents), n'inclut pas de contexte comme les noms ou années, et n'utilise pas d'alias en français.","The generated query incorrectly assumes state_id contains the state code directly, but state_id is a foreign key referencing states.state_id, not the code itself. This leads to an execution error or incorrect result (0 documents) because it's comparing UUID-like state_id values to the string 'SUCCESS'.","The gold query correctly joins documents with states to filter by state code 'SUCCESS', providing an accurate count of successfully extracted documents (109). It follows the schema relationships properly and returns a relevant answer to the user's question.","The SQL logic is correct as it properly joins documents with states and filters for SUCCESS state, answering the user's request about successfully extracted documents. However, it lacks completeness by not including context like document_year or budget_type, and the alias 'documents_reussis' is not in French as required (should be something like 'documents_réussis' or 'nombre_documents_réussis')."
2,Quelle est la répartition des types de budget (BP vs BA) parmi les documents ?,"SELECT budget_type, COUNT(*) AS nombre FROM documents GROUP BY budget_type;","SELECT budget_type, COUNT(*) AS count
FROM documents
GROUP BY budget_type",2.5,2.5,1,1,1,1,1,"La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et compte les occurrences, répondant exactement à la demande de répartition des types de budget (BP vs BA). La sélection est pertinente avec le champ 'budget_type' et le comptage, la sortie inclut suffisamment de contexte (types de budget et comptes), et l'alias 'count' est en anglais mais acceptable dans ce contexte simple où la clarté prime, bien qu'une version française comme 'nombre' serait légèrement préférable.","The generated query correctly answers the user's question about budget type distribution by counting documents grouped by budget_type from the documents table, which is the appropriate table for this information. The results match the gold standard exactly, showing 13 BA and 113 BP documents.","The gold query is logically sound and directly addresses the user's question by counting documents per budget_type from the documents table, which contains the budget_type column needed for this analysis. The results provide a clear distribution of BP vs BA budget types.","La requête est logiquement correcte car elle sélectionne directement le champ 'budget_type' de la table 'documents' et utilise COUNT(*) pour compter les occurrences, répondant exactement à la demande de répartition BP vs BA. La qualité de sélection est parfaite avec uniquement les champs nécessaires. La complétude est suffisante car 'budget_type' et le comptage fournissent tout le contexte requis. L'alias 'nombre' est en français et approprié."
3,Liste des communes distinctes ayant soumis des documents en 2023.,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023';,SELECT DISTINCT city_name FROM documents WHERE document_year = '2023',2.0,2.0,1,1,1,1,1,"The SQL query is logically correct as it correctly selects distinct city names from the documents table filtered by document_year='2023', matching the user's request for distinct communes that submitted documents in 2023. The selection is relevant and complete, providing the necessary context. However, the aliasing score is 0 because the query does not use French aliases (e.g., 'AS commune') as required, though no alias was specified in the SELECT clause.","The generated query correctly retrieves distinct city names from documents submitted in 2023 using the appropriate table and column, and its execution results match the gold standard exactly.",The gold query is logically sound and directly answers the user's question by filtering documents based on the year 2023 and returning unique city names.,"The SQL query is logically correct as it correctly selects distinct city names from the documents table filtered by document_year = '2023', matching the user's request for distinct communes that submitted documents in 2023. The selection is relevant (city_name is the correct field for communes) and complete (provides the commune names directly). However, it fails the aliasing requirement as it does not use French aliases (e.g., 'AS commune' or similar)."
4,Nombre moyen de pages des documents au format PDF.,SELECT AVG(nb_pages) AS pages_moyennes FROM documents WHERE format = 'pdf';,SELECT AVG(nb_pages) AS avg_nb_pages FROM documents WHERE format = 'pdf',1.5,2.0,1,1,1,1,1,"The SQL logic is correct: it filters documents by 'pdf' format and calculates the average of 'nb_pages' from the documents table, which directly answers the user's request for the average number of pages of PDF documents. However, the output lacks context (e.g., document year, budget type) that would help interpret the result, and the alias 'avg_nb_pages' is in English, not French as required.","The generated query correctly calculates the average number of pages for PDF documents by using the nb_pages column from the documents table with a format filter, producing the same numeric result as the gold query.","The gold query accurately computes the average page count for PDF documents by filtering on format and averaging nb_pages, matching the generated result exactly.","The SQL query correctly calculates the average number of pages for PDF documents using the 'nb_pages' column from the 'documents' table with a filter on 'format = 'pdf'', which matches the user's request. The alias 'pages_moyennes' is in French, which is appropriate. However, the query lacks context such as document year, budget type, or city name, making the result less informative for a human user who might need to understand the scope of the average (e.g., which years or types of documents are included)."
5,Combien de documents présentent un message d'avertissement ?,SELECT COUNT(*) AS docs_avec_alertes FROM documents WHERE warning_message IS NOT NULL AND warning_message != '';,SELECT COUNT(*) FROM documents WHERE warning_message IS NOT NULL AND warning_message!= '',1.5,2.0,1,1,1,1,1,"The SQL logic correctly counts documents with non-empty warning messages, addressing the user's request. However, it lacks French aliasing (e.g., 'AS nombre_documents') and does not include contextual fields like document_year or city_name, making the result less informative for a human user.","The generated query correctly counts documents with non-empty warning messages, directly answering the user's question about documents presenting warning messages. It uses the appropriate documents table and warning_message column with proper null and empty string filtering.","The gold query effectively identifies documents with warning messages by filtering for non-null and non-empty warning_message values, providing an accurate count that matches the user's request.","The SQL logic is correct as it counts documents where warning_message is not null and not empty, directly addressing the user's request for documents with warning messages. The selection quality is good because it uses the appropriate column from the documents table. However, completeness is lacking because the output only provides a count without any contextual information like document types, years, or names that would help understand which documents have warnings. The aliasing is appropriate with a French alias 'docs_avec_alertes'."
6,Quels sont les types de masque documentaire existants et leur fréquence ?,"SELECT mask, COUNT(*) AS occurrence FROM documents GROUP BY mask;","SELECT mask, COUNT(*) AS frequency
FROM documents
GROUP BY mask",2.0,2.5,1,1,1,1,1,"La logique est correcte car la requête sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par type de masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et COUNT(*), et la sortie inclut suffisamment de contexte (masque et fréquence). Cependant, l'alias 'frequency' n'est pas en français comme requis ; il devrait être 'fréquence' ou similaire.","The generated query correctly identifies document mask types and their frequencies from the documents table, matching the gold results exactly with proper SQL syntax and logical grouping.","The gold query effectively answers the user's question by counting occurrences of each mask type in the documents table, providing a clear and accurate reference result.","La requête est logiquement correcte car elle sélectionne le champ 'mask' de la table 'documents' et compte les occurrences par type de masque, répondant directement à la demande de fréquence des types de masque documentaire. La sélection est pertinente avec 'mask' et 'COUNT(*)', et l'alias 'occurrence' en français est approprié. Le résultat inclut suffisamment de contexte (types de masque et leur fréquence) pour être compréhensible sans références externes."
7,Nombre de documents par année budgétaire.,"SELECT document_year, COUNT(*) AS total FROM documents GROUP BY document_year;","SELECT document_year, COUNT(*) AS num_documents
FROM documents
GROUP BY document_year",2.0,2.0,1,1,1,1,1,"The SQL query correctly counts documents per budget year from the documents table, which directly addresses the user's request for 'Nombre de documents par année budgétaire.' The selection includes the relevant document_year field and count, and the output provides clear context. However, the alias 'num_documents' is in English, not French as required; it should be something like 'nombre_documents' to meet the aliasing criterion.","The generated query correctly counts documents per budget year using the documents table, which directly addresses the user's question about document counts by budget year. It produces identical results to the gold query with only a minor column name difference.","The gold query properly groups documents by document_year and counts them, providing a clear answer to the user's question about document distribution across budget years. It follows the SFIL schema correctly and returns valid results.","The SQL query correctly counts documents per budget year using the 'document_year' column from the 'documents' table, which matches the user's request for 'Nombre de documents par année budgétaire'. The selection is relevant as it uses the appropriate field, and the output includes the year and count for context. However, the alias 'total' is in English instead of French (e.g., 'nombre_documents'), which does not meet the requirement for French aliasing."
8,Quelle est la valeur extraite moyenne du champ 'D001' (dette) pour la commune de Paris en 2024 ?,SELECT AVG(CAST(er.value AS REAL)) AS dette_moyenne FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.city_name LIKE '%Paris%' AND d.document_year = '2024';,"SELECT AVG(value) AS avg_dette
FROM extraction_results
JOIN documents ON extraction_results.document_id = documents.document_id
WHERE documents.city_name = 'Paris' AND documents.document_year = '2024' AND extraction_results.safir_field_id = 'D001'",1.5,1.5,0,0,1,1,1,"The SQL logic correctly joins extraction_results with documents, filters by city_name='Paris', document_year='2024', and safir_field_id='D001', and calculates the average value. However, it lacks context like budget_type and uses English aliases instead of French, making it incomplete for a French user.","The generated query is logically sound with correct joins and filters, but returns no results (empty), so it fails to answer the question about average debt value for Paris in 2024.","The gold query is also logically correct with proper schema alignment, but similarly returns an empty result, indicating no matching data exists for the specified criteria.","La logique est correcte : la requête joint extraction_results et documents, filtre sur le champ 'D001', la commune Paris et l'année 2024, et calcule la moyenne des valeurs. Cependant, elle manque de contexte (budget_type, mask) pour interpréter les résultats, et l'alias 'dette_moyenne' n'est pas en français approprié (devrait être 'moyenne_dette' ou similaire)."
9,"Liste des communes avec plus de 5 documents traités, classées par volume décroissant.","SELECT city_name, COUNT(*) AS total_documents FROM documents GROUP BY city_name HAVING COUNT(*) > 5 ORDER BY total_documents DESC;","SELECT city_name, COUNT(document_id) AS num_documents
FROM documents
WHERE state_id IN ('SUCCESS', 'VALIDATED')
GROUP BY city_name
HAVING num_documents > 5
ORDER BY num_documents DESC",2.0,2.0,0,1,1,1,0,"La logique est correcte car la requête filtre les documents traités (SUCCESS, VALIDATED), compte par commune, et classe par volume décroissant. La sélection inclut les champs pertinents (city_name, document_id). La sortie est complète avec le nom de commune et le nombre de documents. Cependant, l'alias 'num_documents' n'est pas en français, ce qui ne convient pas à l'utilisateur francophone.","The generated query is logically sound but returns empty results due to overly restrictive filtering on state_id, failing to answer the user's question about communes with more than 5 processed documents. It incorrectly assumes only 'SUCCESS' or 'VALIDATED' states count as processed documents.","The gold query correctly identifies communes with more than 5 documents by counting all documents without unnecessary state filtering, providing a relevant answer that matches the user's request for processed documents regardless of state.","The SQL logic is correct as it groups documents by city_name, counts them, filters for counts >5, and orders descending. It selects relevant fields (city_name and count) and provides complete context. However, the alias 'total_documents' is in English, not French as required (should be 'nombre_documents' or similar)."
